Feature,Position,Channel,Transformer_Attention,Attention_Entropy,Attention_SNR
A_pos_20,20,A,0.1566559374332428,3.487286329269409,1.4058821201324463
C_pos_20,20,C,0.1566559374332428,3.487286329269409,1.4058821201324463
G_pos_20,20,G,0.1566559374332428,3.487286329269409,1.4058821201324463
T_pos_20,20,T,0.1566559374332428,3.487286329269409,1.4058821201324463
CTCF_pos_20,20,CTCF,0.1566559374332428,3.487286329269409,1.4058821201324463
Dnase_pos_20,20,Dnase,0.1566559374332428,3.487286329269409,1.4058821201324463
H3K4me3_pos_20,20,H3K4me3,0.1566559374332428,3.487286329269409,1.4058821201324463
RRBS_pos_20,20,RRBS,0.1566559374332428,3.487286329269409,1.4058821201324463
A_pos_0,0,A,0.11877763271331787,3.487286329269409,1.2115615606307983
C_pos_0,0,C,0.11877763271331787,3.487286329269409,1.2115615606307983
G_pos_0,0,G,0.11877763271331787,3.487286329269409,1.2115615606307983
T_pos_0,0,T,0.11877763271331787,3.487286329269409,1.2115615606307983
CTCF_pos_0,0,CTCF,0.11877763271331787,3.487286329269409,1.2115615606307983
Dnase_pos_0,0,Dnase,0.11877763271331787,3.487286329269409,1.2115615606307983
H3K4me3_pos_0,0,H3K4me3,0.11877763271331787,3.487286329269409,1.2115615606307983
RRBS_pos_0,0,RRBS,0.11877763271331787,3.487286329269409,1.2115615606307983
A_pos_19,19,A,0.10593967884778976,3.487286329269409,1.270668864250183
C_pos_19,19,C,0.10593967884778976,3.487286329269409,1.270668864250183
G_pos_19,19,G,0.10593967884778976,3.487286329269409,1.270668864250183
T_pos_19,19,T,0.10593967884778976,3.487286329269409,1.270668864250183
CTCF_pos_19,19,CTCF,0.10593967884778976,3.487286329269409,1.270668864250183
Dnase_pos_19,19,Dnase,0.10593967884778976,3.487286329269409,1.270668864250183
H3K4me3_pos_19,19,H3K4me3,0.10593967884778976,3.487286329269409,1.270668864250183
RRBS_pos_19,19,RRBS,0.10593967884778976,3.487286329269409,1.270668864250183
A_pos_18,18,A,0.08686260879039764,3.487286329269409,1.1750380992889404
C_pos_18,18,C,0.08686260879039764,3.487286329269409,1.1750380992889404
G_pos_18,18,G,0.08686260879039764,3.487286329269409,1.1750380992889404
T_pos_18,18,T,0.08686260879039764,3.487286329269409,1.1750380992889404
CTCF_pos_18,18,CTCF,0.08686260879039764,3.487286329269409,1.1750380992889404
Dnase_pos_18,18,Dnase,0.08686260879039764,3.487286329269409,1.1750380992889404
H3K4me3_pos_18,18,H3K4me3,0.08686260879039764,3.487286329269409,1.1750380992889404
RRBS_pos_18,18,RRBS,0.08686260879039764,3.487286329269409,1.1750380992889404
A_pos_1,1,A,0.06962868571281433,3.487286329269409,1.0007057189941406
C_pos_1,1,C,0.06962868571281433,3.487286329269409,1.0007057189941406
G_pos_1,1,G,0.06962868571281433,3.487286329269409,1.0007057189941406
T_pos_1,1,T,0.06962868571281433,3.487286329269409,1.0007057189941406
CTCF_pos_1,1,CTCF,0.06962868571281433,3.487286329269409,1.0007057189941406
Dnase_pos_1,1,Dnase,0.06962868571281433,3.487286329269409,1.0007057189941406
H3K4me3_pos_1,1,H3K4me3,0.06962868571281433,3.487286329269409,1.0007057189941406
RRBS_pos_1,1,RRBS,0.06962868571281433,3.487286329269409,1.0007057189941406
A_pos_17,17,A,0.059666916728019714,3.487286329269409,1.080089807510376
C_pos_17,17,C,0.059666916728019714,3.487286329269409,1.080089807510376
G_pos_17,17,G,0.059666916728019714,3.487286329269409,1.080089807510376
T_pos_17,17,T,0.059666916728019714,3.487286329269409,1.080089807510376
CTCF_pos_17,17,CTCF,0.059666916728019714,3.487286329269409,1.080089807510376
Dnase_pos_17,17,Dnase,0.059666916728019714,3.487286329269409,1.080089807510376
H3K4me3_pos_17,17,H3K4me3,0.059666916728019714,3.487286329269409,1.080089807510376
RRBS_pos_17,17,RRBS,0.059666916728019714,3.487286329269409,1.080089807510376
RRBS_pos_12,12,RRBS,0.046292442828416824,3.487286329269409,0.9273765087127686
H3K4me3_pos_12,12,H3K4me3,0.046292442828416824,3.487286329269409,0.9273765087127686
Dnase_pos_12,12,Dnase,0.046292442828416824,3.487286329269409,0.9273765087127686
CTCF_pos_12,12,CTCF,0.046292442828416824,3.487286329269409,0.9273765087127686
T_pos_12,12,T,0.046292442828416824,3.487286329269409,0.9273765087127686
G_pos_12,12,G,0.046292442828416824,3.487286329269409,0.9273765087127686
C_pos_12,12,C,0.046292442828416824,3.487286329269409,0.9273765087127686
A_pos_12,12,A,0.046292442828416824,3.487286329269409,0.9273765087127686
A_pos_13,13,A,0.0462663434445858,3.487286329269409,0.8306571245193481
C_pos_13,13,C,0.0462663434445858,3.487286329269409,0.8306571245193481
G_pos_13,13,G,0.0462663434445858,3.487286329269409,0.8306571245193481
T_pos_13,13,T,0.0462663434445858,3.487286329269409,0.8306571245193481
CTCF_pos_13,13,CTCF,0.0462663434445858,3.487286329269409,0.8306571245193481
Dnase_pos_13,13,Dnase,0.0462663434445858,3.487286329269409,0.8306571245193481
H3K4me3_pos_13,13,H3K4me3,0.0462663434445858,3.487286329269409,0.8306571245193481
RRBS_pos_13,13,RRBS,0.0462663434445858,3.487286329269409,0.8306571245193481
RRBS_pos_11,11,RRBS,0.0415462888777256,3.487286329269409,0.9380287528038025
H3K4me3_pos_11,11,H3K4me3,0.0415462888777256,3.487286329269409,0.9380287528038025
Dnase_pos_11,11,Dnase,0.0415462888777256,3.487286329269409,0.9380287528038025
CTCF_pos_11,11,CTCF,0.0415462888777256,3.487286329269409,0.9380287528038025
T_pos_11,11,T,0.0415462888777256,3.487286329269409,0.9380287528038025
G_pos_11,11,G,0.0415462888777256,3.487286329269409,0.9380287528038025
C_pos_11,11,C,0.0415462888777256,3.487286329269409,0.9380287528038025
A_pos_11,11,A,0.0415462888777256,3.487286329269409,0.9380287528038025
A_pos_10,10,A,0.03199058398604393,3.487286329269409,0.7821443676948547
C_pos_10,10,C,0.03199058398604393,3.487286329269409,0.7821443676948547
G_pos_10,10,G,0.03199058398604393,3.487286329269409,0.7821443676948547
T_pos_10,10,T,0.03199058398604393,3.487286329269409,0.7821443676948547
CTCF_pos_10,10,CTCF,0.03199058398604393,3.487286329269409,0.7821443676948547
Dnase_pos_10,10,Dnase,0.03199058398604393,3.487286329269409,0.7821443676948547
H3K4me3_pos_10,10,H3K4me3,0.03199058398604393,3.487286329269409,0.7821443676948547
RRBS_pos_10,10,RRBS,0.03199058398604393,3.487286329269409,0.7821443676948547
RRBS_pos_14,14,RRBS,0.02889999933540821,3.487286329269409,0.6643746495246887
H3K4me3_pos_14,14,H3K4me3,0.02889999933540821,3.487286329269409,0.6643746495246887
Dnase_pos_14,14,Dnase,0.02889999933540821,3.487286329269409,0.6643746495246887
CTCF_pos_14,14,CTCF,0.02889999933540821,3.487286329269409,0.6643746495246887
T_pos_14,14,T,0.02889999933540821,3.487286329269409,0.6643746495246887
G_pos_14,14,G,0.02889999933540821,3.487286329269409,0.6643746495246887
C_pos_14,14,C,0.02889999933540821,3.487286329269409,0.6643746495246887
A_pos_14,14,A,0.02889999933540821,3.487286329269409,0.6643746495246887
RRBS_pos_2,2,RRBS,0.028301531448960304,3.487286329269409,0.9060335755348206
H3K4me3_pos_2,2,H3K4me3,0.028301531448960304,3.487286329269409,0.9060335755348206
Dnase_pos_2,2,Dnase,0.028301531448960304,3.487286329269409,0.9060335755348206
CTCF_pos_2,2,CTCF,0.028301531448960304,3.487286329269409,0.9060335755348206
T_pos_2,2,T,0.028301531448960304,3.487286329269409,0.9060335755348206
G_pos_2,2,G,0.028301531448960304,3.487286329269409,0.9060335755348206
C_pos_2,2,C,0.028301531448960304,3.487286329269409,0.9060335755348206
A_pos_2,2,A,0.028301531448960304,3.487286329269409,0.9060335755348206
A_pos_15,15,A,0.024087024852633476,3.487286329269409,0.7171822786331177
C_pos_15,15,C,0.024087024852633476,3.487286329269409,0.7171822786331177
G_pos_15,15,G,0.024087024852633476,3.487286329269409,0.7171822786331177
T_pos_15,15,T,0.024087024852633476,3.487286329269409,0.7171822786331177
CTCF_pos_15,15,CTCF,0.024087024852633476,3.487286329269409,0.7171822786331177
Dnase_pos_15,15,Dnase,0.024087024852633476,3.487286329269409,0.7171822786331177
H3K4me3_pos_15,15,H3K4me3,0.024087024852633476,3.487286329269409,0.7171822786331177
RRBS_pos_15,15,RRBS,0.024087024852633476,3.487286329269409,0.7171822786331177
A_pos_9,9,A,0.02115493454039097,3.487286329269409,0.7587636709213257
C_pos_9,9,C,0.02115493454039097,3.487286329269409,0.7587636709213257
G_pos_9,9,G,0.02115493454039097,3.487286329269409,0.7587636709213257
T_pos_9,9,T,0.02115493454039097,3.487286329269409,0.7587636709213257
CTCF_pos_9,9,CTCF,0.02115493454039097,3.487286329269409,0.7587636709213257
Dnase_pos_9,9,Dnase,0.02115493454039097,3.487286329269409,0.7587636709213257
H3K4me3_pos_9,9,H3K4me3,0.02115493454039097,3.487286329269409,0.7587636709213257
RRBS_pos_9,9,RRBS,0.02115493454039097,3.487286329269409,0.7587636709213257
A_pos_16,16,A,0.02079402096569538,3.487286329269409,1.100221872329712
C_pos_16,16,C,0.02079402096569538,3.487286329269409,1.100221872329712
G_pos_16,16,G,0.02079402096569538,3.487286329269409,1.100221872329712
T_pos_16,16,T,0.02079402096569538,3.487286329269409,1.100221872329712
CTCF_pos_16,16,CTCF,0.02079402096569538,3.487286329269409,1.100221872329712
Dnase_pos_16,16,Dnase,0.02079402096569538,3.487286329269409,1.100221872329712
H3K4me3_pos_16,16,H3K4me3,0.02079402096569538,3.487286329269409,1.100221872329712
RRBS_pos_16,16,RRBS,0.02079402096569538,3.487286329269409,1.100221872329712
A_pos_8,8,A,0.019431132823228836,3.487286329269409,0.8822594285011292
C_pos_8,8,C,0.019431132823228836,3.487286329269409,0.8822594285011292
G_pos_8,8,G,0.019431132823228836,3.487286329269409,0.8822594285011292
T_pos_8,8,T,0.019431132823228836,3.487286329269409,0.8822594285011292
CTCF_pos_8,8,CTCF,0.019431132823228836,3.487286329269409,0.8822594285011292
Dnase_pos_8,8,Dnase,0.019431132823228836,3.487286329269409,0.8822594285011292
H3K4me3_pos_8,8,H3K4me3,0.019431132823228836,3.487286329269409,0.8822594285011292
RRBS_pos_8,8,RRBS,0.019431132823228836,3.487286329269409,0.8822594285011292
A_pos_7,7,A,0.01935218647122383,3.487286329269409,1.0216386318206787
C_pos_7,7,C,0.01935218647122383,3.487286329269409,1.0216386318206787
G_pos_7,7,G,0.01935218647122383,3.487286329269409,1.0216386318206787
T_pos_7,7,T,0.01935218647122383,3.487286329269409,1.0216386318206787
CTCF_pos_7,7,CTCF,0.01935218647122383,3.487286329269409,1.0216386318206787
Dnase_pos_7,7,Dnase,0.01935218647122383,3.487286329269409,1.0216386318206787
H3K4me3_pos_7,7,H3K4me3,0.01935218647122383,3.487286329269409,1.0216386318206787
RRBS_pos_7,7,RRBS,0.01935218647122383,3.487286329269409,1.0216386318206787
RRBS_pos_6,6,RRBS,0.016857370734214783,3.487286329269409,1.0521306991577148
H3K4me3_pos_6,6,H3K4me3,0.016857370734214783,3.487286329269409,1.0521306991577148
Dnase_pos_6,6,Dnase,0.016857370734214783,3.487286329269409,1.0521306991577148
CTCF_pos_6,6,CTCF,0.016857370734214783,3.487286329269409,1.0521306991577148
T_pos_6,6,T,0.016857370734214783,3.487286329269409,1.0521306991577148
G_pos_6,6,G,0.016857370734214783,3.487286329269409,1.0521306991577148
C_pos_6,6,C,0.016857370734214783,3.487286329269409,1.0521306991577148
A_pos_6,6,A,0.016857370734214783,3.487286329269409,1.0521306991577148
A_pos_21,21,A,0.014265176840126514,3.487286329269409,1.3413810729980469
C_pos_21,21,C,0.014265176840126514,3.487286329269409,1.3413810729980469
G_pos_21,21,G,0.014265176840126514,3.487286329269409,1.3413810729980469
T_pos_21,21,T,0.014265176840126514,3.487286329269409,1.3413810729980469
CTCF_pos_21,21,CTCF,0.014265176840126514,3.487286329269409,1.3413810729980469
Dnase_pos_21,21,Dnase,0.014265176840126514,3.487286329269409,1.3413810729980469
H3K4me3_pos_21,21,H3K4me3,0.014265176840126514,3.487286329269409,1.3413810729980469
RRBS_pos_21,21,RRBS,0.014265176840126514,3.487286329269409,1.3413810729980469
RRBS_pos_3,3,RRBS,0.014213787391781807,3.487286329269409,1.0281498432159424
H3K4me3_pos_3,3,H3K4me3,0.014213787391781807,3.487286329269409,1.0281498432159424
Dnase_pos_3,3,Dnase,0.014213787391781807,3.487286329269409,1.0281498432159424
CTCF_pos_3,3,CTCF,0.014213787391781807,3.487286329269409,1.0281498432159424
T_pos_3,3,T,0.014213787391781807,3.487286329269409,1.0281498432159424
G_pos_3,3,G,0.014213787391781807,3.487286329269409,1.0281498432159424
C_pos_3,3,C,0.014213787391781807,3.487286329269409,1.0281498432159424
A_pos_3,3,A,0.014213787391781807,3.487286329269409,1.0281498432159424
A_pos_5,5,A,0.01159361656755209,3.487286329269409,1.1602920293807983
C_pos_5,5,C,0.01159361656755209,3.487286329269409,1.1602920293807983
G_pos_5,5,G,0.01159361656755209,3.487286329269409,1.1602920293807983
T_pos_5,5,T,0.01159361656755209,3.487286329269409,1.1602920293807983
CTCF_pos_5,5,CTCF,0.01159361656755209,3.487286329269409,1.1602920293807983
Dnase_pos_5,5,Dnase,0.01159361656755209,3.487286329269409,1.1602920293807983
H3K4me3_pos_5,5,H3K4me3,0.01159361656755209,3.487286329269409,1.1602920293807983
RRBS_pos_5,5,RRBS,0.01159361656755209,3.487286329269409,1.1602920293807983
A_pos_4,4,A,0.01029108464717865,3.487286329269409,1.1301960945129395
C_pos_4,4,C,0.01029108464717865,3.487286329269409,1.1301960945129395
G_pos_4,4,G,0.01029108464717865,3.487286329269409,1.1301960945129395
T_pos_4,4,T,0.01029108464717865,3.487286329269409,1.1301960945129395
CTCF_pos_4,4,CTCF,0.01029108464717865,3.487286329269409,1.1301960945129395
Dnase_pos_4,4,Dnase,0.01029108464717865,3.487286329269409,1.1301960945129395
H3K4me3_pos_4,4,H3K4me3,0.01029108464717865,3.487286329269409,1.1301960945129395
RRBS_pos_4,4,RRBS,0.01029108464717865,3.487286329269409,1.1301960945129395
A_pos_22,22,A,0.007130949757993221,3.487286329269409,1.7141714096069336
