Feature,MLP_IG,IG_SNR
pos18_C,0.01375498,0.63726246
pos23_G,0.011673424,3.9356756
pos20_G,0.010107996,0.64562774
pos18_A,0.009885479,0.76612437
pos1_G,0.008065822,0.5563971
pos6_Dnase,0.0070736622,2.6580384
pos23_Dnase,0.006982231,2.4378018
pos10_A,0.006550706,0.54198164
pos8_Dnase,0.0064114295,2.1604428
pos14_T,0.005770544,0.5390845
pos12_Dnase,0.0054339925,2.1031172
pos16_C,0.0054203807,0.5819927
pos1_Dnase,0.0054073078,1.9665731
pos16_Dnase,0.0049966555,1.8197457
pos12_A,0.0047604395,0.58715403
pos21_G,0.0047315643,0.45978126
pos20_A,0.0046186727,0.6320764
pos11_A,0.004425657,0.5464651
pos16_T,0.004126289,0.52839434
pos8_C,0.004061272,0.56428
pos15_A,0.004050203,0.57158893
pos8_G,0.0040387753,0.6361797
pos19_G,0.0039687143,0.6607613
pos1_C,0.0037245841,0.5786423
pos22_G,0.0036054794,1.4160218
pos16_G,0.0034602487,0.5955492
pos17_Dnase,0.0033910782,1.2269453
pos17_A,0.0033909949,0.59974396
pos14_Dnase,0.0033643146,1.1872737
pos22_Dnase,0.0033278684,1.6315455
pos13_C,0.0032222182,0.61631984
pos19_C,0.003211279,0.6131348
pos4_A,0.0028868837,0.51297593
pos3_T,0.0027995566,0.5597839
pos6_G,0.002798584,0.5524396
pos7_Dnase,0.0027940797,1.4374192
pos3_Dnase,0.0027550769,1.2256241
pos10_Dnase,0.0027380148,1.1204863
pos9_T,0.0026534768,0.57776433
pos14_G,0.002468116,0.56706923
pos9_Dnase,0.0024082165,0.90417796
pos20_Dnase,0.0023966345,0.8385086
pos4_Dnase,0.0023625612,0.8572594
pos5_C,0.0023583532,0.57711166
pos21_Dnase,0.0023038804,0.9309066
pos7_C,0.0022997619,0.60702866
pos7_G,0.0022532302,0.5820837
pos13_Dnase,0.0022266894,0.9784344
pos2_G,0.002226347,0.59866023
pos20_C,0.0022052566,0.64177895
pos2_Dnase,0.0021607485,0.91472805
pos14_A,0.0021590344,0.5337188
pos15_Dnase,0.0021221682,0.796622
pos19_Dnase,0.0021169367,0.78482294
pos2_C,0.0020828152,0.5534148
pos17_C,0.0020218878,0.5847491
pos14_C,0.001984488,0.5533952
pos18_Dnase,0.0019786702,0.8193128
