Feature,Position,Channel,CNN_IG,CNN_ISM,ISM_SNR
CTCF_pos_18,18,CTCF,0.0022566807456314564,0.010602922178804874,2.4896905422210693
CTCF_pos_4,4,CTCF,0.002254593651741743,0.010602879337966442,2.4823007583618164
CTCF_pos_5,5,CTCF,0.0022552283480763435,0.010600966401398182,2.485736131668091
CTCF_pos_6,6,CTCF,0.002254750346764922,0.010600429028272629,2.4854605197906494
CTCF_pos_17,17,CTCF,0.002256364095956087,0.01059949491173029,2.4938461780548096
CTCF_pos_7,7,CTCF,0.0022549047134816647,0.010599406436085701,2.4908838272094727
CTCF_pos_8,8,CTCF,0.0022544062230736017,0.010598414577543736,2.4890642166137695
CTCF_pos_9,9,CTCF,0.0022548865526914597,0.010598220862448215,2.4901344776153564
CTCF_pos_11,11,CTCF,0.0022546330001205206,0.010595513507723808,2.4881882667541504
CTCF_pos_10,10,CTCF,0.002254720777273178,0.010594889521598816,2.4871957302093506
CTCF_pos_12,12,CTCF,0.002254841849207878,0.010594399645924568,2.4900972843170166
CTCF_pos_13,13,CTCF,0.002255196450278163,0.010591385886073112,2.4932103157043457
CTCF_pos_16,16,CTCF,0.002257284941151738,0.010590909980237484,2.4918296337127686
CTCF_pos_15,15,CTCF,0.0022560616489499807,0.010588044300675392,2.4898571968078613
CTCF_pos_14,14,CTCF,0.002255132421851158,0.010587767697870731,2.493225574493408
CTCF_pos_3,3,CTCF,0.0013618480879813433,0.00999416597187519,2.3937320709228516
CTCF_pos_2,2,CTCF,0.0006700601661577821,0.008124751970171928,2.0117127895355225
G_pos_0,0,G,0.0013604440027847886,0.007730390410870314,1.470455527305603
CTCF_pos_19,19,CTCF,0.0017975560622289777,0.007700304966419935,2.0526580810546875
A_pos_0,0,A,0.00426575168967247,0.007134874816983938,1.197116732597351
T_pos_20,20,T,0.00278893718495965,0.007061571814119816,0.9796981811523438
A_pos_19,19,A,0.005947435274720192,0.006955056916922331,1.1642123460769653
CTCF_pos_20,20,CTCF,0.00039918822585605085,0.006761678960174322,1.7759945392608643
