Feature,XGB_Gain,XGB_Weight,XGB_Cover,TreeSHAP,SHAP_SNR
pos18_C,1.5608867406845093,49.0,7026.4287109375,0.021944193169474602,0.8893510745236235
pos18_G,0.6556769609451294,20.0,2251.10009765625,0.0022415516432374716,0.7358421673741417
pos13_CTCF,0.5274220108985901,5.0,1943.800048828125,0.0006079964805394411,0.5624436692274282
pos10_CTCF,0.4700927734375,1.0,2002.0,0.00012129859533160925,0.49351313175742334
pos20_C,0.4578015208244324,45.0,2692.422119140625,0.00559746939688921,0.8570596397410924
pos23_CTCF,0.43327459692955017,6.0,2184.833251953125,0.0006694917101413012,0.6345317427568834
pos20_G,0.406741738319397,58.0,2592.17236328125,0.008711601607501507,0.8155538330395958
pos18_A,0.3832813501358032,41.0,2578.56103515625,0.006119984667748213,0.889752493212851
pos19_T,0.3607802093029022,14.0,1689.5,0.0007529471768066287,0.37736695712124
pos19_A,0.3492220640182495,51.0,2644.450927734375,0.006445088889449835,0.832237801105242
pos22_H3K4me3,0.34290963411331177,1.0,857.0,5.463692286866717e-05,0.35486949271631735
pos1_G,0.33992841839790344,58.0,2840.8447265625,0.007581923622637987,0.8079471811348986
pos16_C,0.3114627003669739,38.0,2070.868408203125,0.0038000380154699087,0.7955029937952445
pos18_T,0.3051050901412964,21.0,1023.3809814453125,0.00035116917570121586,0.5817889693055043
pos19_C,0.30283620953559875,38.0,1246.7894287109375,0.0027532782405614853,0.806596536359624
pos16_G,0.29415157437324524,54.0,2894.962890625,0.006458368618041277,0.8455220965964778
pos14_G,0.29326003789901733,54.0,2509.629638671875,0.006096395663917065,0.8300175513412085
pos8_CTCF,0.2872565984725952,8.0,2503.75,0.0008651430252939463,0.7319092679159116
pos3_C,0.28466299176216125,43.0,1918.906982421875,0.0038873779121786356,0.810244908260644
pos20_H3K4me3,0.282768189907074,1.0,759.0,4.5793109165970236e-05,0.37494235937976605
pos17_A,0.2791452705860138,34.0,1248.2059326171875,0.001470424816943705,0.6948813639809609
pos17_T,0.2767621874809265,22.0,1746.95458984375,0.0011220730375498533,0.4175343444520959
pos5_CTCF,0.27579858899116516,3.0,1493.0,0.00018237346375826746,0.5464367559161005
pos12_CTCF,0.2630075216293335,1.0,125.0,2.2228867237572558e-05,0.24758234918352215
pos4_G,0.2619180381298065,22.0,409.3636474609375,0.0007804018096067011,0.6850126060576736
pos11_CTCF,0.26095327734947205,7.0,1296.4285888671875,0.00048708124086260796,0.6440114183561568
pos19_G,0.25380128622055054,42.0,1064.0714111328125,0.002894813660532236,0.8492263055054808
pos19_CTCF,0.25366756319999695,6.0,564.3333129882812,0.00015137557056732476,0.4243420482522953
pos21_G,0.25174838304519653,50.0,2562.5,0.004219296388328075,0.7263660883450632
pos4_CTCF,0.2516624331474304,2.0,1041.5,0.0001259691925952211,0.5238125356372159
pos13_A,0.24859187006950378,36.0,990.111083984375,0.0011468525044620037,0.6779285583362824
pos1_C,0.2465924769639969,39.0,2823.205078125,0.00433153985068202,0.8357206522821046
pos20_T,0.23924235999584198,31.0,1088.6451416015625,0.0008223343756981194,0.3187843004029173
pos2_C,0.23681943118572235,27.0,1147.9630126953125,0.0011749176774173975,0.6345862455160016
pos20_A,0.23576955497264862,32.0,1159.46875,0.0007706313044764102,0.7457175158441084
pos14_T,0.2347058802843094,40.0,2015.5,0.0033246639650315046,0.7616096303558768
pos15_T,0.23343876004219055,33.0,1002.1514892578125,0.0016357896383851767,0.6666773258994496
pos15_A,0.23302987217903137,42.0,1182.5714111328125,0.002732021501287818,0.7753533310798518
pos18_CTCF,0.23105749487876892,5.0,608.2000122070312,0.00013692521315533668,0.5411295469610403
pos2_CTCF,0.22258727252483368,7.0,1579.7142333984375,0.00048766957479529083,0.7128389454697888
pos11_A,0.2202126383781433,65.0,1323.5692138671875,0.00405913358554244,0.7812144625450962
pos6_T,0.21748299896717072,34.0,1718.38232421875,0.0022629275918006897,0.7429152572581956
pos9_T,0.21682427823543549,12.0,432.3333435058594,0.00043527758680284023,0.6387380774088632
