Feature,MLP_IG,IG_SNR
pos23_G,0.016277926,4.548188
pos18_C,0.012798051,0.59624964
pos20_G,0.011025804,0.5737724
pos1_G,0.010952674,0.6093777
pos21_G,0.007864215,0.51685536
pos10_A,0.007729932,0.5650996
pos12_A,0.006977975,0.59106374
pos20_T,0.0064143976,0.50837517
pos16_C,0.0060418756,0.5429823
pos22_G,0.0058885957,1.741308
pos14_T,0.005863706,0.5163214
pos4_G,0.0055733672,0.6023468
pos18_A,0.005302058,0.5568265
pos8_C,0.0050160955,0.58644307
pos19_G,0.0048515173,0.60157573
pos8_G,0.0047649243,0.58105177
pos11_A,0.004697606,0.544158
pos20_A,0.00467542,0.55902135
pos15_A,0.004638154,0.5986502
pos6_G,0.004593268,0.5784682
pos17_T,0.0045197275,0.50434965
pos14_A,0.003893438,0.5692642
pos17_G,0.003846017,0.6109667
pos2_G,0.0037846072,0.585034
pos13_C,0.00370559,0.573741
pos17_A,0.0036357418,0.5628681
pos5_C,0.0036253028,0.5718715
pos9_T,0.0035501926,0.55197966
pos19_T,0.003529901,0.51228845
pos14_G,0.0034741464,0.587291
pos16_T,0.003348776,0.5202597
pos3_G,0.0030004627,0.5409592
pos7_C,0.0029210434,0.5697313
pos6_C,0.0029189063,0.5561849
pos17_C,0.0028633268,0.5459171
pos4_A,0.002792181,0.52935433
pos9_A,0.0025869233,0.5562888
pos16_G,0.0025453283,0.5864739
pos19_C,0.0024903694,0.5503809
pos18_T,0.0024591426,0.50407135
pos14_C,0.0024581247,0.5310393
pos7_G,0.002407414,0.5731961
pos2_T,0.0023542922,0.52049327
pos1_T,0.0023425804,0.5259595
pos1_C,0.0022734317,0.5298469
pos19_A,0.0021694908,0.5157092
pos15_T,0.002143086,0.5267046
pos16_A,0.0021280434,0.5100867
pos8_A,0.0020898045,0.53626287
pos4_C,0.001981735,0.5277054
pos11_G,0.0019816514,0.55038226
pos3_C,0.0019272687,0.5218578
pos10_G,0.0019263894,0.54902047
pos2_C,0.0018772517,0.52521354
pos3_T,0.0018674157,0.5175301
pos2_A,0.0017341824,0.49528933
pos11_C,0.0017085172,0.49117857
pos20_C,0.0016726188,0.54984236
pos15_G,0.0016447362,0.48727167
pos21_T,0.0015858862,0.56030667
pos12_G,0.0015751362,0.49512377
pos21_A,0.0015429578,0.5329422
pos7_A,0.001332146,0.49332154
pos12_T,0.0013038581,0.47715423
pos21_C,0.0012950709,0.35503635
pos5_A,0.0012884396,0.4831324
pos15_C,0.001263905,0.4563519
pos5_G,0.0011963835,0.45913875
pos3_A,0.0011294037,0.46458188
pos8_T,0.0011118279,0.4249386
pos10_C,0.0010820688,0.4493851
pos10_T,0.0010029782,0.41771352
pos11_T,0.0009649647,0.4220953
pos12_C,0.00096114917,0.44053304
pos13_A,0.00093402853,0.41597864
pos7_T,0.0009049493,0.41540492
pos4_T,0.00083110604,0.39541188
pos6_T,0.00081116054,0.40191674
pos18_G,0.0007894647,0.3956668
pos13_G,0.00075179304,0.4280446
pos6_A,0.00073396973,0.41086978
pos9_G,0.0006644008,0.3989355
pos1_A,0.000655402,0.3821261
pos13_T,0.0006454771,0.39465886
pos5_T,0.0006415741,0.3915634
pos9_C,0.00062041095,0.4159057
pos21_RRBS,0.0003020045,0.13627739
pos9_RRBS,0.00013506104,0.07072039
pos16_RRBS,0.00010850654,0.0858945
pos17_RRBS,0.00010003207,0.07380723
pos22_RRBS,9.9872064e-05,0.10971586
pos15_RRBS,8.2937964e-05,0.07575042
pos13_RRBS,6.988178e-05,0.07557429
pos19_RRBS,6.7477056e-05,0.07110158
pos3_RRBS,5.4572803e-05,0.07523936
pos14_RRBS,4.9599177e-05,0.078929536
pos10_RRBS,4.484179e-05,0.06954861
pos1_RRBS,4.2787284e-05,0.07003156
pos12_RRBS,4.1364732e-05,0.06432727
pos11_RRBS,3.9206854e-05,0.05859069
pos6_RRBS,3.4424058e-05,0.061262216
pos20_RRBS,2.4563795e-05,0.06317454
pos7_RRBS,2.1324364e-05,0.05643093
pos8_RRBS,2.098895e-05,0.055610586
pos5_RRBS,1.488674e-05,0.04589315
pos2_RRBS,1.1286707e-05,0.05256095
pos4_RRBS,1.11679e-05,0.048470855
pos18_RRBS,6.5812883e-06,0.045040295
pos1_CTCF,0.0,0.0
pos1_Dnase,0.0,0.0
pos2_CTCF,0.0,0.0
pos2_Dnase,0.0,0.0
pos1_H3K4me3,0.0,0.0
pos5_CTCF,0.0,0.0
pos4_CTCF,0.0,0.0
pos4_Dnase,0.0,0.0
pos2_H3K4me3,0.0,0.0
pos3_CTCF,0.0,0.0
pos3_Dnase,0.0,0.0
pos3_H3K4me3,0.0,0.0
pos7_H3K4me3,0.0,0.0
pos7_Dnase,0.0,0.0
pos7_CTCF,0.0,0.0
pos6_H3K4me3,0.0,0.0
pos6_Dnase,0.0,0.0
pos6_CTCF,0.0,0.0
pos5_Dnase,0.0,0.0
pos5_H3K4me3,0.0,0.0
pos4_H3K4me3,0.0,0.0
pos15_Dnase,0.0,0.0
pos15_CTCF,0.0,0.0
pos14_H3K4me3,0.0,0.0
pos14_Dnase,0.0,0.0
pos14_CTCF,0.0,0.0
pos13_Dnase,0.0,0.0
pos13_H3K4me3,0.0,0.0
pos9_H3K4me3,0.0,0.0
pos9_Dnase,0.0,0.0
pos10_CTCF,0.0,0.0
pos10_Dnase,0.0,0.0
pos8_Dnase,0.0,0.0
pos8_CTCF,0.0,0.0
pos9_CTCF,0.0,0.0
pos8_H3K4me3,0.0,0.0
pos12_H3K4me3,0.0,0.0
pos13_CTCF,0.0,0.0
pos12_CTCF,0.0,0.0
pos12_Dnase,0.0,0.0
pos10_H3K4me3,0.0,0.0
pos11_CTCF,0.0,0.0
pos11_Dnase,0.0,0.0
pos11_H3K4me3,0.0,0.0
pos15_H3K4me3,0.0,0.0
pos19_Dnase,0.0,0.0
pos19_CTCF,0.0,0.0
pos18_H3K4me3,0.0,0.0
pos19_H3K4me3,0.0,0.0
pos18_CTCF,0.0,0.0
pos17_Dnase,0.0,0.0
pos17_H3K4me3,0.0,0.0
pos16_H3K4me3,0.0,0.0
pos17_CTCF,0.0,0.0
pos16_CTCF,0.0,0.0
pos16_Dnase,0.0,0.0
pos18_Dnase,0.0,0.0
pos20_H3K4me3,0.0,0.0
pos20_CTCF,0.0,0.0
pos20_Dnase,0.0,0.0
pos21_H3K4me3,0.0,0.0
