Feature,MLP_IG,IG_SNR
pos18_C,0.014656446,0.5871858
pos20_G,0.008761011,0.5669098
pos1_G,0.008661642,0.59478414
pos20_T,0.007605126,0.4894165
pos18_A,0.0067873425,0.5390591
pos3_Dnase,0.0063737775,2.5777395
pos6_Dnase,0.005998101,2.2666469
pos3_CTCF,0.0057749664,1.286085
pos5_H3K4me3,0.0056869155,1.672533
pos21_G,0.00562045,0.506084
pos14_G,0.0056173434,0.5941433
pos17_T,0.0054862634,0.47809136
pos23_G,0.0054064146,2.5533636
pos15_H3K4me3,0.0053149993,1.4771905
pos15_A,0.0050537833,0.5975236
pos14_T,0.004934203,0.50199157
pos11_CTCF,0.0048592677,1.1678011
pos10_A,0.0048420466,0.54987925
pos16_Dnase,0.00476969,1.9130194
pos16_G,0.0045169503,0.58205485
pos16_C,0.0044553,0.5294084
pos12_A,0.0043805153,0.5741053
pos4_H3K4me3,0.0043497356,1.60703
pos19_T,0.004162305,0.4987672
pos1_C,0.0040573035,0.5431374
pos22_CTCF,0.004046419,1.2093214
pos23_Dnase,0.0038390553,1.278914
pos6_G,0.0037964834,0.5683233
pos21_H3K4me3,0.0036761926,1.2996699
pos14_CTCF,0.0035282332,1.0674169
pos1_H3K4me3,0.0034688353,1.2304757
pos15_C,0.0034245835,0.49163386
pos8_C,0.0033923404,0.57239085
pos20_C,0.003306819,0.5907552
pos13_Dnase,0.003196179,1.3909054
pos21_T,0.0031404463,0.6585671
pos19_A,0.0031161136,0.51940364
pos2_Dnase,0.00308964,1.2298466
pos12_H3K4me3,0.003060029,1.1702828
pos4_A,0.0030150851,0.50963515
pos17_H3K4me3,0.0030115978,0.9856088
pos4_G,0.0029244798,0.5898647
pos6_T,0.002874683,0.5376279
pos3_C,0.0028022218,0.56861657
pos18_T,0.0027697275,0.50234497
pos18_G,0.002742258,0.49443302
pos11_A,0.0026634184,0.517182
pos18_Dnase,0.0026446502,1.1450977
pos19_C,0.0026341055,0.5401014
pos22_H3K4me3,0.0026054017,1.0039307
pos12_Dnase,0.0026035912,1.1919819
pos15_Dnase,0.0025693113,0.8875975
pos12_CTCF,0.0025599403,1.0660497
pos7_H3K4me3,0.0025441027,1.0814581
pos20_Dnase,0.0025210658,0.96848243
pos14_Dnase,0.0024609843,0.96791244
