Feature,Position,Channel,CNN_IG,CNN_ISM,ISM_SNR
G_pos_22,22,G,0.007643613964319229,0.01365436241030693,1.1333918571472168
CTCF_pos_11,11,CTCF,0.0040232655592262745,0.012678716331720352,0.9240326881408691
CTCF_pos_6,6,CTCF,0.0040094503201544285,0.012676957994699478,0.925963819026947
CTCF_pos_10,10,CTCF,0.003997446969151497,0.01267337054014206,0.9248904585838318
CTCF_pos_8,8,CTCF,0.004022278822958469,0.012663785368204117,0.9237896203994751
CTCF_pos_9,9,CTCF,0.004011765122413635,0.0126612838357687,0.9236363768577576
CTCF_pos_5,5,CTCF,0.004001537803560495,0.01265669520944357,0.9260778427124023
CTCF_pos_12,12,CTCF,0.0039951615035533905,0.012653869576752186,0.9233729243278503
CTCF_pos_7,7,CTCF,0.004014706239104271,0.01265178807079792,0.9241458177566528
CTCF_pos_13,13,CTCF,0.003976176958531141,0.012647426687180996,0.9229446053504944
CTCF_pos_4,4,CTCF,0.003999562468379736,0.01263417024165392,0.9251840114593506
CTCF_pos_14,14,CTCF,0.003969935700297356,0.012627999298274517,0.9209402799606323
CTCF_pos_15,15,CTCF,0.003976133652031422,0.012611332349479198,0.9212127923965454
CTCF_pos_16,16,CTCF,0.003953158855438232,0.012586578726768494,0.9197363257408142
CTCF_pos_17,17,CTCF,0.00393684534355998,0.012552810832858086,0.9198400378227234
CTCF_pos_18,18,CTCF,0.003903491422533989,0.012477213516831398,0.9192426204681396
C_pos_0,0,C,0.006420623976737261,0.012052835896611214,0.8809430003166199
T_pos_1,1,T,0.004633901175111532,0.011587446555495262,0.8472124338150024
A_pos_18,18,A,0.00553898885846138,0.011387133039534092,0.9449378252029419
CTCF_pos_3,3,CTCF,0.0038408185355365276,0.011196106672286987,0.9673422574996948
CTCF_pos_19,19,CTCF,0.003209119662642479,0.011042988859117031,0.96039217710495
T_pos_20,20,T,0.00820827390998602,0.010950165800750256,0.8214791417121887
A_pos_17,17,A,0.006085130851715803,0.010684276930987835,0.9672483801841736
C_pos_19,19,C,0.009519710205495358,0.01050773449242115,0.7978599667549133
CTCF_pos_2,2,CTCF,0.003759002313017845,0.01024050172418356,0.9917687773704529
CTCF_pos_20,20,CTCF,0.003147134557366371,0.01015731692314148,0.9917340278625488
T_pos_18,18,T,0.004134451039135456,0.009908724576234818,0.8033742904663086
G_pos_18,18,G,0.0015365886501967907,0.0098964162170887,0.9704684615135193
A_pos_2,2,A,0.005697187967598438,0.009877082891762257,0.9688518643379211
A_pos_20,20,A,0.008231855928897858,0.009699758142232895,0.8647724986076355
T_pos_19,19,T,0.004165915306657553,0.00968956109136343,0.8571469783782959
G_pos_21,21,G,0.007029321976006031,0.009097046218812466,0.8894158601760864
G_pos_17,17,G,0.0012117880396544933,0.009081303142011166,0.9391844272613525
C_pos_2,2,C,0.006861329078674316,0.00900178961455822,0.7985374331474304
C_pos_20,20,C,0.006552017759531736,0.00899745337665081,0.8707984089851379
C_pos_21,21,C,0.0,0.008561619557440281,1.0925652980804443
CTCF_pos_1,1,CTCF,0.003353839972987771,0.008291690610349178,1.3584660291671753
T_pos_17,17,T,0.003922654315829277,0.00829155370593071,0.8165850043296814
A_pos_11,11,A,0.005987000185996294,0.008252518251538277,0.8764476180076599
