Feature,Position,Channel,Transformer_Attention,Attention_Entropy,Attention_SNR
RRBS_pos_7,7,RRBS,0.04800884798169136,4.516745567321777,31.492528915405273
H3K4me3_pos_7,7,H3K4me3,0.04800884798169136,4.516745567321777,31.492528915405273
Dnase_pos_7,7,Dnase,0.04800884798169136,4.516745567321777,31.492528915405273
CTCF_pos_7,7,CTCF,0.04800884798169136,4.516745567321777,31.492528915405273
T_pos_7,7,T,0.04800884798169136,4.516745567321777,31.492528915405273
G_pos_7,7,G,0.04800884798169136,4.516745567321777,31.492528915405273
C_pos_7,7,C,0.04800884798169136,4.516745567321777,31.492528915405273
A_pos_7,7,A,0.04800884798169136,4.516745567321777,31.492528915405273
A_pos_0,0,A,0.04771261662244797,4.516745567321777,30.591121673583984
C_pos_0,0,C,0.04771261662244797,4.516745567321777,30.591121673583984
G_pos_0,0,G,0.04771261662244797,4.516745567321777,30.591121673583984
T_pos_0,0,T,0.04771261662244797,4.516745567321777,30.591121673583984
CTCF_pos_0,0,CTCF,0.04771261662244797,4.516745567321777,30.591121673583984
Dnase_pos_0,0,Dnase,0.04771261662244797,4.516745567321777,30.591121673583984
H3K4me3_pos_0,0,H3K4me3,0.04771261662244797,4.516745567321777,30.591121673583984
RRBS_pos_0,0,RRBS,0.04771261662244797,4.516745567321777,30.591121673583984
RRBS_pos_8,8,RRBS,0.04742589220404625,4.516745567321777,30.300634384155273
H3K4me3_pos_8,8,H3K4me3,0.04742589220404625,4.516745567321777,30.300634384155273
Dnase_pos_8,8,Dnase,0.04742589220404625,4.516745567321777,30.300634384155273
CTCF_pos_8,8,CTCF,0.04742589220404625,4.516745567321777,30.300634384155273
T_pos_8,8,T,0.04742589220404625,4.516745567321777,30.300634384155273
G_pos_8,8,G,0.04742589220404625,4.516745567321777,30.300634384155273
C_pos_8,8,C,0.04742589220404625,4.516745567321777,30.300634384155273
A_pos_8,8,A,0.04742589220404625,4.516745567321777,30.300634384155273
A_pos_1,1,A,0.04741377383470535,4.516745567321777,29.85228729248047
C_pos_1,1,C,0.04741377383470535,4.516745567321777,29.85228729248047
G_pos_1,1,G,0.04741377383470535,4.516745567321777,29.85228729248047
T_pos_1,1,T,0.04741377383470535,4.516745567321777,29.85228729248047
CTCF_pos_1,1,CTCF,0.04741377383470535,4.516745567321777,29.85228729248047
Dnase_pos_1,1,Dnase,0.04741377383470535,4.516745567321777,29.85228729248047
H3K4me3_pos_1,1,H3K4me3,0.04741377383470535,4.516745567321777,29.85228729248047
RRBS_pos_1,1,RRBS,0.04741377383470535,4.516745567321777,29.85228729248047
RRBS_pos_6,6,RRBS,0.04724140837788582,4.516745567321777,29.98569107055664
H3K4me3_pos_6,6,H3K4me3,0.04724140837788582,4.516745567321777,29.98569107055664
Dnase_pos_6,6,Dnase,0.04724140837788582,4.516745567321777,29.98569107055664
CTCF_pos_6,6,CTCF,0.04724140837788582,4.516745567321777,29.98569107055664
T_pos_6,6,T,0.04724140837788582,4.516745567321777,29.98569107055664
G_pos_6,6,G,0.04724140837788582,4.516745567321777,29.98569107055664
C_pos_6,6,C,0.04724140837788582,4.516745567321777,29.98569107055664
A_pos_6,6,A,0.04724140837788582,4.516745567321777,29.98569107055664
RRBS_pos_2,2,RRBS,0.046652182936668396,4.516745567321777,30.47311019897461
H3K4me3_pos_2,2,H3K4me3,0.046652182936668396,4.516745567321777,30.47311019897461
Dnase_pos_2,2,Dnase,0.046652182936668396,4.516745567321777,30.47311019897461
CTCF_pos_2,2,CTCF,0.046652182936668396,4.516745567321777,30.47311019897461
T_pos_2,2,T,0.046652182936668396,4.516745567321777,30.47311019897461
G_pos_2,2,G,0.046652182936668396,4.516745567321777,30.47311019897461
C_pos_2,2,C,0.046652182936668396,4.516745567321777,30.47311019897461
A_pos_2,2,A,0.046652182936668396,4.516745567321777,30.47311019897461
RRBS_pos_9,9,RRBS,0.046481404453516006,4.516745567321777,28.814701080322266
H3K4me3_pos_9,9,H3K4me3,0.046481404453516006,4.516745567321777,28.814701080322266
