Feature,MLP_IG,IG_SNR
pos18_C,0.017296588,0.62073815
pos18_A,0.012508865,0.71098703
pos20_G,0.008969402,0.62942857
pos11_CTCF,0.008549317,1.7183101
pos9_H3K4me3,0.0075280964,1.9242783
pos8_CTCF,0.007136343,1.6029557
pos17_CTCF,0.0070558893,1.7661122
pos1_G,0.0069558597,0.5705731
pos16_H3K4me3,0.006333174,1.794934
pos19_G,0.0060903067,0.67881984
pos16_G,0.0056127426,0.5596057
pos20_C,0.0051227435,0.631876
pos13_H3K4me3,0.0050711967,1.2882928
pos14_G,0.0049126414,0.5721265
pos21_G,0.004691134,0.43835917
pos4_CTCF,0.0046551093,1.4778944
pos1_CTCF,0.0045622494,1.3520111
pos17_H3K4me3,0.0045003067,1.5147793
pos22_H3K4me3,0.0044676103,1.3386154
pos20_CTCF,0.0042482116,1.1567918
pos16_C,0.0041866717,0.5646809
pos11_C,0.004152215,0.5638877
pos3_H3K4me3,0.0040623625,1.2148365
pos1_C,0.0040487438,0.5420986
pos21_T,0.0039936197,0.61734176
pos12_H3K4me3,0.0039058316,1.4552943
pos6_G,0.0038590452,0.54540056
pos14_T,0.0037109754,0.5296573
pos12_A,0.0036767432,0.55029625
pos6_T,0.0035220408,0.49742693
pos7_H3K4me3,0.0033574814,1.0090953
pos21_H3K4me3,0.0033307648,1.0850236
pos18_G,0.0033305467,0.54420406
pos14_H3K4me3,0.0032437623,1.019259
pos2_H3K4me3,0.0032206865,0.92406327
pos3_CTCF,0.0031564299,0.88278764
pos16_T,0.0031523139,0.5042986
pos19_A,0.0031239411,0.5819968
pos21_A,0.0030924405,0.6657356
pos19_H3K4me3,0.0029679376,0.9663182
pos3_C,0.0029677444,0.52884245
pos2_C,0.0029448532,0.57082146
pos16_CTCF,0.0028861458,0.94397354
pos3_T,0.002876868,0.5366915
pos15_A,0.0028396158,0.55325854
pos19_CTCF,0.002828084,1.093851
pos15_G,0.0028138093,0.4905157
pos23_G,0.002799341,0.99752134
pos3_G,0.0027982204,0.536484
pos10_A,0.0027831024,0.48646426
pos13_CTCF,0.0027609633,0.9778689
pos4_G,0.002549393,0.5711638
pos12_T,0.002517124,0.5490712
pos5_H3K4me3,0.0024953783,1.0010982
pos21_CTCF,0.0024597275,0.93114954
pos1_H3K4me3,0.0024345105,0.94304043
pos18_H3K4me3,0.002382876,0.8778419
pos15_CTCF,0.0023739343,1.0409843
pos14_A,0.0023620133,0.508319
pos10_T,0.002354421,0.4973933
pos8_H3K4me3,0.0023431985,0.84143716
pos23_CTCF,0.0023360457,0.7724715
pos5_C,0.0022889173,0.5526208
pos5_CTCF,0.002288035,0.8389188
pos19_C,0.0022805885,0.5343049
pos7_CTCF,0.0022776679,0.89493555
pos10_H3K4me3,0.0022713384,0.7856522
pos22_G,0.0022449377,0.79318315
pos11_H3K4me3,0.0021775947,0.8854926
pos15_H3K4me3,0.002115298,0.8632692
pos23_H3K4me3,0.002097403,0.82710534
pos18_CTCF,0.0020850967,0.79412884
pos10_CTCF,0.0020796382,0.7883871
pos20_H3K4me3,0.00207654,0.80588585
pos9_C,0.0020500347,0.48217833
pos11_A,0.0020294415,0.45859945
pos4_T,0.0019815979,0.4732133
pos6_H3K4me3,0.0019768386,0.7688783
pos3_A,0.0019744902,0.4783211
pos22_CTCF,0.001971655,0.71978724
pos17_G,0.0019589576,0.5400731
pos6_CTCF,0.0019512395,0.75942457
