Feature,MLP_IG,IG_SNR
pos23_G,0.010452067,4.6127124
pos6_Dnase,0.0092840865,4.209261
pos22_G,0.008565503,4.418484
pos4_Dnase,0.0075909817,4.055835
pos12_Dnase,0.0072075776,3.1722252
pos21_T,0.006610034,0.7345183
pos1_Dnase,0.0061397995,2.964326
pos5_Dnase,0.005481546,2.5252945
pos16_Dnase,0.0051371916,2.5356686
pos20_T,0.004891126,0.515417
pos2_Dnase,0.0047725546,2.3194458
pos14_G,0.0045538996,0.6089994
pos12_G,0.0045066285,0.6287782
pos15_G,0.0042186845,0.6077082
pos23_Dnase,0.0042085918,1.7281237
pos16_G,0.0041848645,0.6699453
pos18_C,0.0038231278,0.55793864
pos14_Dnase,0.0037274226,1.7144641
pos18_T,0.003500031,0.584432
pos8_T,0.0034254033,0.6555753
pos14_C,0.0033920826,0.5601759
pos11_T,0.0033466103,0.544004
pos8_C,0.0033388182,0.5722955
pos22_Dnase,0.0031816163,1.638663
pos21_A,0.0031465497,0.6307555
pos17_Dnase,0.0030687677,1.294039
pos18_Dnase,0.0030064469,1.4162016
pos2_C,0.0029886393,0.5692789
pos9_G,0.0029448983,0.58305436
pos13_Dnase,0.0029280651,1.3769758
pos4_A,0.002877464,0.57452816
pos5_G,0.002846012,0.60778284
pos16_C,0.0028220036,0.50183433
pos19_T,0.0027184684,0.52833915
pos20_A,0.0027178419,0.56507975
pos8_G,0.002665622,0.5107876
pos21_Dnase,0.0025762008,1.2329443
pos9_Dnase,0.0025735854,1.090714
pos20_C,0.0024769562,0.6064342
pos10_C,0.0024587135,0.6127545
pos7_C,0.0023482388,0.55246043
pos11_C,0.002317708,0.5309014
pos3_G,0.0023124623,0.5562286
pos3_C,0.0022994627,0.6097867
pos3_Dnase,0.0022478374,0.92063165
pos10_G,0.0022306608,0.55492353
pos17_T,0.002186087,0.5042368
pos10_Dnase,0.0021860832,0.8643708
pos1_C,0.002148568,0.5609765
pos6_T,0.0021432636,0.5851935
pos1_T,0.002139692,0.56667125
pos15_Dnase,0.0020928313,0.8697405
pos2_T,0.0020150037,0.6254946
pos20_Dnase,0.0020072463,0.8550399
pos19_Dnase,0.001898605,0.8380886
pos7_Dnase,0.0018739555,0.83471274
pos7_T,0.0017976575,0.5060363
pos10_A,0.0017922017,0.532572
pos4_G,0.0017471719,0.5711956
pos12_C,0.0017118814,0.51482195
pos13_C,0.0016039527,0.5513084
pos11_Dnase,0.0015453327,0.78978485
pos13_A,0.0015081362,0.5280443
pos12_T,0.0014528837,0.52513444
pos6_C,0.0014443006,0.5036118
pos5_C,0.0014359435,0.5516499
pos9_T,0.001432218,0.5094949
pos5_A,0.0014172712,0.50181377
pos8_Dnase,0.0014095178,0.81783074
pos19_G,0.001310638,0.57900786
pos14_T,0.001257163,0.51539445
pos4_C,0.0012234828,0.4704242
pos9_C,0.0011705896,0.5597131
pos18_G,0.0011624901,0.49108097
pos5_T,0.0011426624,0.44805446
pos14_A,0.0011227359,0.4937496
pos1_G,0.0010868518,0.4968061
pos21_G,0.0010640762,0.4929971
pos7_A,0.0010108047,0.5000775
pos8_A,0.0010042428,0.49045134
pos13_G,0.0009918566,0.51783895
pos3_A,0.000988431,0.49545518
pos3_T,0.00085349084,0.43134865
pos10_T,0.0008215417,0.4336488
pos12_A,0.00075073604,0.43511048
pos15_C,0.00071624015,0.4261762
pos9_A,0.00069518096,0.40529975
pos15_T,0.0006695469,0.46174785
pos7_G,0.00064427225,0.43132356
pos2_A,0.0006376516,0.41546208
pos19_A,0.00055446423,0.42145556
pos17_C,0.0005538092,0.44082344
pos11_G,0.0005434377,0.42959
pos17_G,0.0005319507,0.39390287
pos13_T,0.00053147617,0.4246237
pos19_C,0.00052947376,0.39742652
pos20_G,0.00052915205,0.41255352
pos11_A,0.0005234108,0.41893786
pos15_A,0.00051320466,0.43352625
pos2_G,0.0004984871,0.40999168
pos16_A,0.00047502792,0.41658142
pos4_T,0.00047362284,0.41070986
pos6_A,0.00047156579,0.39006758
pos16_T,0.00045497972,0.3776996
pos17_A,0.00044621658,0.4074068
pos18_A,0.0004193114,0.38998872
pos1_A,0.00041421904,0.37648153
pos6_G,0.00039126026,0.40379736
pos21_C,0.00025890477,0.2658184
pos1_CTCF,0.0,0.0
pos2_CTCF,0.0,0.0
pos2_H3K4me3,0.0,0.0
pos1_RRBS,0.0,0.0
pos1_H3K4me3,0.0,0.0
pos4_CTCF,0.0,0.0
pos4_H3K4me3,0.0,0.0
pos2_RRBS,0.0,0.0
pos3_CTCF,0.0,0.0
pos3_H3K4me3,0.0,0.0
pos3_RRBS,0.0,0.0
pos7_RRBS,0.0,0.0
pos7_H3K4me3,0.0,0.0
pos7_CTCF,0.0,0.0
pos6_RRBS,0.0,0.0
pos6_H3K4me3,0.0,0.0
pos6_CTCF,0.0,0.0
pos5_H3K4me3,0.0,0.0
pos5_RRBS,0.0,0.0
pos4_RRBS,0.0,0.0
pos5_CTCF,0.0,0.0
pos15_CTCF,0.0,0.0
pos14_RRBS,0.0,0.0
pos14_H3K4me3,0.0,0.0
pos14_CTCF,0.0,0.0
pos13_H3K4me3,0.0,0.0
pos13_RRBS,0.0,0.0
pos9_RRBS,0.0,0.0
pos9_H3K4me3,0.0,0.0
pos10_CTCF,0.0,0.0
pos10_H3K4me3,0.0,0.0
pos8_H3K4me3,0.0,0.0
pos8_CTCF,0.0,0.0
pos9_CTCF,0.0,0.0
pos8_RRBS,0.0,0.0
pos12_RRBS,0.0,0.0
pos13_CTCF,0.0,0.0
pos12_CTCF,0.0,0.0
pos12_H3K4me3,0.0,0.0
pos10_RRBS,0.0,0.0
pos11_CTCF,0.0,0.0
pos11_H3K4me3,0.0,0.0
pos11_RRBS,0.0,0.0
pos15_RRBS,0.0,0.0
pos15_H3K4me3,0.0,0.0
pos19_CTCF,0.0,0.0
pos18_RRBS,0.0,0.0
pos19_RRBS,0.0,0.0
pos19_H3K4me3,0.0,0.0
pos17_H3K4me3,0.0,0.0
pos17_RRBS,0.0,0.0
pos16_RRBS,0.0,0.0
pos17_CTCF,0.0,0.0
pos16_CTCF,0.0,0.0
pos16_H3K4me3,0.0,0.0
pos18_H3K4me3,0.0,0.0
pos18_CTCF,0.0,0.0
pos20_CTCF,0.0,0.0
pos20_H3K4me3,0.0,0.0
pos21_RRBS,0.0,0.0
pos21_H3K4me3,0.0,0.0
pos21_CTCF,0.0,0.0
pos20_RRBS,0.0,0.0
pos22_T,0.0,0.0
pos22_CTCF,0.0,0.0
pos22_C,0.0,0.0
pos22_A,0.0,0.0
pos22_RRBS,0.0,0.0
pos22_H3K4me3,0.0,0.0
pos23_C,0.0,0.0
pos23_A,0.0,0.0
pos23_T,0.0,0.0
pos23_CTCF,0.0,0.0
pos23_H3K4me3,0.0,0.0
pos23_RRBS,0.0,0.0
