Feature,MLP_IG,IG_SNR
pos9_H3K4me3,0.012977351,3.3422012
pos15_H3K4me3,0.008910415,2.821408
pos23_G,0.008576455,3.0104246
pos3_H3K4me3,0.00838197,3.1620038
pos11_H3K4me3,0.007555446,2.3617995
pos7_H3K4me3,0.0069008,2.3506656
pos4_H3K4me3,0.006362791,2.6874843
pos2_H3K4me3,0.0062531405,2.2743423
pos19_H3K4me3,0.006214795,2.3572984
pos5_H3K4me3,0.006118239,2.316351
pos17_H3K4me3,0.005513136,2.433015
pos17_G,0.0054918975,0.74744964
pos23_H3K4me3,0.005377713,2.2600093
pos18_H3K4me3,0.0048670317,1.9743996
pos21_H3K4me3,0.0046198,1.9030749
pos20_G,0.0044861953,0.6443319
pos16_H3K4me3,0.0042846394,1.447457
pos14_C,0.0041464767,0.59502107
pos1_G,0.0039298846,0.5405536
pos8_C,0.0036204653,0.5823923
pos21_A,0.0035314758,0.69990206
pos10_H3K4me3,0.0034239166,1.2492442
pos19_G,0.0033734844,0.7176177
pos10_C,0.003214921,0.5791497
pos18_C,0.0030395475,0.63338155
pos6_H3K4me3,0.0029213913,1.1239251
pos16_G,0.002920153,0.5948638
pos11_C,0.0028873854,0.5740248
pos16_C,0.0028433083,0.57653457
pos2_C,0.0028250923,0.5834419
pos20_H3K4me3,0.0027888622,1.0067776
pos4_A,0.002781952,0.51818943
pos22_H3K4me3,0.0026808186,0.8471944
pos3_G,0.0025775612,0.54019034
pos21_T,0.0025392454,0.6732763
pos20_C,0.002501554,0.68056387
pos14_H3K4me3,0.002457054,0.8908578
pos1_H3K4me3,0.0024445143,0.87879294
pos2_G,0.00244215,0.592833
pos7_C,0.0023827455,0.58549875
pos8_H3K4me3,0.0022702576,0.86733884
pos10_A,0.0022607713,0.5042151
pos15_T,0.002170524,0.5450106
pos13_H3K4me3,0.0021327941,0.83894306
pos17_A,0.002009472,0.579553
pos18_A,0.0019453563,0.6128065
pos4_G,0.0019412583,0.5630127
pos22_G,0.0018938029,0.92158467
pos9_G,0.0018685509,0.48593256
pos12_H3K4me3,0.0018683969,0.78726727
pos8_A,0.0018183282,0.512065
pos10_G,0.0017402725,0.55974936
pos16_T,0.0017048118,0.51445335
pos6_G,0.0016892573,0.46467164
pos6_T,0.0016259089,0.507632
pos5_G,0.0015108957,0.50649375
pos12_A,0.0015057718,0.53405875
pos12_G,0.0014823116,0.4892262
pos7_G,0.0014780569,0.5267825
pos11_A,0.0014763079,0.50068974
pos20_A,0.0014659961,0.5258273
pos15_A,0.0014608778,0.52499485
pos3_T,0.0014296946,0.5083814
pos9_T,0.0014180855,0.5095217
pos3_A,0.0013927121,0.48867574
pos14_T,0.0013392742,0.46955132
pos14_G,0.0013101544,0.48118213
pos11_G,0.0013087033,0.52363294
pos5_T,0.0012637001,0.481718
pos13_G,0.0012427333,0.5076237
pos13_C,0.0012272205,0.5037133
pos8_G,0.0012072437,0.47672138
pos12_C,0.0011660616,0.49882922
pos9_A,0.0011513291,0.4850217
pos5_A,0.0011047424,0.48279235
pos19_A,0.0010996788,0.51778096
pos10_T,0.0009874256,0.41794235
pos8_T,0.0009768454,0.45886573
pos11_T,0.0009733904,0.43760994
pos19_C,0.0009372431,0.45150855
pos5_C,0.0009166996,0.4493964
pos1_T,0.0008467917,0.44159877
pos6_A,0.0008334536,0.4328636
pos18_G,0.0008177627,0.46726605
pos17_C,0.0008110741,0.5051596
pos6_C,0.00077680725,0.42723644
pos4_C,0.0007300778,0.42678842
pos4_T,0.00072755635,0.4061744
pos1_C,0.0006608488,0.4249726
pos1_A,0.0006476459,0.3956593
pos15_C,0.00063732645,0.36998144
pos2_T,0.0005850346,0.38088474
pos21_G,0.00058363087,0.36791015
pos12_T,0.00057947525,0.38590032
pos7_T,0.00057388295,0.40637526
pos3_C,0.0005624987,0.4175647
pos2_A,0.00055548217,0.37755832
pos14_A,0.0005360532,0.39521822
pos13_A,0.00050949585,0.39751783
pos16_A,0.00048938754,0.38772804
pos9_C,0.00048453064,0.38244748
pos13_T,0.00046280635,0.3771947
pos21_C,0.00043495093,0.31827706
pos15_G,0.0004139765,0.3700007
pos7_A,0.0004031516,0.3689682
pos19_RRBS,0.0002579533,0.11881923
pos22_RRBS,0.0002229149,0.14503784
pos17_RRBS,0.00022032332,0.10533414
pos10_RRBS,0.00018970516,0.09449525
pos18_RRBS,0.00017415482,0.119727366
pos11_RRBS,0.00013286294,0.08888908
pos8_RRBS,0.00012694523,0.08751362
pos9_RRBS,0.00010825262,0.081292614
pos12_RRBS,8.782413e-05,0.08623148
pos21_RRBS,5.929739e-05,0.12698323
pos7_RRBS,5.2749743e-05,0.0808468
pos1_RRBS,4.6342622e-05,0.07736093
pos16_RRBS,4.6311903e-05,0.09077844
pos5_RRBS,2.9240067e-05,0.076202996
pos20_RRBS,2.8325978e-05,0.084907904
pos2_RRBS,2.2100923e-05,0.073680595
pos14_RRBS,1.9425692e-05,0.068168275
pos4_RRBS,1.9072268e-05,0.06856353
pos13_RRBS,1.8088685e-05,0.06814456
pos15_RRBS,1.6945607e-05,0.0669341
pos6_RRBS,1.6773149e-05,0.07236557
pos3_RRBS,1.5352463e-05,0.06626188
pos4_Dnase,0.0,0.0
pos2_CTCF,0.0,0.0
pos2_Dnase,0.0,0.0
pos1_CTCF,0.0,0.0
pos1_Dnase,0.0,0.0
pos3_Dnase,0.0,0.0
pos3_CTCF,0.0,0.0
pos5_Dnase,0.0,0.0
pos5_CTCF,0.0,0.0
pos7_CTCF,0.0,0.0
pos7_Dnase,0.0,0.0
pos6_Dnase,0.0,0.0
