Feature,Linear_Coefficient,SE,t_stat,p_value,FDR
pos1_A,-0.0161973611259923,0.008574839969099989,-1.8889403399201126,0.05900080587810397,0.536202403236949
pos1_C,-0.028191433738504062,0.008405495074225973,-3.3539290059128484,0.000807097724918604,0.03268745785920346
pos1_G,0.018234724484163224,0.00881016404429133,2.069737225378757,0.03856645450125806,0.4736053784107397
pos1_CTCF,-0.07310442375084976,0.04366290760986147,-1.6742912406121755,0.09418259879097213,0.6935264092789766
pos1_Dnase,504695059.2370782,1287585742.1231184,0.39197005894526243,0.6951095108350789,0.9462835357607443
pos1_H3K4me3,-211471752.3348301,539509963.8576263,-0.39197005894526227,0.6951095108350791,0.9462835357607443
pos1_RRBS,-0.036450696563404106,0.03696670496017963,-0.98604126612498,0.32419618477788337,0.9462835357607443
pos2_A,0.008167247184744366,0.009641246372859399,0.8471152866433934,0.39700167052990465,0.9462835357607443
pos2_C,-0.003755732849921427,0.009556611107264116,-0.3929983974200479,0.6943499243610649,0.9462835357607443
pos2_G,0.0007764835085250568,0.009454804775336167,0.08212581084176312,0.9345524091866872,1.0
pos2_CTCF,0.05105919111477676,0.060922575393993775,0.8380996828280929,0.402044682537523,0.9462835357607443
pos2_Dnase,-148551287.23822236,378986312.46976763,-0.39197005894526216,0.6951095108350791,0.9462835357607443
pos2_H3K4me3,83494136.67498244,213011516.4909628,0.3919700589452625,0.6951095108350789,0.9462835357607443
pos2_RRBS,-0.001172465352107908,0.037085868442281095,-0.03161488193090811,0.9747813789358872,1.0
pos3_A,-0.014920824236781788,0.008458289859234781,-1.764047400254461,0.07783062959809528,0.6636085260469177
pos3_C,-0.02385154269821954,0.008691571403037777,-2.744215239362036,0.006103403227043502,0.09887513227810474
pos3_G,-0.006881461036321015,0.008692834247922667,-0.7916245542085981,0.4286452045563103,0.9462835357607443
pos3_CTCF,0.05477176859164449,0.06307703908535009,0.868331319698319,0.38528576100172307,0.9462835357607443
pos3_Dnase,-244959039.50787783,624943242.2645476,-0.39197005894526193,0.6951095108350795,0.9462835357607443
pos3_H3K4me3,-312831234.40146327,798099822.3263499,-0.391970058945263,0.6951095108350787,0.9462835357607443
pos3_RRBS,-0.060103844546076465,0.04296459515104822,-1.3989156498454773,0.16194659941540723,0.9046672105274473
pos4_A,0.008948117148088304,0.008965692670899032,0.9980396915825841,0.3183444555037491,0.9462835357607443
pos4_C,-0.00011204402762569898,0.00867236648008634,-0.012919660150776228,0.9896927895784919,1.0
pos4_G,-0.005795720093585675,0.008743241286356777,-0.6628800354199872,0.5074607513073921,0.9462835357607443
pos4_CTCF,-0.05385266731753665,0.06609051591172392,-0.8148320008496653,0.41523625415074283,0.9462835357607443
pos4_Dnase,-32253568.574566737,82285796.6788498,-0.39197005894526366,0.6951095108350782,0.9462835357607443
pos4_H3K4me3,-89548274.58405137,228456925.5749112,-0.3919700589452624,0.6951095108350789,0.9462835357607443
pos4_RRBS,0.055451679673638135,0.03934168531962567,1.4094891772716196,0.15879918210457733,0.9046672105274473
pos5_A,0.0033358144937859356,0.008988457288760764,0.37112202757608515,0.7105741041949987,0.9513471477652048
pos5_C,0.00011962060666645706,0.008802290905521502,0.013589712945231272,0.9891582584642735,1.0
pos5_G,-0.01068876969653517,0.008937719999612466,-1.1959168218515046,0.2318280566525055,0.9462835357607443
pos5_CTCF,0.04116331670103944,0.07384033361782172,0.5574638505033037,0.5772541317257738,0.9462835357607443
