Feature,Linear_Coefficient,SE,t_stat,p_value,FDR
pos1_A,-0.006243383886921954,0.0058861134720086476,-1.0606971674284402,0.28889934072701573,0.6930387954709363
pos1_C,-0.0038348607704374728,0.005860760384525048,-0.6543281961438264,0.5129425565419812,0.8528727936677132
pos1_G,0.009155365366092088,0.005543387340102706,1.6515831935212488,0.09870754601776599,0.3908352162923173
pos1_CTCF,-0.05804623715748402,0.0419399626145447,-1.3840316857448436,0.16643531651900512,0.5007675780291354
pos1_Dnase,-65484240344.068794,11682543970.952604,-5.605306558818726,2.2365101770560614e-08,1.3935185021292267e-07
pos1_H3K4me3,0.02754750654716471,0.05295809663684106,0.5201755405990345,0.6029735040089603,0.8880155240859233
pos1_RRBS,0.0023543872024847277,0.02411037269279838,0.09765038610074944,0.9222153981888179,0.9707187907137325
pos2_A,-0.0025827112351551077,0.005719564622434399,-0.4515573134753458,0.6516153724990206,0.9387749273629938
pos2_C,0.006434575444785183,0.00579044053738606,1.1112410883490222,0.26653946432677356,0.6624234251238311
pos2_G,0.0044705259387753426,0.005589976519805518,0.7997396631159512,0.42391488643446795,0.8079319012045154
pos2_CTCF,0.050172394399622844,0.05536573681402003,0.9061993443374152,0.3648915409200213,0.7489322463551646
pos2_Dnase,65484240344.12289,11682543970.953041,5.6053065588231465,2.2365101770560614e-08,1.3935185021292267e-07
pos2_H3K4me3,0.03392595091820249,0.07960320718073606,0.4261882419030543,0.6699963933537654,0.9387749273629938
pos2_RRBS,-0.003771087564497688,0.027475933803531825,-0.13725056958802773,0.8908404843877966,0.9707187907137325
pos3_A,-0.005833047930362172,0.005571347923933235,-1.04697247596129,0.2951831906635469,0.6930387954709363
pos3_C,-0.005235248112806685,0.005781107991869329,-0.9055786745671672,0.36522004606208647,0.7489322463551646
pos3_G,0.002392423464489691,0.005727274084143485,0.41772463293023604,0.6761735955844972,0.9387749273629938
pos3_CTCF,0.02810174338384958,0.052190772875574276,0.5384427521478884,0.5903050057434389,0.8880155240859233
pos3_Dnase,-165577120603.25436,29539351481.62014,-5.605306558821344,2.2365101770560614e-08,1.3935185021292267e-07
pos3_H3K4me3,-0.03053266304341672,0.07165591665751182,-0.4261010739608747,0.6700599004998158,0.9387749273629938
