Feature,Position,Channel,Transformer_Attention,Attention_Entropy,Attention_SNR
RRBS_pos_19,19,RRBS,0.10607469081878662,3.9514129161834717,2.0615644454956055
H3K4me3_pos_19,19,H3K4me3,0.10607469081878662,3.9514129161834717,2.0615644454956055
Dnase_pos_19,19,Dnase,0.10607469081878662,3.9514129161834717,2.0615644454956055
CTCF_pos_19,19,CTCF,0.10607469081878662,3.9514129161834717,2.0615644454956055
T_pos_19,19,T,0.10607469081878662,3.9514129161834717,2.0615644454956055
G_pos_19,19,G,0.10607469081878662,3.9514129161834717,2.0615644454956055
C_pos_19,19,C,0.10607469081878662,3.9514129161834717,2.0615644454956055
A_pos_19,19,A,0.10607469081878662,3.9514129161834717,2.0615644454956055
A_pos_18,18,A,0.0925881490111351,3.9514129161834717,1.905809998512268
C_pos_18,18,C,0.0925881490111351,3.9514129161834717,1.905809998512268
G_pos_18,18,G,0.0925881490111351,3.9514129161834717,1.905809998512268
T_pos_18,18,T,0.0925881490111351,3.9514129161834717,1.905809998512268
CTCF_pos_18,18,CTCF,0.0925881490111351,3.9514129161834717,1.905809998512268
Dnase_pos_18,18,Dnase,0.0925881490111351,3.9514129161834717,1.905809998512268
H3K4me3_pos_18,18,H3K4me3,0.0925881490111351,3.9514129161834717,1.905809998512268
RRBS_pos_18,18,RRBS,0.0925881490111351,3.9514129161834717,1.905809998512268
A_pos_0,0,A,0.08589533716440201,3.9514129161834717,1.5380833148956299
C_pos_0,0,C,0.08589533716440201,3.9514129161834717,1.5380833148956299
G_pos_0,0,G,0.08589533716440201,3.9514129161834717,1.5380833148956299
T_pos_0,0,T,0.08589533716440201,3.9514129161834717,1.5380833148956299
CTCF_pos_0,0,CTCF,0.08589533716440201,3.9514129161834717,1.5380833148956299
Dnase_pos_0,0,Dnase,0.08589533716440201,3.9514129161834717,1.5380833148956299
H3K4me3_pos_0,0,H3K4me3,0.08589533716440201,3.9514129161834717,1.5380833148956299
RRBS_pos_0,0,RRBS,0.08589533716440201,3.9514129161834717,1.5380833148956299
A_pos_17,17,A,0.08072460442781448,3.9514129161834717,1.819347858428955
C_pos_17,17,C,0.08072460442781448,3.9514129161834717,1.819347858428955
G_pos_17,17,G,0.08072460442781448,3.9514129161834717,1.819347858428955
T_pos_17,17,T,0.08072460442781448,3.9514129161834717,1.819347858428955
CTCF_pos_17,17,CTCF,0.08072460442781448,3.9514129161834717,1.819347858428955
Dnase_pos_17,17,Dnase,0.08072460442781448,3.9514129161834717,1.819347858428955
H3K4me3_pos_17,17,H3K4me3,0.08072460442781448,3.9514129161834717,1.819347858428955
RRBS_pos_17,17,RRBS,0.08072460442781448,3.9514129161834717,1.819347858428955
RRBS_pos_20,20,RRBS,0.08016587048768997,3.9514129161834717,2.2807021141052246
H3K4me3_pos_20,20,H3K4me3,0.08016587048768997,3.9514129161834717,2.2807021141052246
Dnase_pos_20,20,Dnase,0.08016587048768997,3.9514129161834717,2.2807021141052246
CTCF_pos_20,20,CTCF,0.08016587048768997,3.9514129161834717,2.2807021141052246
T_pos_20,20,T,0.08016587048768997,3.9514129161834717,2.2807021141052246
G_pos_20,20,G,0.08016587048768997,3.9514129161834717,2.2807021141052246
C_pos_20,20,C,0.08016587048768997,3.9514129161834717,2.2807021141052246
A_pos_20,20,A,0.08016587048768997,3.9514129161834717,2.2807021141052246
RRBS_pos_3,3,RRBS,0.06319998949766159,3.9514129161834717,1.436545968055725
H3K4me3_pos_3,3,H3K4me3,0.06319998949766159,3.9514129161834717,1.436545968055725
Dnase_pos_3,3,Dnase,0.06319998949766159,3.9514129161834717,1.436545968055725
CTCF_pos_3,3,CTCF,0.06319998949766159,3.9514129161834717,1.436545968055725
T_pos_3,3,T,0.06319998949766159,3.9514129161834717,1.436545968055725
G_pos_3,3,G,0.06319998949766159,3.9514129161834717,1.436545968055725
C_pos_3,3,C,0.06319998949766159,3.9514129161834717,1.436545968055725
A_pos_3,3,A,0.06319998949766159,3.9514129161834717,1.436545968055725
RRBS_pos_2,2,RRBS,0.061651553958654404,3.9514129161834717,1.4180282354354858
H3K4me3_pos_2,2,H3K4me3,0.061651553958654404,3.9514129161834717,1.4180282354354858
Dnase_pos_2,2,Dnase,0.061651553958654404,3.9514129161834717,1.4180282354354858
CTCF_pos_2,2,CTCF,0.061651553958654404,3.9514129161834717,1.4180282354354858
T_pos_2,2,T,0.061651553958654404,3.9514129161834717,1.4180282354354858
G_pos_2,2,G,0.061651553958654404,3.9514129161834717,1.4180282354354858
C_pos_2,2,C,0.061651553958654404,3.9514129161834717,1.4180282354354858
A_pos_2,2,A,0.061651553958654404,3.9514129161834717,1.4180282354354858
RRBS_pos_4,4,RRBS,0.04694773256778717,3.9514129161834717,1.5626505613327026
H3K4me3_pos_4,4,H3K4me3,0.04694773256778717,3.9514129161834717,1.5626505613327026
Dnase_pos_4,4,Dnase,0.04694773256778717,3.9514129161834717,1.5626505613327026
CTCF_pos_4,4,CTCF,0.04694773256778717,3.9514129161834717,1.5626505613327026
T_pos_4,4,T,0.04694773256778717,3.9514129161834717,1.5626505613327026
G_pos_4,4,G,0.04694773256778717,3.9514129161834717,1.5626505613327026
C_pos_4,4,C,0.04694773256778717,3.9514129161834717,1.5626505613327026
A_pos_4,4,A,0.04694773256778717,3.9514129161834717,1.5626505613327026
RRBS_pos_1,1,RRBS,0.04124921187758446,3.9514129161834717,1.3050650358200073
H3K4me3_pos_1,1,H3K4me3,0.04124921187758446,3.9514129161834717,1.3050650358200073
Dnase_pos_1,1,Dnase,0.04124921187758446,3.9514129161834717,1.3050650358200073
CTCF_pos_1,1,CTCF,0.04124921187758446,3.9514129161834717,1.3050650358200073
T_pos_1,1,T,0.04124921187758446,3.9514129161834717,1.3050650358200073
G_pos_1,1,G,0.04124921187758446,3.9514129161834717,1.3050650358200073
C_pos_1,1,C,0.04124921187758446,3.9514129161834717,1.3050650358200073
A_pos_1,1,A,0.04124921187758446,3.9514129161834717,1.3050650358200073
A_pos_16,16,A,0.04106905683875084,3.9514129161834717,1.3033727407455444
C_pos_16,16,C,0.04106905683875084,3.9514129161834717,1.3033727407455444
G_pos_16,16,G,0.04106905683875084,3.9514129161834717,1.3033727407455444
T_pos_16,16,T,0.04106905683875084,3.9514129161834717,1.3033727407455444
CTCF_pos_16,16,CTCF,0.04106905683875084,3.9514129161834717,1.3033727407455444
Dnase_pos_16,16,Dnase,0.04106905683875084,3.9514129161834717,1.3033727407455444
H3K4me3_pos_16,16,H3K4me3,0.04106905683875084,3.9514129161834717,1.3033727407455444
RRBS_pos_16,16,RRBS,0.04106905683875084,3.9514129161834717,1.3033727407455444
RRBS_pos_5,5,RRBS,0.03594260662794113,3.9514129161834717,1.7083027362823486
H3K4me3_pos_5,5,H3K4me3,0.03594260662794113,3.9514129161834717,1.7083027362823486
Dnase_pos_5,5,Dnase,0.03594260662794113,3.9514129161834717,1.7083027362823486
CTCF_pos_5,5,CTCF,0.03594260662794113,3.9514129161834717,1.7083027362823486
T_pos_5,5,T,0.03594260662794113,3.9514129161834717,1.7083027362823486
G_pos_5,5,G,0.03594260662794113,3.9514129161834717,1.7083027362823486
C_pos_5,5,C,0.03594260662794113,3.9514129161834717,1.7083027362823486
A_pos_5,5,A,0.03594260662794113,3.9514129161834717,1.7083027362823486
A_pos_10,10,A,0.03258418291807175,3.9514129161834717,0.9914259314537048
C_pos_10,10,C,0.03258418291807175,3.9514129161834717,0.9914259314537048
G_pos_10,10,G,0.03258418291807175,3.9514129161834717,0.9914259314537048
T_pos_10,10,T,0.03258418291807175,3.9514129161834717,0.9914259314537048
CTCF_pos_10,10,CTCF,0.03258418291807175,3.9514129161834717,0.9914259314537048
Dnase_pos_10,10,Dnase,0.03258418291807175,3.9514129161834717,0.9914259314537048
H3K4me3_pos_10,10,H3K4me3,0.03258418291807175,3.9514129161834717,0.9914259314537048
RRBS_pos_10,10,RRBS,0.03258418291807175,3.9514129161834717,0.9914259314537048
A_pos_15,15,A,0.03171444684267044,3.9514129161834717,1.519055962562561
C_pos_15,15,C,0.03171444684267044,3.9514129161834717,1.519055962562561
G_pos_15,15,G,0.03171444684267044,3.9514129161834717,1.519055962562561
T_pos_15,15,T,0.03171444684267044,3.9514129161834717,1.519055962562561
CTCF_pos_15,15,CTCF,0.03171444684267044,3.9514129161834717,1.519055962562561
Dnase_pos_15,15,Dnase,0.03171444684267044,3.9514129161834717,1.519055962562561
H3K4me3_pos_15,15,H3K4me3,0.03171444684267044,3.9514129161834717,1.519055962562561
RRBS_pos_15,15,RRBS,0.03171444684267044,3.9514129161834717,1.519055962562561
A_pos_9,9,A,0.030735410749912262,3.9514129161834717,0.9171773195266724
C_pos_9,9,C,0.030735410749912262,3.9514129161834717,0.9171773195266724
G_pos_9,9,G,0.030735410749912262,3.9514129161834717,0.9171773195266724
T_pos_9,9,T,0.030735410749912262,3.9514129161834717,0.9171773195266724
CTCF_pos_9,9,CTCF,0.030735410749912262,3.9514129161834717,0.9171773195266724
Dnase_pos_9,9,Dnase,0.030735410749912262,3.9514129161834717,0.9171773195266724
H3K4me3_pos_9,9,H3K4me3,0.030735410749912262,3.9514129161834717,0.9171773195266724
RRBS_pos_9,9,RRBS,0.030735410749912262,3.9514129161834717,0.9171773195266724
RRBS_pos_6,6,RRBS,0.030687037855386734,3.9514129161834717,1.2599800825119019
H3K4me3_pos_6,6,H3K4me3,0.030687037855386734,3.9514129161834717,1.2599800825119019
Dnase_pos_6,6,Dnase,0.030687037855386734,3.9514129161834717,1.2599800825119019
CTCF_pos_6,6,CTCF,0.030687037855386734,3.9514129161834717,1.2599800825119019
T_pos_6,6,T,0.030687037855386734,3.9514129161834717,1.2599800825119019
G_pos_6,6,G,0.030687037855386734,3.9514129161834717,1.2599800825119019
C_pos_6,6,C,0.030687037855386734,3.9514129161834717,1.2599800825119019
A_pos_6,6,A,0.030687037855386734,3.9514129161834717,1.2599800825119019
A_pos_11,11,A,0.025208648294210434,3.9514129161834717,1.133414387702942
C_pos_11,11,C,0.025208648294210434,3.9514129161834717,1.133414387702942
G_pos_11,11,G,0.025208648294210434,3.9514129161834717,1.133414387702942
T_pos_11,11,T,0.025208648294210434,3.9514129161834717,1.133414387702942
CTCF_pos_11,11,CTCF,0.025208648294210434,3.9514129161834717,1.133414387702942
Dnase_pos_11,11,Dnase,0.025208648294210434,3.9514129161834717,1.133414387702942
H3K4me3_pos_11,11,H3K4me3,0.025208648294210434,3.9514129161834717,1.133414387702942
RRBS_pos_11,11,RRBS,0.025208648294210434,3.9514129161834717,1.133414387702942
A_pos_21,21,A,0.024131571874022484,3.9514129161834717,1.6584315299987793
C_pos_21,21,C,0.024131571874022484,3.9514129161834717,1.6584315299987793
G_pos_21,21,G,0.024131571874022484,3.9514129161834717,1.6584315299987793
T_pos_21,21,T,0.024131571874022484,3.9514129161834717,1.6584315299987793
