Feature,Position,Channel,CNN_IG,CNN_ISM,ISM_SNR
C_pos_17,17,C,0.002857053652405739,0.02371862530708313,1.5340031385421753
A_pos_17,17,A,0.010257515124976635,0.023396294564008713,1.5422992706298828
T_pos_18,18,T,0.005977937951683998,0.022076530382037163,1.6678454875946045
T_pos_19,19,T,0.004885330330580473,0.021718725562095642,1.610133409500122
G_pos_0,0,G,0.007324358448386192,0.020290354266762733,2.367403268814087
G_pos_19,19,G,0.0032548396848142147,0.01941894367337227,1.63762629032135
G_pos_22,22,G,0.017598196864128113,0.018557772040367126,1.5646198987960815
T_pos_17,17,T,0.005629269406199455,0.017558597028255463,1.4334123134613037
C_pos_19,19,C,0.008705329149961472,0.01683201640844345,1.3129242658615112
A_pos_18,18,A,0.008403386920690536,0.016505051404237747,1.374138593673706
C_pos_18,18,C,0.0041181230917572975,0.015956617891788483,1.3235235214233398
C_pos_0,0,C,0.004261654801666737,0.01490622479468584,1.794163703918457
G_pos_21,21,G,0.010100023820996284,0.01419561542570591,1.4168367385864258
T_pos_3,3,T,0.004890033043920994,0.013937867246568203,1.3228278160095215
Dnase_pos_7,7,Dnase,0.00379569036886096,0.013778295367956161,2.3371987342834473
Dnase_pos_6,6,Dnase,0.0037963897921144962,0.013775058090686798,2.33647084236145
Dnase_pos_8,8,Dnase,0.003792168339714408,0.01376606710255146,2.3276047706604004
Dnase_pos_5,5,Dnase,0.0037965949159115553,0.013764903880655766,2.3316292762756348
Dnase_pos_10,10,Dnase,0.0037933506537228823,0.013764753937721252,2.326719284057617
Dnase_pos_11,11,Dnase,0.003799684578552842,0.013764279894530773,2.324099063873291
Dnase_pos_13,13,Dnase,0.0037936060689389706,0.013763674534857273,2.321769952774048
Dnase_pos_9,9,Dnase,0.0037936298176646233,0.013762716203927994,2.3271231651306152
Dnase_pos_12,12,Dnase,0.003797789802774787,0.01376136764883995,2.3211171627044678
Dnase_pos_4,4,Dnase,0.0037902172189205885,0.013755720108747482,2.3283629417419434
Dnase_pos_14,14,Dnase,0.003796750446781516,0.01375543512403965,2.3204305171966553
Dnase_pos_15,15,Dnase,0.0037855941336601973,0.013744964264333248,2.3149404525756836
Dnase_pos_18,18,Dnase,0.0037972491700202227,0.013742376118898392,2.3196418285369873
Dnase_pos_16,16,Dnase,0.0037793805822730064,0.013737148605287075,2.313485622406006
Dnase_pos_17,17,Dnase,0.00378337106667459,0.013729266822338104,2.3122260570526123
T_pos_16,16,T,0.004238517489284277,0.013494149781763554,1.3071517944335938
T_pos_20,20,T,0.005318099167197943,0.013369680382311344,1.4642014503479004
G_pos_17,17,G,0.00207701837643981,0.01294629741460085,1.2997573614120483
A_pos_16,16,A,0.008008191362023354,0.012902002781629562,1.2771432399749756
T_pos_5,5,T,0.004795503336936235,0.012864293530583382,1.2803168296813965
T_pos_4,4,T,0.004844486713409424,0.01281457208096981,1.3243224620819092
T_pos_15,15,T,0.00416443170979619,0.012581424787640572,1.2628980875015259
C_pos_2,2,C,0.005813800264149904,0.012471524067223072,1.3262302875518799
A_pos_2,2,A,0.008464226499199867,0.012273753061890602,1.3314869403839111
T_pos_6,6,T,0.004344695247709751,0.01225222647190094,1.3100974559783936
T_pos_11,11,T,0.004706419073045254,0.012165681459009647,1.2860404253005981
C_pos_16,16,C,0.0037052552215754986,0.012146225199103355,1.2233530282974243
T_pos_9,9,T,0.004235014319419861,0.012146122753620148,1.273951530456543
T_pos_12,12,T,0.004281057044863701,0.012111946009099483,1.2990100383758545
T_pos_7,7,T,0.004262580070644617,0.011999977752566338,1.291164517402649
C_pos_20,20,C,0.0021350949537009,0.011992929503321648,1.27107834815979
Dnase_pos_19,19,Dnase,0.0036312018055468798,0.011964424513280392,2.4002044200897217
T_pos_10,10,T,0.0044465446844697,0.011954684741795063,1.316372036933899
Dnase_pos_3,3,Dnase,0.0027056275866925716,0.01195346936583519,2.403625249862671
T_pos_13,13,T,0.004115757532417774,0.011665216647088528,1.2487478256225586
T_pos_8,8,T,0.004639794118702412,0.011644653044641018,1.284780502319336
T_pos_14,14,T,0.0046067675575613976,0.011626770719885826,1.2850695848464966
A_pos_19,19,A,0.005437829066067934,0.011311870999634266,1.2649587392807007
C_pos_21,21,C,0.0,0.011136588640511036,1.2814559936523438
A_pos_15,15,A,0.006893019657582045,0.011086729355156422,1.2638134956359863
T_pos_21,21,T,0.0,0.01095142774283886,1.2415310144424438
