Feature,MLP_IG,IG_SNR
pos18_C,0.011897968,0.65488136
pos3_CTCF,0.009775908,2.1155553
pos19_CTCF,0.009720358,1.8579103
pos7_H3K4me3,0.009621678,1.925507
pos15_H3K4me3,0.009524947,1.8994131
pos20_CTCF,0.009076613,1.8251625
pos22_CTCF,0.0084396,1.9901602
pos23_CTCF,0.008377453,1.8384615
pos23_G,0.008016129,2.22832
pos20_G,0.0075954753,0.65863705
pos15_CTCF,0.0072729266,1.7268101
pos16_C,0.007124158,0.5879971
pos3_H3K4me3,0.0067658257,1.6443567
pos18_A,0.006562978,0.6903999
pos7_CTCF,0.00573465,1.7889655
pos11_H3K4me3,0.005708079,1.4209881
pos14_CTCF,0.005421234,1.6709334
pos19_A,0.005382145,0.618043
pos4_H3K4me3,0.0053321216,1.5325422
pos9_H3K4me3,0.004982695,1.1786693
pos12_CTCF,0.0047560115,1.6229357
pos14_T,0.004228394,0.49799523
pos1_G,0.0042280676,0.53639966
pos19_H3K4me3,0.0041846996,1.3259248
pos23_H3K4me3,0.004129546,1.06634
pos2_H3K4me3,0.004110847,1.2848125
pos17_H3K4me3,0.0040969453,1.2850832
pos16_G,0.003918761,0.5416793
pos15_A,0.0039133267,0.5541426
pos14_G,0.003909808,0.5340448
pos15_G,0.0036321087,0.5032344
pos4_CTCF,0.0035965857,1.1675544
pos10_C,0.0035078041,0.55091536
pos17_G,0.003443585,0.695986
pos8_C,0.0034417575,0.5701238
pos19_G,0.003422204,0.6033667
pos21_H3K4me3,0.0034121445,1.3621918
pos8_H3K4me3,0.0033915075,1.1673456
pos10_CTCF,0.003372825,1.1301836
pos1_C,0.003305358,0.5438161
pos21_A,0.0032413355,0.61172634
pos19_C,0.0032283221,0.587804
pos3_C,0.0032029944,0.53899723
pos13_H3K4me3,0.0031789995,1.0908403
pos17_C,0.0031151562,0.6011472
pos16_H3K4me3,0.0030920475,0.754784
pos11_A,0.003046354,0.5162295
pos1_H3K4me3,0.0029992012,0.89822125
pos21_CTCF,0.0029893287,1.0746173
pos20_C,0.0029137472,0.6510761
pos9_CTCF,0.0028960437,0.8111783
pos2_T,0.0028923275,0.41571006
pos5_T,0.0028850567,0.47828653
pos18_CTCF,0.0028369857,0.8173294
pos3_G,0.0028189835,0.52750194
pos6_CTCF,0.0027687605,0.92660135
pos6_H3K4me3,0.0026900626,0.8393569
pos13_CTCF,0.0026636932,0.84211105
pos5_C,0.0026564442,0.52428627
pos1_CTCF,0.002651132,0.76584584
pos11_CTCF,0.002644043,0.92128134
pos17_CTCF,0.0026369519,0.9886955
pos16_T,0.002514636,0.503537
pos10_H3K4me3,0.0024970833,0.939078
pos6_A,0.0024734328,0.54812765
pos5_CTCF,0.0023736448,0.70460725
pos22_H3K4me3,0.0021380878,0.7620432
pos2_G,0.0021146764,0.4879299
pos4_T,0.002066916,0.4519173
pos5_H3K4me3,0.0020652008,0.84979963
pos10_G,0.0020627475,0.5111315
pos20_H3K4me3,0.0020604706,0.8773146
pos14_H3K4me3,0.002053175,0.7807086
pos9_C,0.0020481492,0.46149454
pos13_G,0.00203958,0.55514854
pos20_A,0.0020049221,0.49225393
pos22_G,0.0019955058,0.7737385
pos8_CTCF,0.0019554747,0.8465922
pos6_G,0.0019527875,0.44158265
pos16_CTCF,0.0018604166,0.66890657
pos2_CTCF,0.0018205803,0.79687154
pos18_H3K4me3,0.0017763084,0.79287606
pos12_H3K4me3,0.0016548656,0.72049445
pos13_A,0.0016207524,0.4250121
pos7_A,0.0015411092,0.4452802
pos5_G,0.0014280921,0.33713007
pos18_G,0.0014254263,0.45266926
pos11_G,0.0014174456,0.49245784
pos5_A,0.0013440099,0.41512057
pos11_T,0.0013254893,0.4323367
pos11_C,0.0012241403,0.38869923
pos4_A,0.0012176688,0.38246626
pos12_T,0.0012015144,0.4516903
pos15_C,0.0011842593,0.36937532
pos15_T,0.0011716606,0.39607498
pos13_T,0.0011589665,0.40939268
pos2_C,0.0011525535,0.39586946
pos21_T,0.001147727,0.43855885
pos21_G,0.0011472042,0.3930168
pos2_A,0.0011333283,0.4287623
pos8_T,0.0011054655,0.39625728
pos14_C,0.0010869602,0.4015467
pos4_G,0.0010773895,0.42806348
pos8_G,0.0010435674,0.3928287
pos7_G,0.0010425209,0.4002637
pos12_G,0.0010401345,0.38437438
pos7_T,0.0010239838,0.39940733
pos10_A,0.0010081026,0.39558715
pos13_C,0.0010031302,0.45226374
pos3_T,0.0009873641,0.46540374
pos17_A,0.00096968655,0.38352454
pos9_G,0.0009516637,0.40100613
pos9_A,0.00093132956,0.41043615
pos3_A,0.00089657895,0.38517842
pos12_A,0.0008944123,0.41868767
pos1_T,0.00086642895,0.39083233
pos6_C,0.00085643417,0.40086356
pos6_T,0.0008529864,0.3652419
pos10_T,0.000850492,0.38207257
pos16_A,0.0008430936,0.38876584
pos9_T,0.0008290558,0.40587848
pos12_C,0.0007940856,0.3676273
pos7_C,0.00078353286,0.43344736
pos8_A,0.0007736527,0.3501646
pos21_C,0.0007646732,0.32687503
pos1_A,0.00075109286,0.37129617
pos4_C,0.0007433155,0.33715922
pos14_A,0.0007361574,0.34108236
pos2_RRBS,0.0,0.0
pos2_Dnase,0.0,0.0
pos1_RRBS,0.0,0.0
pos1_Dnase,0.0,0.0
pos3_Dnase,0.0,0.0
pos3_RRBS,0.0,0.0
pos5_Dnase,0.0,0.0
pos5_RRBS,0.0,0.0
pos7_RRBS,0.0,0.0
pos7_Dnase,0.0,0.0
pos6_Dnase,0.0,0.0
pos6_RRBS,0.0,0.0
pos4_RRBS,0.0,0.0
pos4_Dnase,0.0,0.0
pos13_Dnase,0.0,0.0
pos13_RRBS,0.0,0.0
pos9_RRBS,0.0,0.0
pos9_Dnase,0.0,0.0
pos8_Dnase,0.0,0.0
pos8_RRBS,0.0,0.0
pos10_RRBS,0.0,0.0
pos10_Dnase,0.0,0.0
pos11_Dnase,0.0,0.0
pos11_RRBS,0.0,0.0
pos15_RRBS,0.0,0.0
pos15_Dnase,0.0,0.0
pos14_Dnase,0.0,0.0
pos14_RRBS,0.0,0.0
pos12_RRBS,0.0,0.0
pos12_Dnase,0.0,0.0
pos19_T,0.0,0.0
pos19_Dnase,0.0,0.0
pos16_RRBS,0.0,0.0
pos17_T,0.0,0.0
pos16_Dnase,0.0,0.0
pos18_RRBS,0.0,0.0
pos18_Dnase,0.0,0.0
pos18_T,0.0,0.0
pos17_Dnase,0.0,0.0
pos17_RRBS,0.0,0.0
pos19_RRBS,0.0,0.0
pos21_RRBS,0.0,0.0
pos20_Dnase,0.0,0.0
pos20_RRBS,0.0,0.0
pos20_T,0.0,0.0
pos21_Dnase,0.0,0.0
pos22_T,0.0,0.0
pos22_A,0.0,0.0
pos22_RRBS,0.0,0.0
pos22_Dnase,0.0,0.0
pos22_C,0.0,0.0
pos23_A,0.0,0.0
pos23_T,0.0,0.0
pos23_C,0.0,0.0
pos23_Dnase,0.0,0.0
pos23_RRBS,0.0,0.0
