Feature,MLP_IG,IG_SNR
pos23_G,0.01861103,5.4952965
pos18_C,0.018206,0.67514735
pos12_Dnase,0.013652054,3.6726086
pos20_G,0.011559358,0.6579859
pos15_Dnase,0.010888658,2.3356934
pos3_CTCF,0.010077394,2.080846
pos18_A,0.010066137,0.77701575
pos22_G,0.0080547165,2.754886
pos23_CTCF,0.0077508097,1.8452768
pos14_G,0.007471767,0.5694967
pos1_G,0.0074129878,0.5400801
pos10_CTCF,0.0072682453,1.7539268
pos18_Dnase,0.00719478,2.1577044
pos15_A,0.007165479,0.59665483
pos14_T,0.0069558127,0.5237387
pos14_CTCF,0.006496138,1.8259209
pos10_A,0.0061614225,0.53737265
pos23_Dnase,0.0060934816,1.6677613
pos20_C,0.0060665985,0.70969546
pos17_Dnase,0.0060582245,1.8706282
pos1_Dnase,0.0060538584,1.7959774
pos21_G,0.006047237,0.45878923
pos6_Dnase,0.0058284793,1.9151075
pos11_CTCF,0.005803929,1.6176894
pos6_CTCF,0.005733026,1.5827317
pos22_CTCF,0.0055934642,1.6069367
pos8_A,0.0053167297,0.59054375
pos16_Dnase,0.004984967,1.5913152
pos16_C,0.00491223,0.57721084
pos3_Dnase,0.0048654824,1.9247764
pos20_A,0.00485533,0.68580014
pos11_A,0.0047019827,0.5499449
pos2_Dnase,0.0046985657,1.6220845
pos12_CTCF,0.004608841,1.4925079
pos16_T,0.004581098,0.52669877
pos16_G,0.0045162286,0.6146638
pos19_CTCF,0.004479311,1.2973645
pos17_A,0.004438432,0.59533143
pos19_Dnase,0.0042954194,1.2433732
pos8_C,0.0042304057,0.5474872
pos16_A,0.004185677,0.50581515
pos15_C,0.0040364135,0.57911754
pos12_C,0.003974511,0.58150464
pos12_A,0.0039346665,0.5588056
pos1_C,0.003921648,0.62659335
pos11_G,0.0037674946,0.605726
pos21_Dnase,0.003651405,1.3921162
pos6_T,0.0036343944,0.5458283
pos11_Dnase,0.0035362255,1.3750763
pos2_A,0.0033663474,0.5505185
pos4_A,0.003331279,0.5457135
pos4_Dnase,0.0032835521,1.1878589
pos21_CTCF,0.003281116,0.9513295
pos17_CTCF,0.003266884,1.2758065
pos15_CTCF,0.0032283915,1.1855167
pos6_C,0.003215696,0.5764037
pos14_A,0.0030832312,0.52979934
pos19_C,0.003065674,0.6243122
pos10_Dnase,0.0029789305,1.1649048
pos4_C,0.002903266,0.56600577
pos9_T,0.0028894406,0.5841745
pos8_G,0.0028767975,0.57798755
pos9_CTCF,0.0027368036,0.9813953
pos15_G,0.0027251563,0.52896523
pos1_T,0.002714918,0.5501102
pos8_CTCF,0.002638101,0.9924571
pos1_CTCF,0.0026294899,1.0070554
pos7_CTCF,0.0026224335,0.93062
pos8_Dnase,0.0025750722,0.8713709
pos10_G,0.0025644402,0.55586994
pos7_Dnase,0.002515511,0.78011256
pos20_Dnase,0.0024453986,0.7759897
pos19_G,0.0024420056,0.63183665
pos14_Dnase,0.002426031,0.79005766
pos9_Dnase,0.0023644692,0.98030335
pos7_A,0.0023609444,0.46800262
pos11_C,0.0022873757,0.51160735
pos21_A,0.0022744806,0.6470403
pos5_A,0.0022530307,0.5416985
pos13_Dnase,0.002241434,0.8163289
pos6_G,0.002234086,0.5273989
pos20_CTCF,0.0022069034,0.82154596
pos13_CTCF,0.002159091,0.7564298
pos5_CTCF,0.0021515875,0.8863499
pos22_Dnase,0.0021133362,0.7837467
pos13_C,0.002105116,0.5239369
pos5_Dnase,0.0020973023,0.8102511
pos18_CTCF,0.0020831714,0.7530467
pos5_G,0.002079677,0.52959853
pos2_CTCF,0.0020595363,0.79991627
pos3_T,0.0020092302,0.52476877
pos4_CTCF,0.0019766414,0.76585937
pos19_A,0.0019386973,0.6058358
pos5_C,0.0018838391,0.5330902
pos9_A,0.0018819025,0.530884
pos15_T,0.0017198451,0.51004946
pos16_CTCF,0.0016172184,0.7364666
pos11_T,0.0015254732,0.46166337
pos3_G,0.0014604697,0.4923743
pos3_C,0.0013733299,0.49927306
pos17_G,0.0013583391,0.44733638
pos18_G,0.001349328,0.48971248
pos4_T,0.0013356245,0.43712917
pos21_T,0.0012771293,0.54688287
pos13_G,0.0011220198,0.47311252
pos14_C,0.00111904,0.45023963
pos2_C,0.0010298284,0.475007
pos4_G,0.0009850478,0.46042347
pos3_A,0.00091806427,0.40494645
pos2_G,0.0009180403,0.39820492
pos17_C,0.0008962417,0.4640982
pos13_T,0.0008723573,0.38610536
pos12_G,0.00077334844,0.39651307
pos10_C,0.00077075395,0.43151376
pos2_T,0.00072040636,0.31580108
pos13_A,0.0007131574,0.4151557
pos7_G,0.0007025005,0.42690814
pos12_T,0.00069503946,0.39086556
pos9_G,0.0006921658,0.3705093
pos7_T,0.0006860859,0.39182967
pos5_T,0.00067702594,0.36354032
pos8_T,0.00063279533,0.39781204
pos10_T,0.00063089025,0.4003469
pos1_A,0.0006236998,0.40248093
pos21_C,0.00059998897,0.32624128
pos7_C,0.0005746238,0.43978843
pos6_A,0.0005513575,0.3974942
pos9_C,0.00047088292,0.3756854
pos21_RRBS,0.00019230084,0.11987638
pos22_RRBS,0.000116718875,0.1267085
pos1_RRBS,0.00011579197,0.06820689
pos14_RRBS,0.0001098903,0.11605513
pos18_RRBS,9.552249e-05,0.10569592
pos11_RRBS,9.314249e-05,0.068066016
pos15_RRBS,8.4095125e-05,0.07484219
pos7_RRBS,8.3499726e-05,0.07868643
pos17_RRBS,6.5595195e-05,0.07684401
pos3_RRBS,6.1301624e-05,0.08315549
pos2_RRBS,4.382894e-05,0.092144236
pos8_RRBS,3.8361115e-05,0.076935194
pos12_RRBS,3.5868514e-05,0.056132652
pos19_RRBS,3.3973738e-05,0.081987634
pos16_RRBS,3.2510485e-05,0.07302205
pos9_RRBS,3.2296797e-05,0.03968377
pos6_RRBS,2.3611356e-05,0.060961585
pos5_RRBS,2.016117e-05,0.068677716
pos20_RRBS,1.9815503e-05,0.062036693
pos4_RRBS,1.9497065e-05,0.05677784
pos10_RRBS,3.0116935e-06,0.05071319
pos13_RRBS,1.0354905e-06,0.040330835
pos3_H3K4me3,0.0,0.0
pos1_H3K4me3,0.0,0.0
pos7_H3K4me3,0.0,0.0
pos6_H3K4me3,0.0,0.0
pos4_H3K4me3,0.0,0.0
