Feature,MLP_IG,IG_SNR
pos18_C,0.014418723,0.59159356
pos23_G,0.01247896,1.9310476
pos18_A,0.00987761,0.6611852
pos22_G,0.006922268,0.9153615
pos19_C,0.00676681,0.53164804
pos20_G,0.005479799,0.5584401
pos16_C,0.0051725237,0.5179787
pos16_G,0.005011303,0.54742396
pos14_G,0.00487085,0.5299968
pos8_CTCF,0.0047369297,0.9637996
pos3_CTCF,0.0047367816,0.87476426
pos18_G,0.004656217,0.46815068
pos14_T,0.0046556583,0.47579762
pos1_C,0.0046298513,0.50548035
pos15_A,0.0045615598,0.5164229
pos1_G,0.0044783875,0.4880918
pos7_CTCF,0.0043775546,1.1868466
pos19_A,0.0043262984,0.5308134
pos20_C,0.004293634,0.49188802
pos1_CTCF,0.004256763,0.9144493
pos16_CTCF,0.004171951,0.7630958
pos16_T,0.0040287855,0.4774646
pos18_CTCF,0.00399015,0.83783793
pos15_CTCF,0.0038964078,0.9696834
pos19_G,0.0038386157,0.5052691
pos13_CTCF,0.00382355,0.7129208
pos22_CTCF,0.0036913026,0.75042856
pos20_CTCF,0.0036439681,0.82634324
pos2_CTCF,0.0035801772,0.73176765
pos10_CTCF,0.0035353259,0.8197337
pos8_C,0.0034479578,0.5029639
pos19_CTCF,0.003445639,0.75303465
pos5_CTCF,0.0032950654,0.73159266
pos6_CTCF,0.0032900174,0.7709791
pos21_G,0.0032033208,0.38640103
pos9_CTCF,0.0031296252,0.7417344
pos6_G,0.0030554887,0.47348207
pos5_C,0.002965503,0.4671198
pos17_CTCF,0.0028878807,0.7404403
pos11_CTCF,0.0028509279,0.75593346
pos17_A,0.0028193616,0.40320617
pos15_C,0.0028057862,0.41985655
pos15_T,0.0027925263,0.44852707
pos4_A,0.0027520244,0.43040523
pos21_CTCF,0.002748776,0.7289575
pos21_A,0.002723908,0.44096446
pos8_G,0.0027161136,0.49411762
pos12_CTCF,0.0026798854,0.7409721
pos10_A,0.002628904,0.4454286
pos23_CTCF,0.0026126734,0.7140665
pos17_C,0.0025970924,0.4648347
pos6_T,0.0025642328,0.43289325
pos4_CTCF,0.002545635,0.7277158
pos9_C,0.0025362505,0.43803525
pos17_G,0.002516866,0.49228764
pos5_T,0.0025151114,0.43018085
pos12_G,0.002472284,0.36824948
pos10_G,0.002426585,0.44844744
pos14_CTCF,0.002406608,0.71565956
pos21_T,0.0022908736,0.47065058
pos6_C,0.002276192,0.44648075
pos3_C,0.0022739347,0.46018898
pos9_T,0.0022528898,0.43832102
pos2_C,0.0021210653,0.4477002
pos1_A,0.0021101234,0.38632357
pos20_A,0.002102821,0.41999385
pos12_A,0.0020585426,0.41942272
pos15_G,0.0020418656,0.38665742
pos6_A,0.0020266215,0.4107772
pos4_C,0.0020028406,0.38962087
pos12_C,0.001969562,0.40131268
pos8_A,0.001957278,0.36553445
pos9_G,0.0019299878,0.38784438
pos5_G,0.0018970548,0.42437786
pos3_G,0.0018614779,0.4321414
pos10_T,0.0018398975,0.38816777
pos7_C,0.0018345917,0.4100781
pos11_G,0.001818108,0.44127423
pos2_A,0.0017663818,0.38805175
pos2_G,0.0017299529,0.4146591
pos12_T,0.0017219852,0.38121453
pos7_T,0.0016835412,0.3618489
pos9_A,0.0016426562,0.40151796
pos11_C,0.0016399864,0.42725626
pos11_T,0.0016354665,0.38116568
pos3_A,0.0016314582,0.38624173
pos16_A,0.0015962999,0.34666255
pos1_T,0.0015298115,0.39034712
pos4_G,0.0014880985,0.4175471
pos7_G,0.0014811531,0.42224327
pos4_T,0.001473856,0.36039424
pos11_A,0.0014582875,0.35595894
pos2_T,0.0014498095,0.2975094
pos7_A,0.0014369702,0.3314717
pos13_G,0.0014341583,0.41510886
pos10_C,0.0014260579,0.42560363
pos21_C,0.0014222667,0.31621665
pos8_T,0.0014196988,0.3653013
