Feature,Linear_Coefficient,SE,t_stat,p_value,FDR
pos1_A,-0.0014490687096624865,0.004251772817831101,-0.34081517798537514,0.733248903609222,1.0
pos1_C,-0.01672604105182799,0.004138567270710414,-4.04150517745646,5.345244211318878e-05,0.000481071979018699
pos1_G,0.02253723988410636,0.0042511562045130505,5.301437726560295,1.1700599444885995e-07,2.106107900079479e-06
pos1_CTCF,2.674824248262504e-15,3.162277660168379e-08,8.458536965157196e-08,0.9999999325120958,1.0
pos1_Dnase,0.016179794430703994,0.1586074223011799,0.10201158430013542,0.9187492456025583,1.0
pos1_H3K4me3,0.014194357731731834,0.04579042801155282,0.3099852599794575,0.756577741187072,1.0
pos1_RRBS,-1.4631115400809077e-15,3.162277660168379e-08,-4.626764937532407e-08,0.9999999630845535,1.0
pos2_A,0.010241749437820417,0.00456164633445768,2.2451870852977964,0.024774908128906814,0.11148708658008068
pos2_C,0.012308044166910264,0.0044874620190589075,2.7427628611977553,0.006101828426506639,0.0318869743578734
pos2_G,0.013482726886935373,0.004426974773784778,3.0455847561581,0.0023275017987431923,0.013466260407014184
pos2_CTCF,1.9054464746325932e-15,3.162277660168379e-08,6.025550819377244e-08,0.9999999519240976,1.0
pos2_Dnase,-0.10746264926581539,0.17376897291287383,-0.6184225380655048,0.5363090029231237,1.0
pos2_H3K4me3,0.04981583772491698,0.061584657763244226,0.8089001308804663,0.41858920505137753,0.9366043146687802
pos2_RRBS,5.32858860726586e-16,3.162277660168379e-08,1.685047671298457e-08,0.9999999865555549,1.0
pos3_A,-0.0064416722214828215,0.004155929280156579,-1.5499956296754223,0.12116988059685085,0.3925904131337968
pos3_C,-0.021058335259945236,0.004223162910225683,-4.986389516008487,6.240893348774534e-07,1.0110247225014745e-05
pos3_G,0.002695581885893496,0.0042523684439910335,0.6339013002748122,0.5261577521684324,1.0
pos3_CTCF,1.6815660627574348e-15,3.162277660168379e-08,5.317578794355135e-08,0.9999999575727754,1.0
pos3_Dnase,0.26999335656767165,0.13263383220231012,2.0356296133843377,0.041810269618145046,0.16933159195348743
pos3_H3K4me3,-0.033942064468447386,0.056317439185755006,-0.6026919007537673,0.5467254674741429,1.0
pos3_RRBS,-1.5650613663673044e-15,3.162277660168379e-08,-4.9491585956559265e-08,0.9999999605122798,1.0
pos4_A,0.015515549635431728,0.004397484379145647,3.528278510552918,0.00041989197298542,0.0032391666487446686
pos4_C,0.006244478932636001,0.004259629520317227,1.465967615928006,0.1426842500535066,0.4532323236993739
pos4_G,0.012906366450822368,0.004280666066312235,3.015036971090136,0.0025750444310408405,0.014384730959607454
pos4_CTCF,-1.2500709054478283e-15,3.162277660168379e-08,-3.953071297924126e-08,0.9999999684597352,1.0
pos4_Dnase,-0.1653157860863439,0.1581231855619425,-1.0454873236890603,0.29581960951762,0.7606789959024514
pos4_H3K4me3,0.041611320846341796,0.05513609181814679,0.754702037706749,0.4504431245539333,0.972957149036496
pos4_RRBS,1.0732368991933213e-15,3.162277660168379e-08,3.393873070387423e-08,0.9999999729213951,1.0
pos5_A,0.01089298982169815,0.004388184858418294,2.482345245962243,0.013066132046765766,0.06225627622282512
pos5_C,0.015238667535332288,0.00429616319528052,3.547041125456426,0.0003911230309119329,0.0031680965503866564
pos5_G,0.007621045208788079,0.004301151499025925,1.7718616074123417,0.07644381316359228,0.28145222119322616
pos5_CTCF,5.1227192482189156e-17,3.162277660168379e-08,1.6199460637957232e-09,0.9999999987074979,1.0
pos5_Dnase,0.03172485056338019,0.13231539345080626,0.23976689133434215,0.8105152171423156,1.0
pos5_H3K4me3,0.011605256544500925,0.05685182563430655,0.2041316424761894,0.8382542134658646,1.0
pos5_RRBS,-7.029300553748608e-16,3.162277660168379e-08,-2.2228600107728444e-08,0.9999999822645258,1.0
pos6_A,0.002266917138576174,0.0041392087624946864,0.5476691968563362,0.5839296173755617,1.0
pos6_C,0.01788389833735856,0.004199354413059598,4.258725646433013,2.072176240064394e-05,0.00020980784430651989
pos6_G,0.020854067406281488,0.004317456305148575,4.830174513037451,1.3815974351238935e-06,2.034716222637007e-05
pos6_CTCF,-3.314587077601312e-16,3.162277660168379e-08,-1.0481644668181424e-08,0.9999999916370381,1.0
pos6_Dnase,-0.07058273959330649,0.10004045655642942,-0.7055419579527126,0.4804872162434246,1.0
pos6_H3K4me3,-0.09747858856563639,0.05778365305261316,-1.6869578750391603,0.09163837457752977,0.32272644959912655
pos6_RRBS,-1.099644815011634e-15,3.162277660168379e-08,-3.4773822326312806e-08,0.9999999722551027,1.0
pos7_A,0.0026500550583039915,0.004410642131084218,0.6008320284313247,0.5479636236121537,1.0
pos7_C,0.007379978921264877,0.004277608472607171,1.7252581596760383,0.08450762707345305,0.304227457464431
pos7_G,0.008290725166718579,0.004266783936310023,1.9430853051088681,0.05203004346323237,0.20068731050103913
pos7_CTCF,-5.44603466623595e-16,3.162277660168379e-08,-1.7221873761540502e-08,0.9999999862592293,1.0
pos7_Dnase,0.05410975904744828,0.05775957644763019,0.9368101772094685,0.34887573749175327,0.8311451393185912
pos7_H3K4me3,0.06887223346824012,0.055317842648540304,1.245027466197789,0.2131468374535912,0.5855827181496854
pos7_RRBS,-1.2972865986397914e-16,3.162277660168379e-08,-4.102380429714435e-09,0.9999999967268445,1.0
pos8_A,-7.311595802530176e-05,0.00437860636317358,-0.01669845424796484,0.9866774678732209,1.0
pos8_C,0.00943131077789574,0.004337978251924822,2.17412587850364,0.029715857447454086,0.13010726774290707
pos8_G,0.013559326434330731,0.004344570462417895,3.1209820514188475,0.001806920885346175,0.011258507054849244
pos8_CTCF,-3.468978360613395e-16,3.162277660168379e-08,-1.0969872773375267e-08,0.9999999912474966,1.0
pos8_Dnase,0.05410975904744811,0.05775957644763007,0.9368101772094675,0.3488757374917544,0.8311451393185912
pos8_H3K4me3,0.0001744193001618152,0.05643403792008523,0.0030906755318271897,0.997534054851781,1.0
pos8_RRBS,5.029034287915873e-16,3.162277660168379e-08,1.590320278089716e-08,0.9999999873113539,1.0
pos9_A,0.005239883473005273,0.0041472940465643255,1.263446337340383,0.20645424493265319,0.5855827181496854
pos9_C,-0.011372109335809023,0.004198534475238146,-2.7085902004327314,0.0067668999007997055,0.03425743074779851
pos9_G,-0.00417446295770401,0.004259286363650701,-0.9800850662048496,0.32706459624438367,0.826817479433379
pos9_CTCF,-2.682075847694259e-16,3.162277660168379e-08,-8.481468536040723e-09,0.9999999932329133,1.0
pos9_Dnase,0.0028070158236746363,0.12089719681665352,0.023218204371864903,0.9814766174083251,1.0
pos9_H3K4me3,-0.08037771268684994,0.05786337403568319,-1.3890948121566953,0.1648306209549273,0.503821898013174
pos9_RRBS,1.472104364044182e-15,3.162277660168379e-08,4.655202743853296e-08,0.9999999628576575,1.0
pos10_A,0.019810762448463252,0.004394214609396449,4.508373898284473,6.596746156439792e-06,8.220560594948048e-05
pos10_C,0.00879804864439651,0.004293516622576382,2.0491474513302625,0.04047017357315075,0.16810687484231848
pos10_G,0.0003086724420984889,0.004275608774316321,0.07219379938424003,0.9424489259237327,1.0
pos10_CTCF,-4.872418875538735e-17,3.162277660168379e-08,-1.5407941361098877e-09,0.9999999987706507,1.0
pos10_Dnase,-0.13351229388227612,0.11195382346254572,-1.1925657360594104,0.23306391686810812,0.6175121241306426
