Feature,MLP_IG,IG_SNR
pos23_G,0.015708065,4.5200577
pos17_G,0.0061476813,0.7311522
pos22_G,0.005103905,1.4896818
pos14_C,0.0050441874,0.5949105
pos8_C,0.0049260235,0.5867916
pos20_G,0.00485571,0.6431905
pos1_G,0.0048480686,0.5351756
pos21_A,0.004434028,0.69627875
pos10_C,0.004343814,0.5991037
pos18_C,0.0040131356,0.6292126
pos20_C,0.0036492124,0.7077541
pos19_G,0.00356642,0.6587074
pos2_C,0.003445377,0.5790807
pos16_G,0.0034230386,0.579533
pos9_T,0.0033153568,0.5595219
pos4_G,0.0032035303,0.5730354
pos11_C,0.0031065338,0.55642635
pos2_G,0.003006371,0.6047983
pos9_G,0.0029910444,0.5167171
pos16_C,0.0028973883,0.5606336
pos7_C,0.0026927143,0.5744081
pos4_A,0.0025846509,0.49450678
pos15_T,0.0025076675,0.5114983
pos8_G,0.0024922092,0.55348766
pos11_G,0.0024799234,0.57223046
pos19_C,0.0024724416,0.5439662
pos17_A,0.0024130389,0.572291
pos6_G,0.0023857236,0.4915638
pos8_A,0.002326647,0.5005088
pos11_A,0.00231497,0.49902746
pos12_A,0.0023114425,0.5236103
pos21_T,0.002223436,0.5856362
pos7_G,0.0022036866,0.5226276
pos5_A,0.0020929207,0.49843583
pos3_T,0.0020791003,0.5276
pos5_G,0.0020552487,0.53049195
pos10_G,0.002036884,0.53340864
pos8_T,0.0020137818,0.47988197
pos13_C,0.0020096672,0.5229366
pos10_A,0.0019674413,0.4630498
pos16_T,0.0019452248,0.5058173
pos12_G,0.0019127673,0.48796543
pos3_G,0.0018945065,0.50844926
pos14_T,0.0018860741,0.46084857
pos12_C,0.001852393,0.5144041
pos18_A,0.0017242156,0.5611019
pos11_T,0.0015867443,0.44239324
pos5_C,0.0015503371,0.49617457
pos20_A,0.0014649429,0.49753225
pos19_A,0.0014414587,0.50283337
pos10_T,0.0014397041,0.45124286
pos13_G,0.0014143193,0.48141873
pos6_T,0.0013743292,0.44233578
pos12_T,0.0012989106,0.45335144
pos14_G,0.0012774657,0.46272475
pos1_T,0.0011390124,0.46297687
pos15_A,0.0011313161,0.4474375
pos18_G,0.001093521,0.45426738
pos13_A,0.0010903402,0.41169664
pos7_T,0.0010556192,0.41393766
pos3_A,0.0010259595,0.42291993
pos4_C,0.001022567,0.42145428
pos9_C,0.0010075546,0.4410062
pos6_C,0.0010047148,0.44169617
pos1_C,0.00096458814,0.454405
pos6_A,0.00095778715,0.42095324
pos17_C,0.0009347242,0.46742105
pos16_A,0.0008354943,0.39771193
pos5_T,0.00083506753,0.38325962
pos2_A,0.0008041252,0.40176287
pos1_A,0.0007843534,0.38554397
pos4_T,0.00077412726,0.40590224
pos2_T,0.0007485171,0.377061
pos14_A,0.00073481386,0.39433792
pos3_C,0.0007159102,0.4091672
pos15_C,0.00070373924,0.4135406
pos9_A,0.0006949475,0.4026014
pos21_G,0.00068268855,0.3589041
pos7_A,0.0006770934,0.39768383
pos15_G,0.0006738754,0.3937365
pos13_T,0.0006683629,0.3805653
pos21_C,0.0004906568,0.29909536
pos3_H3K4me3,0.0,0.0
pos3_RRBS,0.0,0.0
pos3_CTCF,0.0,0.0
pos3_Dnase,0.0,0.0
pos1_Dnase,0.0,0.0
pos1_CTCF,0.0,0.0
pos7_RRBS,0.0,0.0
pos7_H3K4me3,0.0,0.0
pos7_Dnase,0.0,0.0
pos7_CTCF,0.0,0.0
pos6_CTCF,0.0,0.0
pos6_Dnase,0.0,0.0
pos6_H3K4me3,0.0,0.0
pos6_RRBS,0.0,0.0
pos4_RRBS,0.0,0.0
pos4_H3K4me3,0.0,0.0
pos4_Dnase,0.0,0.0
pos4_CTCF,0.0,0.0
pos5_CTCF,0.0,0.0
pos5_Dnase,0.0,0.0
pos5_H3K4me3,0.0,0.0
pos5_RRBS,0.0,0.0
pos2_RRBS,0.0,0.0
pos2_H3K4me3,0.0,0.0
pos2_Dnase,0.0,0.0
pos2_CTCF,0.0,0.0
pos1_RRBS,0.0,0.0
pos1_H3K4me3,0.0,0.0
pos11_RRBS,0.0,0.0
pos11_H3K4me3,0.0,0.0
pos8_RRBS,0.0,0.0
pos8_H3K4me3,0.0,0.0
pos11_Dnase,0.0,0.0
pos11_CTCF,0.0,0.0
pos10_CTCF,0.0,0.0
pos10_Dnase,0.0,0.0
pos10_H3K4me3,0.0,0.0
pos10_RRBS,0.0,0.0
pos15_RRBS,0.0,0.0
pos15_H3K4me3,0.0,0.0
pos15_Dnase,0.0,0.0
pos15_CTCF,0.0,0.0
pos14_CTCF,0.0,0.0
pos14_Dnase,0.0,0.0
pos14_H3K4me3,0.0,0.0
pos14_RRBS,0.0,0.0
pos12_RRBS,0.0,0.0
pos12_H3K4me3,0.0,0.0
pos12_Dnase,0.0,0.0
pos12_CTCF,0.0,0.0
pos13_CTCF,0.0,0.0
pos13_Dnase,0.0,0.0
pos13_H3K4me3,0.0,0.0
pos13_RRBS,0.0,0.0
pos9_RRBS,0.0,0.0
pos9_H3K4me3,0.0,0.0
pos9_Dnase,0.0,0.0
pos9_CTCF,0.0,0.0
pos8_CTCF,0.0,0.0
pos8_Dnase,0.0,0.0
pos18_CTCF,0.0,0.0
pos16_Dnase,0.0,0.0
pos17_RRBS,0.0,0.0
pos17_H3K4me3,0.0,0.0
pos17_Dnase,0.0,0.0
pos17_CTCF,0.0,0.0
pos17_T,0.0,0.0
pos16_H3K4me3,0.0,0.0
pos16_RRBS,0.0,0.0
pos16_CTCF,0.0,0.0
pos19_RRBS,0.0,0.0
pos19_H3K4me3,0.0,0.0
pos19_Dnase,0.0,0.0
pos19_CTCF,0.0,0.0
pos19_T,0.0,0.0
pos18_Dnase,0.0,0.0
pos18_H3K4me3,0.0,0.0
pos18_RRBS,0.0,0.0
pos18_T,0.0,0.0
pos20_H3K4me3,0.0,0.0
pos20_RRBS,0.0,0.0
pos20_CTCF,0.0,0.0
pos21_CTCF,0.0,0.0
pos21_Dnase,0.0,0.0
pos20_Dnase,0.0,0.0
pos20_T,0.0,0.0
pos21_RRBS,0.0,0.0
pos21_H3K4me3,0.0,0.0
pos22_C,0.0,0.0
pos22_A,0.0,0.0
pos22_CTCF,0.0,0.0
pos22_Dnase,0.0,0.0
pos22_H3K4me3,0.0,0.0
pos22_T,0.0,0.0
pos22_RRBS,0.0,0.0
pos23_A,0.0,0.0
pos23_C,0.0,0.0
pos23_T,0.0,0.0
pos23_CTCF,0.0,0.0
pos23_Dnase,0.0,0.0
pos23_H3K4me3,0.0,0.0
pos23_RRBS,0.0,0.0
