Feature,XGB_Gain,XGB_Weight,XGB_Cover,TreeSHAP,SHAP_SNR
pos18_C,1.2692177295684814,62.0,5987.85498046875,0.02269764430820942,0.8888340455403033
pos5_CTCF,0.5441527366638184,1.0,446.0,6.447901978390291e-05,0.3891079182261514
pos18_G,0.4123889207839966,37.0,1751.45947265625,0.0021795746870338917,0.7325731408416108
pos13_CTCF,0.39963066577911377,8.0,1453.875,0.0006101456237956882,0.534882946740053
pos10_CTCF,0.39959895610809326,3.0,2306.666748046875,0.0003386439348105341,0.5861474896933122
pos20_C,0.385295569896698,55.0,2048.291015625,0.005230767652392387,0.8470713040682261
pos20_G,0.37278902530670166,69.0,2556.55078125,0.009520926512777805,0.8202187475649859
pos18_A,0.3607058823108673,44.0,2961.886474609375,0.006623078603297472,0.8878080449478072
pos23_CTCF,0.3391440510749817,7.0,1383.2857666015625,0.0006072961841709912,0.6406519233734034
pos19_A,0.33255788683891296,55.0,2430.8544921875,0.0066237132996320724,0.8354131666627491
pos1_G,0.3100610673427582,68.0,2807.044189453125,0.008010522462427616,0.8125220990036752
pos16_G,0.2928493022918701,58.0,2614.689697265625,0.006548489909619093,0.8468154759483502
pos14_G,0.28551384806632996,57.0,2662.4736328125,0.0066322325728833675,0.8340460659338302
pos16_C,0.27400124073028564,57.0,1990.71923828125,0.004736717790365219,0.8066958450795225
pos18_T,0.2727123200893402,22.0,1026.3182373046875,0.00036752535379491746,0.5759574222861293
pos19_C,0.26576000452041626,48.0,1278.4791259765625,0.0031812284141778946,0.8364764293438735
pos12_CTCF,0.2637175917625427,1.0,125.0,2.2263067876338027e-05,0.24771119995612426
pos8_CTCF,0.25770050287246704,10.0,3157.0,0.0011526456801220775,0.7617519268126589
pos19_T,0.25629308819770813,26.0,1663.5,0.0009617120958864689,0.39077845324284494
pos4_CTCF,0.25305458903312683,3.0,844.0,0.00010521813965169713,0.4709567234961929
pos11_CTCF,0.25195369124412537,6.0,1215.5,0.00043012332753278315,0.6734047110802539
pos3_C,0.24537310004234314,60.0,1997.683349609375,0.004808824975043535,0.8116016529823956
pos10_Dnase,0.24241892993450165,1.0,1206.0,1.5072837413754314e-05,0.2060272742825629
pos17_T,0.24172770977020264,28.0,2212.428466796875,0.0013260821579024196,0.4152453516643583
pos17_A,0.2372373789548874,47.0,1421.4681396484375,0.0017611689399927855,0.71335861567427
pos20_T,0.23700089752674103,32.0,1564.75,0.0009925737977027893,0.3421251235923658
pos21_G,0.23563474416732788,58.0,2848.862060546875,0.004761392716318369,0.7218169658361753
pos19_G,0.23444058001041412,51.0,1431.6470947265625,0.0036784526892006397,0.8550626745675706
pos4_G,0.2327391356229782,24.0,480.875,0.0008179727010428905,0.6648786000291012
pos1_C,0.23103414475917816,48.0,2755.958251953125,0.004836969077587128,0.833325337400418
pos13_A,0.22416085004806519,50.0,879.8800048828125,0.001213573501445353,0.6701378950063227
pos16_CTCF,0.22225414216518402,1.0,494.0,4.078858546563424e-05,0.3603760377133926
pos18_CTCF,0.22038967907428741,2.0,522.0,5.0513684982433915e-05,0.39384323019622414
pos20_A,0.2135600447654724,44.0,1386.1817626953125,0.0010897364700213075,0.7450026223063791
pos2_CTCF,0.21267525851726532,7.0,1826.4285888671875,0.00048284479998983443,0.735352733626959
pos6_T,0.2106027752161026,36.0,1688.861083984375,0.0025965175591409206,0.7507674826766738
pos16_T,0.20813198387622833,54.0,907.0,0.002260717796161771,0.7256596841726275
pos15_T,0.20775218307971954,43.0,1401.6744384765625,0.0020341845229268074,0.682542371977037
pos5_T,0.20621910691261292,39.0,1256.3333740234375,0.0016688613686710596,0.6739579922131868
pos15_A,0.20580323040485382,54.0,1166.7962646484375,0.0031655116472393274,0.7825658786868109
pos2_C,0.20515218377113342,44.0,964.0908813476562,0.0012585989898070693,0.6309541342364077
pos14_T,0.2040543109178543,48.0,2722.791748046875,0.003934847190976143,0.751438846218297
pos9_T,0.20239560306072235,23.0,692.9130249023438,0.000683940714225173,0.6834931845769238
pos19_CTCF,0.1994425505399704,7.0,737.1428833007812,0.0001797109143808484,0.45484793525218786
pos15_G,0.19916804134845734,28.0,1203.3214111328125,0.0008394878241233528,0.7011923426767819
pos4_A,0.19737540185451508,40.0,574.0999755859375,0.0011258427985012531,0.7186826178159308
pos10_T,0.19709330797195435,37.0,1410.2161865234375,0.002150885295122862,0.7671169422736531
pos16_A,0.19700348377227783,24.0,1007.0833129882812,0.0005383244715631008,0.6662708661028757
pos17_G,0.1965719312429428,44.0,1165.977294921875,0.0013528672279790044,0.7878418148047768
pos10_A,0.19629934430122375,62.0,1460.6129150390625,0.003631096798926592,0.7905809221985222
pos13_C,0.19184595346450806,30.0,1107.433349609375,0.0013156960485503078,0.795802233871197
pos11_A,0.18970361351966858,85.0,1480.423583984375,0.004942756146192551,0.7950624798915978
pos15_CTCF,0.18908356130123138,9.0,528.4444580078125,0.00028966646641492844,0.7292555165085594
pos8_A,0.1874540001153946,39.0,1163.6409912109375,0.001581172225996852,0.7173780513857486
pos4_C,0.18732237815856934,39.0,1041.794921875,0.0011095639783889055,0.7274629433863106
pos12_T,0.18721957504749298,36.0,676.4444580078125,0.0006787932361476123,0.6343637713695731
pos2_T,0.1870938241481781,33.0,2361.818115234375,0.002249885583296418,0.7427678180392686
pos2_Dnase,0.18619368970394135,2.0,344.0,1.5214849554467946e-05,0.1322137552556984
pos9_CTCF,0.18563240766525269,3.0,4786.33349609375,0.0004655090451706201,0.8175725678031961
pos14_A,0.185092955827713,21.0,591.952392578125,0.00028095609741285443,0.6186663778539532
pos8_T,0.18075665831565857,37.0,1208.810791015625,0.001135801081545651,0.679547774627959
pos9_C,0.18063993752002716,27.0,2326.77783203125,0.0017347049433737993,0.7878806301115425
pos1_A,0.18048475682735443,31.0,468.80645751953125,0.0004077918129041791,0.6485660653049237
pos20_CTCF,0.17963290214538574,7.0,1760.7142333984375,0.00027672614669427276,0.6693234776722867
pos1_T,0.1753532588481903,22.0,795.3636474609375,0.0004851614939980209,0.6288974795991981
pos10_C,0.1742234230041504,22.0,567.9545288085938,0.0007739685825072229,0.7913070519500502
pos2_G,0.17388083040714264,36.0,604.2777709960938,0.0012426745379343629,0.8180165763681597
pos6_A,0.17365892231464386,37.0,1210.432373046875,0.001613746746443212,0.7942126204242189
pos7_T,0.17326593399047852,39.0,1210.6409912109375,0.0012603687355294824,0.7090938750754471
pos4_T,0.17238181829452515,53.0,1111.4906005859375,0.002251941943541169,0.759996545505565
pos21_CTCF,0.1723124384880066,2.0,1275.5,6.31993607385084e-05,0.4318986197449291
pos7_CTCF,0.16806891560554504,2.0,613.5,8.044062269618735e-05,0.5257892029197037
pos9_G,0.1680098921060562,30.0,501.70001220703125,0.0003573556896299124,0.61728934183829
pos3_G,0.16708189249038696,45.0,873.5111083984375,0.0016914326697587967,0.7772625611728516
pos15_C,0.16599833965301514,39.0,877.1538696289062,0.0012210317654535174,0.7924406058201849
pos21_A,0.1658715307712555,20.0,2161.60009765625,0.0013190966565161943,0.8406175023327694
pos8_G,0.16574902832508087,35.0,1893.5714111328125,0.0020768833346664906,0.8004460526193236
pos6_G,0.16535396873950958,39.0,1370.0,0.002114256378263235,0.7913221983420653
pos11_G,0.1652146577835083,17.0,718.1764526367188,0.00028314051451161504,0.656952043629044
pos17_C,0.16462308168411255,35.0,766.4571533203125,0.0006527123623527586,0.653251362209837
pos7_A,0.16455069184303284,20.0,517.2999877929688,0.00023796712048351765,0.5785129905505829
pos1_CTCF,0.16203491389751434,11.0,381.6363525390625,0.00033336036722175777,1.0396245722214246
pos5_A,0.1616140753030777,21.0,663.1428833007812,0.0005908129387535155,0.6549966213923146
pos12_A,0.16142289340496063,38.0,1644.2894287109375,0.002250185701996088,0.8200993571969948
pos3_Dnase,0.16063937544822693,1.0,4831.0,3.3211137633770704e-05,0.22297400457811647
pos9_A,0.16018088161945343,41.0,978.4146118164062,0.0016948179109022021,0.7889137760383222
pos7_C,0.1590319126844406,24.0,744.7083129882812,0.00059307343326509,0.7095628170299553
pos10_G,0.15833038091659546,47.0,1121.0850830078125,0.001710547017864883,0.8025161783115373
pos12_Dnase,0.1582455039024353,3.0,1344.3333740234375,2.6627647457644343e-05,0.14721472749738157
pos2_A,0.15806365013122559,26.0,802.6538696289062,0.0004305982147343457,0.6786552972173332
pos5_G,0.156781867146492,27.0,402.3333435058594,0.0003667625423986465,0.6815086463933541
pos13_G,0.15656164288520813,41.0,1026.292724609375,0.001188452122732997,0.7786982288553258
pos3_T,0.1557815819978714,33.0,798.6666870117188,0.0010969428112730384,0.7404461735731932
pos7_G,0.15577170252799988,31.0,480.2903137207031,0.0008355967001989484,0.7307357907415319
pos12_C,0.15277095139026642,38.0,586.1842041015625,0.0006428633350878954,0.6447864936364227
pos21_C,0.15212780237197876,37.0,1239.0540771484375,0.0014940181281417608,0.6385048928762728
pos21_T,0.14915531873703003,25.0,899.0399780273438,0.0006065276102162898,0.7624877806534318
pos5_C,0.148977130651474,28.0,1131.25,0.0013646903680637479,0.7800790322418025
pos8_C,0.14663860201835632,29.0,1121.7586669921875,0.0009215850150212646,0.7856978237315864
pos11_C,0.14513163268566132,23.0,1708.2174072265625,0.0009762138943187892,0.7729438288716457
pos3_CTCF,0.1448412537574768,3.0,1923.6666259765625,0.0003604792000260204,0.9868047000961272
pos6_C,0.14298368990421295,37.0,871.5946044921875,0.0013872853014618158,0.8377943151820618
pos14_C,0.1423424333333969,20.0,467.6499938964844,0.00029278206056915224,0.5842021223979393
pos13_T,0.14173229038715363,40.0,1290.4749755859375,0.0012702909298241138,0.7263861437810948
pos14_CTCF,0.14150339365005493,2.0,235.0,4.0699931560084224e-05,0.3181371543918357
pos11_T,0.13756923377513885,16.0,556.375,0.000332371739204973,0.6609144215344462
pos22_CTCF,0.13486896455287933,7.0,1265.142822265625,0.0002082654245896265,0.5943648105092889
pos12_G,0.13471829891204834,21.0,1179.952392578125,0.0003790342598222196,0.6403315007360534
pos3_A,0.12385808676481247,24.0,510.875,0.00023525905271526426,0.5788628151892008
pos1_Dnase,0.12282419949769974,7.0,506.4285583496094,3.2966534490697086e-05,0.19379445112724372
pos9_Dnase,0.12007005512714386,1.0,1612.0,1.1222436114621814e-05,0.1304175617507466
pos5_Dnase,0.10510707646608353,2.0,658.0,1.1491166333144065e-05,0.2285858877665453
pos14_Dnase,0.10290469974279404,3.0,1830.3333740234375,2.642531762830913e-05,0.18913297677307217
pos13_Dnase,0.1025916337966919,1.0,976.0,1.162680382549297e-05,0.1601700000828329
pos6_CTCF,0.10104253143072128,1.0,831.0,0.00010319927969248965,1.501619473327823
pos18_Dnase,0.09517689794301987,3.0,996.6666870117188,2.1253859813441522e-05,0.13989511611118063
pos17_CTCF,0.08567559719085693,2.0,296.5,7.068017293931916e-05,0.7179366867459598
pos22_Dnase,0.07696688175201416,1.0,3213.0,2.1085830667288974e-05,0.21610483569804217
pos1_RRBS,0.0,0.0,0.0,0.0,0.0
pos3_RRBS,0.0,0.0,0.0,0.0,0.0
pos7_RRBS,0.0,0.0,0.0,0.0,0.0
pos7_H3K4me3,0.0,0.0,0.0,0.0,0.0
pos7_Dnase,0.0,0.0,0.0,0.0,0.0
pos6_RRBS,0.0,0.0,0.0,0.0,0.0
pos6_H3K4me3,0.0,0.0,0.0,0.0,0.0
pos6_Dnase,0.0,0.0,0.0,0.0,0.0
pos5_H3K4me3,0.0,0.0,0.0,0.0,0.0
pos5_RRBS,0.0,0.0,0.0,0.0,0.0
pos4_RRBS,0.0,0.0,0.0,0.0,0.0
pos4_H3K4me3,0.0,0.0,0.0,0.0,0.0
pos4_Dnase,0.0,0.0,0.0,0.0,0.0
pos1_H3K4me3,0.0,0.0,0.0,0.0,0.0
pos2_RRBS,0.0,0.0,0.0,0.0,0.0
pos2_H3K4me3,0.0,0.0,0.0,0.0,0.0
pos3_H3K4me3,0.0,0.0,0.0,0.0,0.0
pos15_Dnase,0.0,0.0,0.0,0.0,0.0
pos9_RRBS,0.0,0.0,0.0,0.0,0.0
pos8_RRBS,0.0,0.0,0.0,0.0,0.0
pos8_Dnase,0.0,0.0,0.0,0.0,0.0
pos14_RRBS,0.0,0.0,0.0,0.0,0.0
pos14_H3K4me3,0.0,0.0,0.0,0.0,0.0
pos12_H3K4me3,0.0,0.0,0.0,0.0,0.0
pos13_H3K4me3,0.0,0.0,0.0,0.0,0.0
pos13_RRBS,0.0,0.0,0.0,0.0,0.0
pos12_RRBS,0.0,0.0,0.0,0.0,0.0
pos9_H3K4me3,0.0,0.0,0.0,0.0,0.0
pos8_H3K4me3,0.0,0.0,0.0,0.0,0.0
pos10_H3K4me3,0.0,0.0,0.0,0.0,0.0
pos10_RRBS,0.0,0.0,0.0,0.0,0.0
pos11_Dnase,0.0,0.0,0.0,0.0,0.0
pos11_H3K4me3,0.0,0.0,0.0,0.0,0.0
pos11_RRBS,0.0,0.0,0.0,0.0,0.0
pos15_RRBS,0.0,0.0,0.0,0.0,0.0
pos15_H3K4me3,0.0,0.0,0.0,0.0,0.0
pos19_Dnase,0.0,0.0,0.0,0.0,0.0
pos19_H3K4me3,0.0,0.0,0.0,0.0,0.0
pos19_RRBS,0.0,0.0,0.0,0.0,0.0
pos17_Dnase,0.0,0.0,0.0,0.0,0.0
