Feature,Position,Channel,CNN_IG,CNN_ISM,ISM_SNR
T_pos_18,18,T,0.016607463359832764,0.019905097782611847,1.01171875
T_pos_17,17,T,0.018225999549031258,0.019571460783481598,0.955357015132904
A_pos_17,17,A,0.01686497963964939,0.0188021007925272,0.9636222124099731
C_pos_17,17,C,0.006444783415645361,0.0187090877443552,0.9911695122718811
T_pos_3,3,T,0.014913064427673817,0.017270762473344803,1.0663825273513794
T_pos_16,16,T,0.013581717386841774,0.015818165615200996,0.9124255180358887
T_pos_19,19,T,0.009451306425035,0.015364088118076324,1.0406628847122192
G_pos_15,15,G,0.006948225665837526,0.015309770591557026,0.9340449571609497
T_pos_1,1,T,0.014318388886749744,0.014697431586682796,0.9786475896835327
C_pos_2,2,C,0.006932394579052925,0.014496770687401295,0.9890530705451965
T_pos_4,4,T,0.015105390921235085,0.014393597841262817,0.9732405543327332
T_pos_5,5,T,0.017070213332772255,0.014184034429490566,0.9419262409210205
T_pos_15,15,T,0.013389643281698227,0.014039468951523304,0.9114718437194824
C_pos_19,19,C,0.011160233058035374,0.01384313777089119,0.9319117665290833
A_pos_2,2,A,0.017569657415151596,0.013832568190991879,0.9349734783172607
T_pos_20,20,T,0.014904084615409374,0.013644111342728138,1.0121098756790161
T_pos_6,6,T,0.013188036158680916,0.013620865531265736,0.9164599776268005
A_pos_18,18,A,0.012339429929852486,0.013460902497172356,0.8462430834770203
T_pos_12,12,T,0.011414401233196259,0.013225087895989418,0.904058575630188
G_pos_14,14,G,0.004816856235265732,0.013101786375045776,0.9279361963272095
G_pos_13,13,G,0.005572353955358267,0.013099639676511288,0.9149681329727173
T_pos_7,7,T,0.013286071829497814,0.013065292499959469,0.9349000453948975
T_pos_9,9,T,0.011914301663637161,0.013062354177236557,0.9160836338996887
T_pos_10,10,T,0.01351739652454853,0.01304532214999199,0.9101006388664246
T_pos_14,14,T,0.01605318859219551,0.01297317910939455,0.9102122783660889
G_pos_17,17,G,0.004406468011438847,0.012691815383732319,0.9190216064453125
T_pos_8,8,T,0.015152291394770145,0.012691409327089787,0.9222769737243652
T_pos_13,13,T,0.014383102767169476,0.012688846327364445,0.8890513777732849
G_pos_22,22,G,0.02801900915801525,0.012682746164500713,1.0173730850219727
G_pos_16,16,G,0.006492527201771736,0.01248178817331791,0.8800657391548157
T_pos_2,2,T,0.012810809537768364,0.01239632535725832,0.9576743841171265
T_pos_11,11,T,0.015051392838358879,0.012384418398141861,0.9390274286270142
G_pos_2,2,G,0.005722972098737955,0.012205872684717178,0.9511784315109253
G_pos_9,9,G,0.0054616243578493595,0.011623808182775974,0.9128857254981995
A_pos_16,16,A,0.013101128861308098,0.011572522111237049,0.895721971988678
G_pos_10,10,G,0.005637678317725658,0.011399133130908012,0.9328310489654541
C_pos_0,0,C,0.004466895014047623,0.011395163834095001,0.9472214579582214
C_pos_11,11,C,0.005142586771398783,0.011345011182129383,0.8524830341339111
G_pos_20,20,G,0.0017759997863322496,0.011276736855506897,0.9617551565170288
G_pos_12,12,G,0.005584238097071648,0.011266520246863365,0.9400890469551086
G_pos_8,8,G,0.005124105140566826,0.011211205273866653,0.9254753589630127
C_pos_14,14,C,0.005293547175824642,0.01118478737771511,0.9032508134841919
G_pos_11,11,G,0.004291321616619825,0.011170557700097561,0.92535400390625
C_pos_12,12,C,0.005429438780993223,0.011132040061056614,0.8345388770103455
G_pos_4,4,G,0.006228532642126083,0.011118339374661446,0.8828663229942322
C_pos_3,3,C,0.006202378310263157,0.011112104170024395,0.9426056742668152
G_pos_19,19,G,0.00485010864213109,0.011050142347812653,0.9419230818748474
C_pos_10,10,C,0.004445286467671394,0.011046611703932285,0.8675888776779175
C_pos_7,7,C,0.0052494159899652,0.010975895449519157,0.8912912011146545
A_pos_15,15,A,0.01323022786527872,0.010857002809643745,0.824578583240509
C_pos_13,13,C,0.004867563024163246,0.01081188302487135,0.8437485098838806
C_pos_6,6,C,0.005687207914888859,0.010801748372614384,0.880196213722229
G_pos_21,21,G,0.019496142864227295,0.010790283791720867,0.9406393766403198
G_pos_6,6,G,0.005949780810624361,0.01078906748443842,0.9006149172782898
G_pos_7,7,G,0.004436034709215164,0.010775790549814701,0.9317658543586731
C_pos_8,8,C,0.004905174020677805,0.010759244672954082,0.882021427154541
C_pos_18,18,C,0.006045561749488115,0.010645397007465363,0.8854928612709045
A_pos_14,14,A,0.012797259725630283,0.010598712600767612,0.8875952363014221
T_pos_21,21,T,0.0,0.010552053339779377,0.8683767318725586
A_pos_5,5,A,0.014005881734192371,0.010549653321504593,0.855609655380249
C_pos_9,9,C,0.005968443583697081,0.010535215958952904,0.8784499764442444
A_pos_10,10,A,0.013656198047101498,0.01025757472962141,0.8536767363548279
G_pos_3,3,G,0.006149244029074907,0.01015972439199686,0.9252877831459045
A_pos_13,13,A,0.013449459336698055,0.010140799917280674,0.8622882962226868
A_pos_11,11,A,0.014885944314301014,0.010087047703564167,0.8741220831871033
C_pos_22,22,C,0.0,0.010077519342303276,0.8648852705955505
A_pos_7,7,A,0.01431441679596901,0.010045359842479229,0.8853474259376526
A_pos_9,9,A,0.01194306556135416,0.010014320723712444,0.891626238822937
A_pos_12,12,A,0.01200037356466055,0.010006474331021309,0.8819922208786011
A_pos_6,6,A,0.01066671684384346,0.010005132295191288,0.9029238224029541
C_pos_5,5,C,0.0047596655786037445,0.009865923784673214,0.886901319026947
G_pos_18,18,G,0.004956117831170559,0.009857509285211563,0.9279643893241882
A_pos_8,8,A,0.012169353663921356,0.009778673760592937,0.8715149164199829
C_pos_15,15,C,0.0051930439658463,0.009772797115147114,0.8731787204742432
C_pos_4,4,C,0.0045126015320420265,0.00966036319732666,0.8834403157234192
A_pos_4,4,A,0.011906974948942661,0.009639788419008255,0.8725458979606628
C_pos_20,20,C,0.004097444005310535,0.009445267729461193,0.9276133179664612
G_pos_5,5,G,0.004318705759942532,0.00937067624181509,0.8837229013442993
A_pos_21,21,A,0.0,0.009327312931418419,0.8749487400054932
C_pos_16,16,C,0.004805778618901968,0.009281519800424576,0.8554531931877136
A_pos_22,22,A,0.0,0.00912050623446703,0.843608021736145
A_pos_3,3,A,0.011598515324294567,0.008959301747381687,0.8126186728477478
A_pos_19,19,A,0.007362160366028547,0.008825684897601604,0.874339759349823
C_pos_21,21,C,0.0,0.008651220239698887,0.8964287042617798
A_pos_20,20,A,0.008130686357617378,0.007943295873701572,0.8398401141166687
G_pos_0,0,G,0.010352180339396,0.007489460054785013,0.9160882234573364
G_pos_1,1,G,0.005059958901256323,0.007074174005538225,0.9285234212875366
T_pos_0,0,T,0.0064609479159116745,0.006930194329470396,0.8899639844894409
A_pos_0,0,A,0.008155260235071182,0.006632087752223015,0.8548280596733093
A_pos_1,1,A,0.00621193228289485,0.006504460703581572,0.8874395489692688
C_pos_1,1,C,0.002434678142890334,0.006481099873781204,0.8971215486526489
T_pos_22,22,T,0.0,0.006239760667085648,0.8653595447540283
CTCF_pos_22,22,CTCF,0.0015159820904955268,0.0039906748570501804,2.92840838432312
RRBS_pos_5,5,RRBS,4.4537282519740984e-05,0.003142343368381262,1.0621002912521362
RRBS_pos_4,4,RRBS,4.642169733415358e-05,0.0031386178452521563,1.061743974685669
RRBS_pos_10,10,RRBS,2.779157875920646e-05,0.003134914208203554,1.0577975511550903
RRBS_pos_9,9,RRBS,6.0247119108680636e-05,0.0031332536600530148,1.058286428451538
RRBS_pos_8,8,RRBS,2.0439299987629056e-05,0.003132191952317953,1.0568270683288574
RRBS_pos_14,14,RRBS,4.9084468628279865e-05,0.0031281232368201017,1.0597237348556519
RRBS_pos_6,6,RRBS,4.9400459829485044e-05,0.0031277795787900686,1.0570495128631592
RRBS_pos_15,15,RRBS,4.873504440183751e-05,0.003126660129055381,1.0603991746902466
RRBS_pos_12,12,RRBS,3.281558019807562e-05,0.0031259015668183565,1.0586351156234741
RRBS_pos_11,11,RRBS,3.571752677089535e-05,0.003123639151453972,1.0590382814407349
RRBS_pos_7,7,RRBS,3.212887531844899e-05,0.003122365800663829,1.0579644441604614
RRBS_pos_13,13,RRBS,3.216985714971088e-05,0.0031220130622386932,1.0559396743774414
RRBS_pos_16,16,RRBS,4.3823340092785656e-05,0.00311526982113719,1.0603457689285278
RRBS_pos_17,17,RRBS,3.330474646645598e-05,0.003108820877969265,1.0545519590377808
RRBS_pos_2,2,RRBS,3.504067717585713e-05,0.003102656453847885,0.9916185140609741
RRBS_pos_18,18,RRBS,5.4400708904722705e-05,0.003085702657699585,1.0493707656860352
RRBS_pos_3,3,RRBS,4.359968443168327e-05,0.0030536530539393425,1.0239206552505493
Dnase_pos_2,2,Dnase,0.0013680743286386132,0.002907087793573737,1.469638466835022
Dnase_pos_5,5,Dnase,0.0012790573528036475,0.0026465454138815403,1.2871079444885254
Dnase_pos_4,4,Dnase,0.001278479234315455,0.002638590056449175,1.2874706983566284
Dnase_pos_14,14,Dnase,0.001290373271331191,0.002634372329339385,1.2845462560653687
Dnase_pos_8,8,Dnase,0.0012988337548449636,0.002634046133607626,1.2845573425292969
Dnase_pos_10,10,Dnase,0.0012752367183566093,0.0026335762813687325,1.2845937013626099
Dnase_pos_7,7,Dnase,0.00127761485055089,0.0026286093052476645,1.283471703529358
Dnase_pos_12,12,Dnase,0.001287152641452849,0.0026273701805621386,1.2803035974502563
Dnase_pos_6,6,Dnase,0.0012779111275449395,0.002626773901283741,1.2791987657546997
Dnase_pos_11,11,Dnase,0.0012791354674845934,0.002626350149512291,1.2757668495178223
Dnase_pos_17,17,Dnase,0.001311142579652369,0.00262587727047503,1.288818120956421
Dnase_pos_9,9,Dnase,0.00128045619931072,0.0026241156738251448,1.2749290466308594
Dnase_pos_13,13,Dnase,0.0012787661980837584,0.0026236684061586857,1.2739827632904053
Dnase_pos_16,16,Dnase,0.0012928372016176581,0.0026220884174108505,1.280479073524475
Dnase_pos_15,15,Dnase,0.0013074440648779273,0.002613851334899664,1.2716302871704102
Dnase_pos_18,18,Dnase,0.0012917753774672747,0.002608297625556588,1.277359962463379
CTCF_pos_18,18,CTCF,0.0018355983775109053,0.002600146224722266,1.1789275407791138
CTCF_pos_17,17,CTCF,0.0018438021652400494,0.002592142904177308,1.1702494621276855
CTCF_pos_15,15,CTCF,0.0018370469333603978,0.002588975476101041,1.1686002016067505
CTCF_pos_6,6,CTCF,0.0018498499412089586,0.0025823102332651615,1.1643754243850708
CTCF_pos_16,16,CTCF,0.001835527247749269,0.0025794131215661764,1.1640843152999878
CTCF_pos_13,13,CTCF,0.0018537521827965975,0.0025746910832822323,1.1608140468597412
CTCF_pos_14,14,CTCF,0.0018341524992138147,0.0025740675628185272,1.159483790397644
CTCF_pos_5,5,CTCF,0.0018508322536945343,0.002571868011727929,1.1522166728973389
CTCF_pos_4,4,CTCF,0.0018511194502934813,0.002570586046203971,1.1552518606185913
CTCF_pos_8,8,CTCF,0.001881400472484529,0.002570448676124215,1.1596550941467285
CTCF_pos_10,10,CTCF,0.0018371609039604664,0.0025683664716780186,1.16340970993042
CTCF_pos_9,9,CTCF,0.0018532571848481894,0.002565765753388405,1.160156488418579
CTCF_pos_12,12,CTCF,0.0018469422357156873,0.002565756905823946,1.160139799118042
CTCF_pos_7,7,CTCF,0.0018362526316195726,0.002564302645623684,1.1606930494308472
CTCF_pos_11,11,CTCF,0.0018488671630620956,0.0025635026395320892,1.1591413021087646
RRBS_pos_19,19,RRBS,3.316333459224552e-05,0.0025596630293875933,1.1278576850891113
RRBS_pos_1,1,RRBS,2.2953079678700306e-05,0.0024765038397163153,1.0060428380966187
CTCF_pos_20,20,CTCF,0.0024367000441998243,0.002449189545586705,1.3209826946258545
RRBS_pos_21,21,RRBS,0.00011676928988890722,0.002437134040519595,1.2652099132537842
CTCF_pos_1,1,CTCF,0.0006424774182960391,0.0024062632583081722,1.7977880239486694
CTCF_pos_3,3,CTCF,0.0015618499601259828,0.002399495104327798,1.2620214223861694
CTCF_pos_2,2,CTCF,0.0028646765276789665,0.002374415285885334,1.0758156776428223
CTCF_pos_21,21,CTCF,0.002746366895735264,0.0023406005930155516,1.175773024559021
RRBS_pos_20,20,RRBS,7.071770960465074e-05,0.002323373220860958,1.1961325407028198
