Feature,Linear_Coefficient,SE,t_stat,p_value,FDR
pos1_A,-0.0013317914376911309,0.00659085801926139,-0.20206647356065777,0.8398720855476565,1.0
pos1_C,-0.020169280004875455,0.006344514170666116,-3.1790109474620127,0.001485820551406114,0.018515609948291576
pos1_G,0.03049230080266537,0.006728080007418434,4.532095452052342,5.9614252749806695e-06,0.0001931501789093737
pos1_CTCF,36746768754.77119,43660717929.10881,0.8416437131069697,0.4000232945009565,0.8203009331600555
pos1_Dnase,5894511617.239493,7003571137.577462,0.841643713106969,0.40002329450095697,0.8203009331600555
pos1_H3K4me3,-1175603850.383782,1396795142.7379913,-0.8416437131069691,0.40002329450095697,0.8203009331600555
pos1_RRBS,1663854805.7974126,1976911108.4489794,0.8416437131069688,0.40002329450095697,0.8203009331600555
pos2_A,0.02892140969840297,0.007251867181829651,3.988132845409626,6.744252421841956e-05,0.001560812703340567
pos2_C,0.017410001585353756,0.007150025136105349,2.4349566965070926,0.014924535423803897,0.10512064081114049
pos2_G,0.02567063669554205,0.0071573429487546865,3.5866154352724586,0.0003378515876164556,0.005473195719386581
pos2_CTCF,-265268259.62032986,315178804.86634815,-0.8416437131069683,0.4000232945009574,0.8203009331600555
pos2_Dnase,-135560528.2110905,161066406.2476771,-0.8416437131069693,0.4000232945009565,0.8203009331600555
pos2_H3K4me3,67484195.13939525,80181428.42209798,0.8416437131069696,0.4000232945009565,0.8203009331600555
pos2_RRBS,39234049.44587347,46615983.503327236,0.8416437131069673,0.40002329450095786,0.8203009331600555
pos3_A,-0.00510515754810545,0.00641475782468312,-0.7958457182064606,0.42615539381489276,0.8629646724751578
pos3_C,-0.020217381251034207,0.006551160969025371,-3.086076093477823,0.0020380564508946097,0.023583224646066197
pos3_G,-0.001545347303479803,0.006642422215581952,-0.23264815956063295,0.8160431156365537,1.0
pos3_CTCF,1810279.8230234596,2150886.1705159326,0.8416437131069694,0.4000232945009565,0.8203009331600555
pos3_Dnase,-968601.4706571624,1150845.0138378898,-0.8416437131069687,0.40002329450095697,0.8203009331600555
pos3_H3K4me3,182748.0707903494,217132.34227785777,0.8416437131069684,0.40002329450095697,0.8203009331600555
pos3_RRBS,221333.29930671628,262977.42840572505,0.8416437131069681,0.4000232945009574,0.8203009331600555
pos4_A,0.01614681242162419,0.006834683434050471,2.362481390312913,0.01818700296817566,0.1227622700351857
pos4_C,0.012851547869584453,0.006634408000010453,1.9371054462680324,0.05278260448432692,0.3420312770584385
pos4_G,0.022271914008933094,0.006642016812981649,3.3531854308774434,0.0008041643048886105,0.010856218115996241
pos4_CTCF,3476.490630821714,4130.596565603846,0.8416437131069688,0.40002329450095697,0.8203009331600555
pos4_Dnase,108.4214958868644,128.82113202820835,0.8416437131069693,0.4000232945009565,0.8203009331600555
pos4_H3K4me3,82.00714661447003,97.4368908569834,0.8416437131069695,0.4000232945009565,0.8203009331600555
pos4_RRBS,18.20956126068934,21.635712329469953,0.84164371310697,0.4000232945009561,0.8203009331600555
pos5_A,0.005300465975218871,0.006817566834306082,0.7774718024833814,0.4369132538816618,0.8738265077633235
pos5_C,0.01668941528646719,0.006675773011238341,2.4999974172835664,0.012447754212533857,0.09602553249668976
pos5_G,0.0035749755651966197,0.006722502767252354,0.5317923530818861,0.5948908803816375,1.0
pos5_CTCF,-0.10015071021134277,0.11899418798202806,-0.8416437131069691,0.40002329450095697,0.8203009331600555
pos5_Dnase,0.022355258638599256,0.026561427704454348,0.8416437131069684,0.40002329450095697,0.8203009331600555
pos5_H3K4me3,0.047972709795880544,0.056998833412284323,0.841643713106969,0.40002329450095697,0.8203009331600555
pos5_RRBS,0.0685471264427378,0.08144435154121536,0.8416437131069692,0.4000232945009565,0.8203009331600555
pos6_A,0.00414712957296907,0.0064585870673307295,0.6421109647876959,0.5208273785612207,1.0
pos6_C,0.021911461433978773,0.00652405232399205,3.3585661711203456,0.0007887013218250694,0.010856218115996241
pos6_G,0.025212122592259776,0.006660527256107909,3.785304319434994,0.00015512285753960242,0.003141237865176949
pos6_CTCF,-0.0018406098441690261,0.0021869228219792824,-0.8416437131069745,0.4000232945009534,0.8203009331600555
pos6_Dnase,0.0002778279010066563,0.0003301015580346086,0.8416437131070075,0.4000232945009352,0.8203009331600555
pos6_H3K4me3,5.342844250127607e-05,6.348106885280936e-05,0.8416437131069445,0.4000232945009703,0.8203009331600555
pos6_RRBS,-2.1371377000528864e-05,2.539242754112374e-05,-0.8416437131076706,0.40002329450056395,0.8203009331600555
pos7_A,0.0029720745332803625,0.006782821109276184,0.438176753506849,0.6612750326568153,1.0
pos7_C,0.006292945199234887,0.0065560471126527246,0.9598688189854419,0.3371626148250608,0.8203009331600555
pos7_G,-0.0003850840049058877,0.006562523901775029,-0.05867925369410546,0.9532096743418885,1.0
pos7_CTCF,-1.335711062527237e-06,1.587026721320234e-06,-0.8416437131040052,0.4000232945026161,0.8203009331600555
pos7_Dnase,5.955712023519788e-18,3.162277660168379e-08,1.883361508237284e-10,0.9999999998497362,1.0
pos7_H3K4me3,-2.0870485352282518e-08,3.162277660168379e-08,-0.659982695863944,0.5092920330733457,0.9940398717817108
pos7_RRBS,-1.0435242664967088e-08,3.162277660168379e-08,-0.3299913475786137,0.7414188233134651,1.0
pos8_A,0.0007001454946871921,0.006774896935042359,0.10334408056686024,0.9176935862300781,1.0
pos8_C,0.017594158824760415,0.0066610478413837385,2.6413500163520034,0.008280540797086067,0.0745248671737746
pos8_G,0.016885690698082153,0.006620120328544632,2.5506622025092867,0.010778182660013957,0.09189818899590847
pos8_CTCF,7.956872539380117e-08,9.453967773489675e-08,0.8416437129913183,0.40002329456570607,0.8203009331600555
pos8_Dnase,3.448521603905904e-08,4.0973651313382495e-08,0.841643713304988,0.40002329439009277,0.8203009331600555
pos8_H3K4me3,-5.41939653861726e-08,6.43906257933121e-08,-0.8416437131723206,0.40002329446436846,0.8203009331600555
pos8_RRBS,-6.042173657178463e-08,7.179015967596307e-08,-0.8416437133516387,0.400023294363975,0.8203009331600555
pos9_A,0.0020391872674540915,0.006325595327863058,0.3223708065028844,0.7471838124021477,1.0
pos9_C,-0.011530290822869339,0.006544642351603029,-1.761790821166131,0.07815911453798474,0.46895468722790845
pos9_G,-0.004940038894481126,0.006600828120174675,-0.7483968381758742,0.4542522081255256,0.8974250941016481
pos9_CTCF,3.899724130198823e-08,4.633461962400468e-08,0.8416437130258613,0.4000232945463662,0.8203009331600555
pos9_Dnase,-5.061689878779192e-08,6.014052977469193e-08,-0.8416437131069686,0.40002329450095697,0.8203009331600555
pos9_H3K4me3,0.0,3.162277660168379e-08,0.0,1.0,1.0
pos9_RRBS,0.0,3.162277660168379e-08,0.0,1.0,1.0
pos10_A,0.024713368460772895,0.006797569659181062,3.6356182723915245,0.0002798006565938316,0.005036411818688968
pos10_C,0.0075982914982588474,0.006556401317363814,1.1589118985342945,0.2465414345357495,0.8203009331600555
pos10_G,0.0005900472341478459,0.006542377999372503,0.09018849632418653,0.9281406459139956,1.0
pos10_CTCF,0.0,3.162277660168379e-08,0.0,1.0,1.0
pos10_Dnase,0.0,3.162277660168379e-08,0.0,1.0,1.0
pos10_H3K4me3,0.0,3.162277660168379e-08,0.0,1.0,1.0
pos10_RRBS,0.0,3.162277660168379e-08,0.0,1.0,1.0
pos11_A,0.03178699713553259,0.00681532672162778,4.664045970776372,3.1724688569489956e-06,0.00012848498870643432
pos11_C,-0.0004139667725850878,0.006661768523750386,-0.062140671971597755,0.9504530221101428,1.0
pos11_G,0.01197446675129313,0.006681795147456309,1.79210324277177,0.073170308244221,0.4559073052139923
pos11_CTCF,0.0,3.162277660168379e-08,0.0,1.0,1.0
pos11_Dnase,0.0,3.162277660168379e-08,0.0,1.0,1.0
pos11_H3K4me3,0.0,3.162277660168379e-08,0.0,1.0,1.0
pos11_RRBS,0.0,3.162277660168379e-08,0.0,1.0,1.0
pos12_A,0.01786105800760555,0.006343257573962358,2.815754807265145,0.004883264832778567,0.05273926019400852
pos12_C,0.002084069272085154,0.0065940468621375,0.3160531484924252,0.7519739272618648,1.0
pos12_G,-0.0019556686853945482,0.0067531956845108595,-0.2895915914120589,0.772139404272135,1.0
pos12_CTCF,0.0,3.162277660168379e-08,0.0,1.0,1.0
pos12_Dnase,0.0,3.162277660168379e-08,0.0,1.0,1.0
pos12_H3K4me3,0.0,3.162277660168379e-08,0.0,1.0,1.0
pos12_RRBS,0.0,3.162277660168379e-08,0.0,1.0,1.0
pos13_A,-0.0011215580818696965,0.006855811244728375,-0.163592322167868,0.8700579832450777,1.0
pos13_C,0.01812328866472684,0.006637085847760611,2.730609348806561,0.006341489134725986,0.06420757748910061
pos13_G,0.0042092510643027955,0.006639874259686636,0.633935357761044,0.5261488599191406,1.0
pos13_CTCF,0.0,3.162277660168379e-08,0.0,1.0,1.0
pos13_Dnase,0.0,3.162277660168379e-08,0.0,1.0,1.0
pos13_H3K4me3,0.0,3.162277660168379e-08,0.0,1.0,1.0
pos13_RRBS,0.0,3.162277660168379e-08,0.0,1.0,1.0
pos14_A,-0.01670641234623913,0.006821905923259247,-2.448936196742133,0.014358275640347085,0.10512064081114049
pos14_C,-0.028917505828093305,0.006726302818161168,-4.299167999099802,1.74346218675403e-05,0.0004707347904235881
pos14_G,-0.04429666464074054,0.0067739436165183,-6.539272711500414,6.729306001318491e-11,5.450737861067978e-09
pos14_CTCF,0.0,3.162277660168379e-08,0.0,1.0,1.0
pos14_Dnase,0.0,3.162277660168379e-08,0.0,1.0,1.0
pos14_H3K4me3,0.0,3.162277660168379e-08,0.0,1.0,1.0
pos14_RRBS,0.0,3.162277660168379e-08,0.0,1.0,1.0
pos15_A,0.017031881775039677,0.006342530569542426,2.6853448459245537,0.007266821891315223,0.06924853802312153
pos15_C,-0.008750829687170643,0.006664041892642148,-1.3131414580140237,0.18918900315853682,0.8203009331600555
pos15_G,-0.009917405925377303,0.006648812433124989,-1.491605610043665,0.13585880327651578,0.7589353838205365
pos15_CTCF,0.0,3.162277660168379e-08,0.0,1.0,1.0
pos15_Dnase,0.0,3.162277660168379e-08,0.0,1.0,1.0
