Feature,Position,Channel,CNN_IG,CNN_ISM,ISM_SNR
T_pos_20,20,T,0.02298962138593197,0.037551358342170715,1.6778955459594727
T_pos_19,19,T,0.013519776053726673,0.03029520809650421,1.5302947759628296
C_pos_0,0,C,0.014655690640211105,0.023944251239299774,1.748118281364441
C_pos_22,22,C,0.0,0.02225855551660061,1.384166955947876
T_pos_18,18,T,0.011913861148059368,0.02210082672536373,1.2268247604370117
A_pos_20,20,A,0.018889160826802254,0.021663008257746696,1.2399778366088867
C_pos_19,19,C,0.02301056683063507,0.02121836692094803,1.0859113931655884
T_pos_1,1,T,0.010170422494411469,0.020052937790751457,1.2340717315673828
C_pos_21,21,C,0.0,0.019299963489174843,1.2410507202148438
G_pos_22,22,G,0.012484447099268436,0.0189258623868227,1.499397873878479
T_pos_17,17,T,0.011457636952400208,0.018541431054472923,1.107082724571228
A_pos_18,18,A,0.014499381184577942,0.017920972779393196,1.0970721244812012
CTCF_pos_12,12,CTCF,0.005457717459648848,0.017599409446120262,1.438097596168518
CTCF_pos_13,13,CTCF,0.005457010585814714,0.01758556440472603,1.4356200695037842
CTCF_pos_16,16,CTCF,0.005449877120554447,0.017578206956386566,1.4389736652374268
CTCF_pos_11,11,CTCF,0.005442282650619745,0.017573868855834007,1.4342259168624878
CTCF_pos_15,15,CTCF,0.0054639652371406555,0.017569204792380333,1.4358073472976685
CTCF_pos_14,14,CTCF,0.005475672427564859,0.017568955197930336,1.4340585470199585
CTCF_pos_10,10,CTCF,0.005458082538098097,0.017545484006404877,1.4290486574172974
CTCF_pos_17,17,CTCF,0.005444588605314493,0.017543844878673553,1.4344183206558228
CTCF_pos_9,9,CTCF,0.005441433284431696,0.017538156360387802,1.429070234298706
CTCF_pos_18,18,CTCF,0.0054450929164886475,0.017525339499115944,1.434441328048706
CTCF_pos_8,8,CTCF,0.005435226019471884,0.01751049794256687,1.4253442287445068
CTCF_pos_6,6,CTCF,0.005392576567828655,0.017500625923275948,1.4246238470077515
CTCF_pos_7,7,CTCF,0.005411017686128616,0.01749756745994091,1.4233983755111694
CTCF_pos_5,5,CTCF,0.005386888049542904,0.01748538948595524,1.423132061958313
CTCF_pos_4,4,CTCF,0.0053954035975039005,0.017473751679062843,1.4207744598388672
A_pos_17,17,A,0.013958796858787537,0.016957411542534828,1.1226319074630737
T_pos_3,3,T,0.00962083786725998,0.016793733462691307,1.1528723239898682
A_pos_19,19,A,0.014750462956726551,0.016742924228310585,1.1076020002365112
T_pos_11,11,T,0.010032720863819122,0.016423434019088745,1.18842351436615
T_pos_9,9,T,0.009290844202041626,0.016307193785905838,1.1787339448928833
T_pos_6,6,T,0.00933115091174841,0.016306985169649124,1.1564477682113647
CTCF_pos_19,19,CTCF,0.004977164790034294,0.016273820772767067,1.4861944913864136
T_pos_7,7,T,0.009170741774141788,0.01620328612625599,1.1486103534698486
T_pos_5,5,T,0.009687993675470352,0.016149701550602913,1.1610820293426514
T_pos_4,4,T,0.009527470916509628,0.01614745892584324,1.130403757095337
T_pos_12,12,T,0.00957166962325573,0.016067253425717354,1.1525923013687134
C_pos_2,2,C,0.017135892063379288,0.0160528551787138,1.0676923990249634
T_pos_13,13,T,0.008960979990661144,0.016050970181822777,1.1744170188903809
T_pos_16,16,T,0.008715287782251835,0.015996355563402176,1.1482036113739014
T_pos_14,14,T,0.01057809591293335,0.015937382355332375,1.183262586593628
CTCF_pos_3,3,CTCF,0.005020360928028822,0.015843581408262253,1.498530626296997
G_pos_21,21,G,0.011391537263989449,0.01573585532605648,1.2230172157287598
T_pos_15,15,T,0.008929962292313576,0.01573377102613449,1.1461050510406494
T_pos_8,8,T,0.010268907994031906,0.015602808445692062,1.1519309282302856
T_pos_10,10,T,0.00934218056499958,0.01552093680948019,1.173992395401001
C_pos_20,20,C,0.010000317357480526,0.015516295097768307,0.9378274083137512
A_pos_2,2,A,0.013111862353980541,0.015500357374548912,1.061340093612671
T_pos_2,2,T,0.008976394310593605,0.014773433096706867,1.1081628799438477
G_pos_18,18,G,0.004040331579744816,0.014392193406820297,1.0806857347488403
A_pos_0,0,A,0.00958520919084549,0.014317471534013748,1.1294986009597778
CTCF_pos_2,2,CTCF,0.005374661181122065,0.013957951217889786,1.44471275806427
CTCF_pos_20,20,CTCF,0.0036260627675801516,0.013810954056680202,1.5555585622787476
C_pos_18,18,C,0.01803639531135559,0.013694853521883488,0.99024498462677
A_pos_21,21,A,0.0,0.013533479534089565,1.122145175933838
G_pos_17,17,G,0.0029945774003863335,0.013409414328634739,1.0290160179138184
A_pos_5,5,A,0.01114940457046032,0.013249794021248817,1.0791140794754028
A_pos_12,12,A,0.01037831511348486,0.013098850846290588,1.0857244729995728
A_pos_14,14,A,0.01294430810958147,0.013083133846521378,1.076197624206543
A_pos_11,11,A,0.012431550770998001,0.012915991246700287,1.0587742328643799
A_pos_8,8,A,0.012156400829553604,0.012888744473457336,1.0861446857452393
A_pos_16,16,A,0.011343752965331078,0.012845375575125217,1.0521926879882812
A_pos_6,6,A,0.01125164795666933,0.012824111618101597,1.0605829954147339
A_pos_3,3,A,0.010971424169838428,0.012817981652915478,1.0570977926254272
A_pos_13,13,A,0.012031447142362595,0.012753834947943687,1.0643190145492554
A_pos_15,15,A,0.010797038674354553,0.012729980982840061,1.0422340631484985
C_pos_17,17,C,0.015919357538223267,0.012673690915107727,1.0037846565246582
A_pos_4,4,A,0.010931788943707943,0.012578523717820644,1.0784310102462769
A_pos_9,9,A,0.011158585548400879,0.012568237259984016,1.0598499774932861
A_pos_10,10,A,0.010715250857174397,0.012556783854961395,1.0868638753890991
A_pos_7,7,A,0.011568286456167698,0.012479354627430439,1.0527347326278687
G_pos_0,0,G,0.0075936331413686275,0.012209161184728146,1.1836419105529785
A_pos_22,22,A,0.0,0.012208814732730389,1.1973686218261719
G_pos_19,19,G,0.002158977324143052,0.012048940174281597,1.118776559829712
C_pos_8,8,C,0.014780918136239052,0.011929340660572052,1.0235755443572998
C_pos_5,5,C,0.01487184502184391,0.011929272674024105,1.015053153038025
C_pos_10,10,C,0.015789948403835297,0.011857948265969753,0.998603105545044
C_pos_4,4,C,0.01535109244287014,0.01182353962212801,0.9770587086677551
C_pos_11,11,C,0.015008657239377499,0.011801095679402351,0.9858071804046631
C_pos_6,6,C,0.015449373051524162,0.011799969710409641,1.0082207918167114
C_pos_16,16,C,0.014683721587061882,0.01179896853864193,1.033540964126587
C_pos_7,7,C,0.01585354655981064,0.011790444143116474,1.0445939302444458
C_pos_9,9,C,0.014659948647022247,0.011752896942198277,1.0029641389846802
C_pos_1,1,C,0.01166421826928854,0.011732034385204315,1.0664602518081665
C_pos_12,12,C,0.0159853957593441,0.011706209741532803,0.9878941178321838
C_pos_3,3,C,0.015959836542606354,0.011699157766997814,0.9926916360855103
T_pos_0,0,T,0.0076102809980511665,0.011606077663600445,1.0942585468292236
C_pos_15,15,C,0.014075066894292831,0.01156217884272337,1.0032356977462769
C_pos_13,13,C,0.01490697544068098,0.011555885896086693,1.017719030380249
C_pos_14,14,C,0.012560583651065826,0.011414162814617157,1.0373570919036865
A_pos_1,1,A,0.007160121574997902,0.01131510455161333,1.095224380493164
G_pos_9,9,G,0.0028053366113454103,0.011190715245902538,1.0373222827911377
G_pos_5,5,G,0.0024208214599639177,0.011168521828949451,1.0445504188537598
G_pos_15,15,G,0.0027610750403255224,0.011149225756525993,1.0049786567687988
G_pos_6,6,G,0.002514967229217291,0.011138402856886387,1.055316686630249
G_pos_12,12,G,0.0027746877167373896,0.011133505031466484,1.020647406578064
CTCF_pos_21,21,CTCF,0.0033686801325529814,0.011012244038283825,1.5136526823043823
G_pos_7,7,G,0.0025079790502786636,0.011008335277438164,1.0300005674362183
G_pos_10,10,G,0.0026599490083754063,0.011005736887454987,1.0080394744873047
G_pos_4,4,G,0.0024743794929236174,0.011003063060343266,0.9913633465766907
G_pos_8,8,G,0.0022267636377364397,0.010867584496736526,1.0236400365829468
G_pos_13,13,G,0.0025619673542678356,0.010833194479346275,0.9975069165229797
G_pos_11,11,G,0.0023548926692456007,0.010725514963269234,0.9910479187965393
G_pos_20,20,G,0.001708646072074771,0.010693122632801533,1.153364658355713
