Feature,MLP_IG,IG_SNR
pos18_C,0.016557027,0.5839706
pos20_T,0.010449258,0.49567983
pos4_H3K4me3,0.008768594,1.6270732
pos18_A,0.008592713,0.5390873
pos1_G,0.008057551,0.5948508
pos18_H3K4me3,0.0077856034,1.5746464
pos17_T,0.0077083823,0.49825275
pos20_G,0.0075809155,0.56208295
pos14_G,0.0074143196,0.5931595
pos15_H3K4me3,0.006559001,1.4738472
pos21_H3K4me3,0.006403704,1.5221918
pos8_Dnase,0.006378129,2.0653436
pos14_Dnase,0.0061952397,1.5567291
pos10_A,0.0061780745,0.5481241
pos14_T,0.006084507,0.4994259
pos1_C,0.006049579,0.56009185
pos19_T,0.006004975,0.509609
pos16_C,0.0059750713,0.5291079
pos23_G,0.005810779,1.6768135
pos6_Dnase,0.005754672,1.4718748
pos14_H3K4me3,0.0057260785,1.3453828
pos21_G,0.0056746886,0.50186175
pos15_A,0.005657891,0.58496845
pos3_Dnase,0.0056161424,1.6322122
pos17_Dnase,0.0053863777,1.3513867
pos22_G,0.0052777915,1.876921
pos12_A,0.0049553188,0.5796169
pos22_Dnase,0.0049118637,1.3023989
pos16_G,0.004892595,0.5807664
pos19_C,0.0048055113,0.55557793
pos7_Dnase,0.0046991953,1.4308146
pos19_A,0.00464068,0.5175496
pos19_Dnase,0.0045536747,1.3501145
pos12_Dnase,0.0043228366,1.3447622
pos6_G,0.0042745196,0.52829325
pos20_H3K4me3,0.0040201265,1.0235864
pos2_Dnase,0.003984321,1.0243928
pos13_Dnase,0.0038905984,1.1037335
pos13_H3K4me3,0.003879526,0.9930968
pos18_T,0.0038284494,0.52313715
pos22_H3K4me3,0.0038103843,1.0576133
pos20_Dnase,0.0037466174,0.84902155
pos1_H3K4me3,0.003735911,0.9810772
pos23_Dnase,0.0037326661,0.8351073
pos10_Dnase,0.0037181284,0.8879107
pos16_Dnase,0.0036441016,0.87974846
pos8_G,0.0036176841,0.556296
pos15_C,0.0035594685,0.490756
pos23_H3K4me3,0.0035008416,0.97131556
pos2_H3K4me3,0.003472392,0.9889511
pos21_T,0.0034481348,0.66250646
pos1_Dnase,0.0034455669,0.8179488
pos17_H3K4me3,0.0033970366,0.9866605
pos4_Dnase,0.0033941297,0.8313868
pos9_H3K4me3,0.0033812514,0.8930964
pos4_A,0.003329078,0.5168504
pos6_H3K4me3,0.0032667331,0.96771187
pos4_G,0.00322782,0.5468339
pos19_G,0.0032043003,0.5210496
pos20_A,0.0031589274,0.48306087
pos11_Dnase,0.0031586676,0.91396046
pos20_C,0.00306651,0.525048
pos11_A,0.0027859057,0.50472873
pos16_T,0.0027776435,0.5047361
pos5_H3K4me3,0.002722221,0.96122295
pos3_C,0.0027153934,0.53965706
pos9_Dnase,0.0027097773,0.81662196
pos10_H3K4me3,0.0025921876,0.7775523
pos16_H3K4me3,0.0025874258,0.72752124
pos18_Dnase,0.0025586602,0.8367433
pos4_T,0.0025297417,0.46080762
pos5_Dnase,0.0025169968,0.78618324
pos3_G,0.0025162082,0.52582556
pos15_Dnase,0.002500537,0.79915255
pos21_Dnase,0.002486735,0.89991456
pos9_T,0.0024457043,0.51097095
pos8_C,0.0024104563,0.520187
pos17_G,0.0023877856,0.4843074
pos15_T,0.002385921,0.44195458
pos18_G,0.002336635,0.42301443
pos17_A,0.002317083,0.48354274
pos11_H3K4me3,0.0022505336,0.75785047
pos3_H3K4me3,0.0022403046,0.7179966
pos7_H3K4me3,0.0022380885,0.9002628
pos10_G,0.0020674297,0.51960206
pos12_H3K4me3,0.0020641945,0.728372
pos11_G,0.0020557714,0.48470706
pos19_H3K4me3,0.002023782,0.7201401
pos9_A,0.002017545,0.4957647
pos7_T,0.0020097005,0.4182954
pos15_G,0.0019737168,0.4309531
pos8_H3K4me3,0.001957043,0.71432096
pos5_C,0.00195225,0.48202068
pos13_C,0.0019212104,0.4847985
pos11_T,0.0018022835,0.419286
pos6_T,0.0017513714,0.45575297
pos12_G,0.0016785834,0.4044059
pos8_A,0.0016072387,0.4456034
pos21_A,0.0015631529,0.48911637
pos3_A,0.0014994579,0.43018913
pos9_C,0.0014573294,0.47705427
pos10_T,0.0014463753,0.41889662
pos14_C,0.0014078327,0.4143117
pos2_T,0.0013928852,0.4313921
pos17_C,0.0013710468,0.47220308
pos16_A,0.0013626374,0.42580244
pos2_A,0.0013531353,0.45427236
pos1_A,0.0013154359,0.4269598
pos2_G,0.0013092707,0.42188454
pos5_T,0.0013017999,0.37401974
pos11_C,0.0012541675,0.40504003
pos14_A,0.0012471083,0.4302663
pos9_G,0.0012104864,0.41792223
pos7_C,0.0011948097,0.43663615
pos8_T,0.0011694091,0.40814123
pos1_T,0.0011648777,0.3898013
pos7_G,0.0011522226,0.4436278
pos6_C,0.0011314029,0.40676618
pos3_T,0.0010625828,0.40751156
pos12_C,0.0010621686,0.38068965
pos4_C,0.0010594754,0.40440834
pos13_T,0.0010519665,0.3684509
pos10_C,0.0010237361,0.37687153
pos13_A,0.0010186684,0.35587028
