Feature,Position,Channel,CNN_IG,CNN_ISM,ISM_SNR
T_pos_19,19,T,0.004985142964869738,0.020465055480599403,1.5636957883834839
T_pos_20,20,T,0.007975130341947079,0.017997335642576218,1.6703803539276123
H3K4me3_pos_2,2,H3K4me3,0.003118060063570738,0.017157291993498802,2.448188543319702
H3K4me3_pos_9,9,H3K4me3,0.0033544946927577257,0.017081929370760918,2.4711978435516357
H3K4me3_pos_10,10,H3K4me3,0.0032947987783700228,0.017002539709210396,2.467672348022461
H3K4me3_pos_7,7,H3K4me3,0.003303611883893609,0.016995443031191826,2.4699878692626953
H3K4me3_pos_15,15,H3K4me3,0.0033350158482789993,0.016981886699795723,2.458712577819824
H3K4me3_pos_4,4,H3K4me3,0.00331842596642673,0.01696602813899517,2.429255247116089
H3K4me3_pos_16,16,H3K4me3,0.003298211609944701,0.016935991123318672,2.4686858654022217
H3K4me3_pos_12,12,H3K4me3,0.003309613559395075,0.01693202368915081,2.428016424179077
H3K4me3_pos_11,11,H3K4me3,0.0032674414105713367,0.016927924007177353,2.455944061279297
H3K4me3_pos_13,13,H3K4me3,0.003287034574896097,0.016924036666750908,2.4413814544677734
H3K4me3_pos_6,6,H3K4me3,0.003329251892864704,0.016895528882741928,2.443484306335449
H3K4me3_pos_8,8,H3K4me3,0.0032731557730585337,0.016859326511621475,2.420544385910034
H3K4me3_pos_5,5,H3K4me3,0.0032835258170962334,0.01682865433394909,2.397369623184204
H3K4me3_pos_18,18,H3K4me3,0.003300131531432271,0.016778327524662018,2.3864474296569824
H3K4me3_pos_14,14,H3K4me3,0.0032844061497598886,0.01676427386701107,2.3684301376342773
H3K4me3_pos_17,17,H3K4me3,0.0032528142910450697,0.01668427512049675,2.37164306640625
H3K4me3_pos_20,20,H3K4me3,0.0031754805240780115,0.016534816473722458,2.3602027893066406
H3K4me3_pos_3,3,H3K4me3,0.0028297158423811197,0.015726638957858086,2.478513240814209
H3K4me3_pos_19,19,H3K4me3,0.003812180832028389,0.015475675463676453,2.3681037425994873
T_pos_18,18,T,0.004251603968441486,0.015336155891418457,1.4828529357910156
G_pos_22,22,G,0.00825080368667841,0.01528965774923563,1.750594139099121
T_pos_14,14,T,0.004425165709108114,0.015243038535118103,1.462667465209961
T_pos_8,8,T,0.003979887813329697,0.014926103875041008,1.4904990196228027
T_pos_17,17,T,0.004592204466462135,0.014509386382997036,1.4280503988265991
C_pos_21,21,C,0.0,0.014474866911768913,1.439138412475586
T_pos_6,6,T,0.003806822933256626,0.014391593635082245,1.485826015472412
T_pos_5,5,T,0.004106073174625635,0.014248790219426155,1.3771233558654785
T_pos_12,12,T,0.0032341445330530405,0.014172416180372238,1.4449841976165771
T_pos_4,4,T,0.00357934576459229,0.014154672622680664,1.3153750896453857
T_pos_3,3,T,0.0025920106563717127,0.01415177620947361,1.452770709991455
A_pos_0,0,A,0.0037726645823568106,0.014144770801067352,1.796729326248169
T_pos_7,7,T,0.004318302497267723,0.014125428162515163,1.4488941431045532
T_pos_15,15,T,0.0029046698473393917,0.014029948972165585,1.4137747287750244
T_pos_16,16,T,0.0038075298070907593,0.01393036637455225,1.422472357749939
T_pos_13,13,T,0.003935514949262142,0.013837547041475773,1.3886816501617432
T_pos_10,10,T,0.0039030052721500397,0.013820151798427105,1.38237464427948
T_pos_9,9,T,0.0028393964748829603,0.013660564087331295,1.4374276399612427
C_pos_19,19,C,0.006657877005636692,0.013630298897624016,1.452699065208435
T_pos_11,11,T,0.004019089043140411,0.013545656576752663,1.308244228363037
C_pos_0,0,C,0.00406860513612628,0.013488784432411194,1.8771032094955444
H3K4me3_pos_21,21,H3K4me3,0.004055403172969818,0.013227234594523907,2.6346728801727295
G_pos_0,0,G,0.004542471840977669,0.013148365542292595,1.7916364669799805
T_pos_2,2,T,0.0042258757166564465,0.01253961119800806,1.3912221193313599
