Feature,Linear_Coefficient,SE,t_stat,p_value,FDR
pos1_A,-0.0024746457328615593,0.004224101527259269,-0.5858395488110315,0.5579941570093729,1.0
pos1_C,-0.016928063084014594,0.004118634161747424,-4.110115737211406,3.9804218109118494e-05,0.0005373569444730997
pos1_G,0.022721858448322828,0.004269372371610694,5.3220605912504695,1.0441167930252959e-07,2.1143365058762242e-06
pos1_CTCF,-4.072427483816626e-15,3.162277660168379e-08,-1.2878146454729042e-07,0.9999998972493587,1.0
pos1_Dnase,-0.05180751060772035,0.07271408835261334,-0.7124824333420717,0.47617968100581853,1.0
pos1_H3K4me3,-1.4418064733330444e-16,3.162277660168379e-08,-4.5593924009072424e-09,0.9999999963622055,1.0
pos1_RRBS,1.4718751917847543e-15,3.162277660168379e-08,4.654478037536978e-08,0.9999999628633978,1.0
pos2_A,0.01646449625312024,0.00462011828701456,3.563652536645184,0.00036712319866682996,0.003498468128472144
pos2_C,0.012470602478015149,0.004526157719752781,2.7552293247740147,0.005873780667151385,0.03806209872314097
pos2_G,0.014197662578028989,0.004531989156500828,3.1327662286357008,0.0017357622486491309,0.013390165918150438
pos2_CTCF,-1.508400530295835e-15,3.162277660168379e-08,-4.769981299540656e-08,0.9999999619418338,1.0
pos2_Dnase,0.08625134003880475,0.10885959126941784,0.7923173239309739,0.428191044708109,1.0
pos2_H3K4me3,8.098069686922482e-18,3.162277660168379e-08,2.560834486144171e-10,0.999999999795679,1.0
pos2_RRBS,-1.6480395324692172e-16,3.162277660168379e-08,-5.2115585966017465e-09,0.9999999958418628,1.0
pos3_A,-0.009254635850660668,0.004160649907324336,-2.224324578323441,0.026144802021487168,0.1326560070641853
pos3_C,-0.012453738389568602,0.004223329657982331,-2.9487961864474244,0.003196179595624571,0.023535504295053657
pos3_G,-0.0021037234420716987,0.0042715626565643676,-0.4924950448376966,0.6223782670668512,1.0
pos3_CTCF,-1.0922606098749859e-15,3.162277660168379e-08,-3.454031325689558e-08,0.9999999724413808,1.0
pos3_Dnase,0.21548134131362473,0.14056232651878242,1.5329949827262668,0.12530296353318238,0.48331143077084626
pos3_H3K4me3,1.2730195881687093e-15,3.162277660168379e-08,4.0256414046226604e-08,0.9999999678806855,1.0
pos3_RRBS,1.5173690558289816e-15,3.162277660168379e-08,4.798342267478775e-08,0.9999999617155506,1.0
pos4_A,0.01741475353393781,0.004376123235170727,3.97949340045457,6.946102495919426e-05,0.0008655912341068823
pos4_C,0.0049187389116235,0.00424599700438993,1.1584414465055024,0.24670655921800133,0.740119677654004
pos4_G,0.011387820944717995,0.004268093219988567,2.668128449347341,0.0076375677135720466,0.04582540628143228
pos4_CTCF,7.739800261897239e-16,3.162277660168379e-08,2.4475397462363013e-08,0.9999999804718576,1.0
pos4_Dnase,-0.24185835060719715,0.162249431758309,-1.4906576127026177,0.13607720588531524,0.5010115307595697
pos4_H3K4me3,-4.0753688810821795e-16,3.162277660168379e-08,-1.2887447969591582e-08,0.9999999897175145,1.0
pos4_RRBS,1.2138924566744605e-15,3.162277660168379e-08,3.8386649975885587e-08,0.9999999693725108,1.0
pos5_A,0.00892285038521335,0.004388094387251568,2.033422619881719,0.04203139508628251,0.20026723541111077
pos5_C,0.0065779954997601045,0.004272191353972828,1.5397239858282672,0.1236535250308366,0.48331143077084626
pos5_G,0.002678632099359683,0.004325535167892267,0.6192602754088619,0.535756447484256,1.0
pos5_CTCF,2.189512717919277e-17,3.162277660168379e-08,6.92384715453068e-10,0.9999999994475681,1.0
pos5_Dnase,-0.05127087316472499,0.14062452253986768,-0.3645941137342491,0.715420714641049,1.0
pos5_H3K4me3,2.365159736772015e-16,3.162277660168379e-08,7.479291798323868e-09,0.9999999940325106,1.0
pos5_RRBS,1.6892713560703266e-15,3.162277660168379e-08,5.3419450712635376e-08,0.9999999573783165,1.0
pos6_A,0.0039492261818448015,0.004139467191948405,0.9540421505275757,0.34008116714883796,0.9665464750545921
pos6_C,0.014447846065644122,0.004193815463439979,3.4450361947478894,0.000572899687044659,0.004640487465061738
pos6_G,0.01626307913625189,0.0042806971658959705,3.799166001701489,0.00014588723140240845,0.0016881236776564407
pos6_CTCF,-3.138276679206509e-16,3.162277660168379e-08,-9.924102234082152e-09,0.9999999920818738,1.0
pos6_Dnase,-0.04230838756098592,0.10184719189743273,-0.41541044748286665,0.6778487493531502,1.0
pos6_H3K4me3,6.731753344246313e-16,3.162277660168379e-08,2.1287673214273892e-08,0.9999999830152415,1.0
pos6_RRBS,-1.2968659827803987e-15,3.162277660168379e-08,-4.101050325578765e-08,0.9999999672790216,1.0
pos7_A,0.0062662952152503434,0.004356530385417352,1.4383683024972265,0.15035517600049175,0.5316452960678912
pos7_C,0.005040275809844082,0.004253484878682278,1.1849756032059882,0.23605012413623538,0.7215117001900024
pos7_G,0.005410634508623194,0.004246429300882442,1.2741609774355176,0.20263058851876914,0.656523106800812
pos7_CTCF,8.036774335302997e-16,3.162277660168379e-08,2.5414511940343244e-08,0.9999999797225678,1.0
pos7_Dnase,0.09322209021767035,0.05080779343310121,1.8347990321684837,0.06655975286596405,0.2966783217105963
pos7_H3K4me3,-5.08303684893619e-16,3.162277660168379e-08,-1.6073973873203585e-08,0.9999999871750866,1.0
pos7_RRBS,1.0746087292576424e-15,3.162277660168379e-08,3.398211177953373e-08,0.9999999728867521,1.0
pos8_A,0.0025317551916804316,0.004344099751144924,0.5828031897778513,0.5600365450864238,1.0
pos8_C,0.012601067292508695,0.004304682489119461,2.9272930870881235,0.003425565150657617,0.024127893669849302
pos8_G,0.014966697955760867,0.004272051488354106,3.503398307946679,0.00046100380126001816,0.0041490342113401635
pos8_CTCF,-8.110021185437158e-16,3.162277660168379e-08,-2.5646138818200205e-08,0.9999999795377603,1.0
pos8_Dnase,0.0932220902176688,0.0508077934331014,1.8347990321684464,0.0665597528659696,0.2966783217105963
