Feature,Position,Channel,Transformer_Attention,Attention_Entropy,Attention_SNR
RRBS_pos_19,19,RRBS,0.15895448625087738,3.4369394779205322,2.3575379848480225
H3K4me3_pos_19,19,H3K4me3,0.15895448625087738,3.4369394779205322,2.3575379848480225
Dnase_pos_19,19,Dnase,0.15895448625087738,3.4369394779205322,2.3575379848480225
CTCF_pos_19,19,CTCF,0.15895448625087738,3.4369394779205322,2.3575379848480225
T_pos_19,19,T,0.15895448625087738,3.4369394779205322,2.3575379848480225
G_pos_19,19,G,0.15895448625087738,3.4369394779205322,2.3575379848480225
C_pos_19,19,C,0.15895448625087738,3.4369394779205322,2.3575379848480225
A_pos_19,19,A,0.15895448625087738,3.4369394779205322,2.3575379848480225
RRBS_pos_20,20,RRBS,0.1296825259923935,3.4369394779205322,1.6854000091552734
H3K4me3_pos_20,20,H3K4me3,0.1296825259923935,3.4369394779205322,1.6854000091552734
Dnase_pos_20,20,Dnase,0.1296825259923935,3.4369394779205322,1.6854000091552734
CTCF_pos_20,20,CTCF,0.1296825259923935,3.4369394779205322,1.6854000091552734
T_pos_20,20,T,0.1296825259923935,3.4369394779205322,1.6854000091552734
G_pos_20,20,G,0.1296825259923935,3.4369394779205322,1.6854000091552734
C_pos_20,20,C,0.1296825259923935,3.4369394779205322,1.6854000091552734
A_pos_20,20,A,0.1296825259923935,3.4369394779205322,1.6854000091552734
A_pos_0,0,A,0.10611536353826523,3.4369394779205322,1.5785328149795532
C_pos_0,0,C,0.10611536353826523,3.4369394779205322,1.5785328149795532
G_pos_0,0,G,0.10611536353826523,3.4369394779205322,1.5785328149795532
T_pos_0,0,T,0.10611536353826523,3.4369394779205322,1.5785328149795532
CTCF_pos_0,0,CTCF,0.10611536353826523,3.4369394779205322,1.5785328149795532
Dnase_pos_0,0,Dnase,0.10611536353826523,3.4369394779205322,1.5785328149795532
H3K4me3_pos_0,0,H3K4me3,0.10611536353826523,3.4369394779205322,1.5785328149795532
RRBS_pos_0,0,RRBS,0.10611536353826523,3.4369394779205322,1.5785328149795532
A_pos_18,18,A,0.08005954325199127,3.4369394779205322,1.3407933712005615
C_pos_18,18,C,0.08005954325199127,3.4369394779205322,1.3407933712005615
G_pos_18,18,G,0.08005954325199127,3.4369394779205322,1.3407933712005615
T_pos_18,18,T,0.08005954325199127,3.4369394779205322,1.3407933712005615
CTCF_pos_18,18,CTCF,0.08005954325199127,3.4369394779205322,1.3407933712005615
Dnase_pos_18,18,Dnase,0.08005954325199127,3.4369394779205322,1.3407933712005615
H3K4me3_pos_18,18,H3K4me3,0.08005954325199127,3.4369394779205322,1.3407933712005615
RRBS_pos_18,18,RRBS,0.08005954325199127,3.4369394779205322,1.3407933712005615
A_pos_1,1,A,0.0689171552658081,3.4369394779205322,1.1378164291381836
C_pos_1,1,C,0.0689171552658081,3.4369394779205322,1.1378164291381836
G_pos_1,1,G,0.0689171552658081,3.4369394779205322,1.1378164291381836
T_pos_1,1,T,0.0689171552658081,3.4369394779205322,1.1378164291381836
CTCF_pos_1,1,CTCF,0.0689171552658081,3.4369394779205322,1.1378164291381836
Dnase_pos_1,1,Dnase,0.0689171552658081,3.4369394779205322,1.1378164291381836
H3K4me3_pos_1,1,H3K4me3,0.0689171552658081,3.4369394779205322,1.1378164291381836
RRBS_pos_1,1,RRBS,0.0689171552658081,3.4369394779205322,1.1378164291381836
A_pos_15,15,A,0.06524776667356491,3.4369394779205322,0.9556396007537842
C_pos_15,15,C,0.06524776667356491,3.4369394779205322,0.9556396007537842
G_pos_15,15,G,0.06524776667356491,3.4369394779205322,0.9556396007537842
T_pos_15,15,T,0.06524776667356491,3.4369394779205322,0.9556396007537842
CTCF_pos_15,15,CTCF,0.06524776667356491,3.4369394779205322,0.9556396007537842
Dnase_pos_15,15,Dnase,0.06524776667356491,3.4369394779205322,0.9556396007537842
H3K4me3_pos_15,15,H3K4me3,0.06524776667356491,3.4369394779205322,0.9556396007537842
RRBS_pos_15,15,RRBS,0.06524776667356491,3.4369394779205322,0.9556396007537842
A_pos_16,16,A,0.051809873431921005,3.4369394779205322,0.7751157283782959
C_pos_16,16,C,0.051809873431921005,3.4369394779205322,0.7751157283782959
G_pos_16,16,G,0.051809873431921005,3.4369394779205322,0.7751157283782959
T_pos_16,16,T,0.051809873431921005,3.4369394779205322,0.7751157283782959
CTCF_pos_16,16,CTCF,0.051809873431921005,3.4369394779205322,0.7751157283782959
Dnase_pos_16,16,Dnase,0.051809873431921005,3.4369394779205322,0.7751157283782959
H3K4me3_pos_16,16,H3K4me3,0.051809873431921005,3.4369394779205322,0.7751157283782959
RRBS_pos_16,16,RRBS,0.051809873431921005,3.4369394779205322,0.7751157283782959
RRBS_pos_14,14,RRBS,0.04694337770342827,3.4369394779205322,0.8496972322463989
H3K4me3_pos_14,14,H3K4me3,0.04694337770342827,3.4369394779205322,0.8496972322463989
Dnase_pos_14,14,Dnase,0.04694337770342827,3.4369394779205322,0.8496972322463989
CTCF_pos_14,14,CTCF,0.04694337770342827,3.4369394779205322,0.8496972322463989
T_pos_14,14,T,0.04694337770342827,3.4369394779205322,0.8496972322463989
G_pos_14,14,G,0.04694337770342827,3.4369394779205322,0.8496972322463989
C_pos_14,14,C,0.04694337770342827,3.4369394779205322,0.8496972322463989
A_pos_14,14,A,0.04694337770342827,3.4369394779205322,0.8496972322463989
RRBS_pos_2,2,RRBS,0.036228690296411514,3.4369394779205322,0.9132882356643677
H3K4me3_pos_2,2,H3K4me3,0.036228690296411514,3.4369394779205322,0.9132882356643677
Dnase_pos_2,2,Dnase,0.036228690296411514,3.4369394779205322,0.9132882356643677
CTCF_pos_2,2,CTCF,0.036228690296411514,3.4369394779205322,0.9132882356643677
T_pos_2,2,T,0.036228690296411514,3.4369394779205322,0.9132882356643677
G_pos_2,2,G,0.036228690296411514,3.4369394779205322,0.9132882356643677
C_pos_2,2,C,0.036228690296411514,3.4369394779205322,0.9132882356643677
A_pos_2,2,A,0.036228690296411514,3.4369394779205322,0.9132882356643677
RRBS_pos_13,13,RRBS,0.03572889417409897,3.4369394779205322,0.806593120098114
H3K4me3_pos_13,13,H3K4me3,0.03572889417409897,3.4369394779205322,0.806593120098114
Dnase_pos_13,13,Dnase,0.03572889417409897,3.4369394779205322,0.806593120098114
